nm_item,nm_product
CUP NOODLES NISSIN FRANGO TERIYAKI 72G,macarrao
FAROFA MILHO TEMP MARPA 350G,farinha de milho
PASSA ROUPA SONHO C/GAT 500ML,passa facil
MARCA TEXTO F.CASTELL GRIFPEN AM C/2,marcador de texto
CHIPS AZEITE/MANJERICAO ROOTS TO GO 45G,aperitivo
MUFFIM GOTAS DE CHOC 185G,padaria e confeitaria industrializado
COMINHO PO KITANO PC 60G,outro condimento
BEBIDA LACTEA MORANG 850G,bebida lactea
CHOCOLATE NEUGEBAUER 80G AO LEITE,chocolate
PAO QUEIJO SAO LUIZ CONG 400G TRAD,massa de pao de queijo
SALGAD AGTAL AMENDOIM MOSTARDA 80G,aperitivo
DESINF CLEAN PLUS FR 2L LAVANDA,desinfetante
REGATA RENDA CNZ TEX BI563234L FBPV18,regata
ESPONJA M USO LIMPPANO L4P3,esponja
GRANOLA ORG BANANA CRF BIO  200G,granola
TABUA DE FRIOS KG,prato pronto
BOLO COCO PANCO 300G,padaria e confeitaria industrializado
PIZZA PERDIGAO CX 46 CALABRESA MOIDA,pizza congelada
TRIGO KIBE YOKI 500G,sagu
SACO LIXO EMBALIXO PTO ECON C50 30L,saco de lixo
PALHA ACO BRILLO N2 25G,palha de aco
CERVEJA CARACU                  LT 350ML,cerveja
OVO VERM COAG C/20 GDE,ovo
CHOC SUI LINDT EXC AMARGO 70 100G,chocolate
ESPAGUETE PETYAN COMUM 500G,macarrao
CERV ANTUERPIA PREMIUM LAGER 600ML,cerveja
OVOS GRD VERM ARES DO C DORINHA C10,ovo
ORELHA GATO SUSPIROLANDIA 190GR,padaria e confeitaria industrializado
PNEU PIRELLI FORMULA EVO 185 60 R15 88H,automotivo
FILE COXA SCX FGO SADIA IQF PCT 1kg,carne de ave
KETCHUP HELLMANNS SQZ 2UN 380G,ketchup
LEITE FERM VIGOR 450g,leite fermentado
PASTA AMENDOIM DACOLONIA INTEG. PT 500GR,pasta de amendoim
CALDO KNORR COSTELA 57G,caldo industrializado
REQ VALE PARDO TOP CHEDDAR 1.2KG,requeijao
SAB PHEBO 90G PATCHOULY,sabonete
CARNE SECA COXAO DURO FRIBOI 500G,carne bovina
SNACK BATATA PIRAQUE 60G ORIGINAL,aperitivo
BISC CLUB SOCIAL 141GR PIZZA,biscoito
ENERGETICO FURIOSO 250ML,energetico
BOLO SEVEN BOYS FORMIGUEIRO 250G,padaria e confeitaria industrializado
VICK PYRENA  CAMOMILA C/01 SACHE PROCTER,outro farma
NECTAR DAFRUTA GOIABA 1L,suco pronto
AMAC CONC DOWNY BRISA INTENSO 1.5L,amaciante
SAB LIQ JJ H SONO H.SONO 200ML,sabonete infantil
COXA SEARA SOB/COXA BDJ RESF KG,carne de ave
LIMP VEJA X-14 SQ 500ML PG400ML,multiuso
MACAR N MIOJO CUP NOOD FRUTO DO MAR 65g,macarrao
CHOC CHARGE NESTLE 40g,chocolate
VINHO BRANCO SUAVE CRF CLASSIC 750ML,vinho nacional
CS CAMARI COPA LOMBO KG TEMP,carne suina
"QUEIJO SADIA SOLTISS FAT 200G, PRATO, .",queijo
DO BEM TODO DIA MANG 1L,suco pronto
KINDER TRONKY 18G,chocolate
MOL BOLON PALM 340G,outro molho
LUFTAL 125MG C/10 CAPS RECKITT,outro farma
BISC INTEG PIRAQUE 240G-PC C CRACK,biscoito
"TORTILLA CHIPS FRONTERA 125G, PICANTE",aperitivo
"BISC NESTLE TOSTINE 160g, COCO",biscoito
PORTA FILTRO MELITTA N.100 MINI AV   1UN,outro utensilio de cozinha
BISC RECH OREO 144G-MPACK ORIG,biscoito
AGUA MIN SANTA RITA S/GAS PET 200ML,agua
CARNE BOV POSTA VERM PORC MF KG,carne bovina
SABONETE SENADOR GOLD 130G,sabonete
BATATA FRITA CRONY OND 17G,batata congelada
SALTON SERIES MOSCAT BRANCO 750ML,espumante
"REQ VIGOR CREMOSO 200G, TRAD, .",requeijao
VINHO NAC VENTO SERRANO SUAVE TINTO 1L,vinho nacional
"SAB HUG 75G, SUAVE",sabonete infantil
CORTES LAR FGO SOBRECOXAS CONG 1KG,carne de ave
REFR CITRUS VIEIRA ROSSI 2L,suco pronto
BEB LACTEA ITALAC 250ML WHEY 15G FRU VER,bebida lactea
QJO PRATO SOLT FAT SADIA 200G,queijo
