run_id,l0_target_size,selection_order_in_l0,original_index,text_sample,true_label_sample,assigned_semantic_cluster_id,selection_reason_code,selection_score_value
DRI_L0size10_Nc10_Seed52,10,1,158513,OVO PASCOA LACTA AO LEITE BATMAN 166G,ovo de pascoa,0,first_relevance,1.274472964884781
DRI_L0size10_Nc10_Seed52,10,2,129423,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,requeijao,1,first_relevance,1.3752777895176829
DRI_L0size10_Nc10_Seed52,10,3,171015,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,biscoito,2,first_relevance,1.3394264832635436
DRI_L0size10_Nc10_Seed52,10,4,32924,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,molho de tomate,3,first_relevance,1.2077053537358897
DRI_L0size10_Nc10_Seed52,10,5,11621,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,chocolate,4,first_relevance,1.3678943618213093
DRI_L0size10_Nc10_Seed52,10,6,35357,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,multiuso,5,first_relevance,1.8146060859925595
DRI_L0size10_Nc10_Seed52,10,7,131395,"LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA",lava roupas,6,first_relevance,1.8301365526403575
DRI_L0size10_Nc10_Seed52,10,8,92587,BEB LACT UHT VIGOR 250ML DOCE LEITE,bebida lactea,7,first_relevance,1.3338690830494802
DRI_L0size10_Nc10_Seed52,10,9,33713,DESOD AERO NIVEA FEM DRY FRESH 150ML,desodorante,8,first_relevance,0.5147787621129156
DRI_L0size10_Nc10_Seed52,10,10,128859,AMIDO MILHO YOKI                PCT 500G,amido de milho,9,first_relevance,1.1033608383120581
DRI_L0size50_Nc50_Seed92,50,1,14197,FIO DENTAL COLGATE 50M-SM MENTA,fio dental,0,first_relevance,1.4513713774178636
DRI_L0size50_Nc50_Seed92,50,2,8440,PAO FORMA PULLMAN 450G GRAOS CAST 100 INTEGRAL,padaria e confeitaria industrializado,1,first_relevance,1.2643133363449495
DRI_L0size50_Nc50_Seed92,50,3,158513,OVO PASCOA LACTA AO LEITE BATMAN 166G,ovo de pascoa,2,first_relevance,1.4378867267431787
DRI_L0size50_Nc50_Seed92,50,4,46415,SALG ELMA CHIPS CHEETOS 110G BOLA QUEIJO SUICO,aperitivo,3,first_relevance,1.0744659516678332
