nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
QA POLPA GOIABA QUALITA 100G,outro congelado,0.0007588869657835175,accuracy_on_full,minimize
AMEIXA SECA S CAROCO FELIZ 150G,inativo,0.0007588869657835175,accuracy_on_full,minimize
TENDER SEARA GOURMET KG,carne suina sazonal,0.0007588869657835175,accuracy_on_full,minimize
GELINHO KIDOCE PARDINI 300G,sorvete,0.0007588869657835175,accuracy_on_full,minimize
SODA CAUSTICA SOL 1KG,outro produto de limpeza domestica,0.0007588869657835175,accuracy_on_full,minimize
MAR CAM HMA SUBLIMADA V23 MNO 4A12,camisa uv,0.0007588869657835175,accuracy_on_full,minimize
"TERRA VEGETAL 1,5KG",plantas e sementes,0.0007588869657835175,accuracy_on_full,minimize
CAIXA ORG REYPLAST SUPREMA CZ SOL 28L,caixa organizadora,0.0007588869657835175,accuracy_on_full,minimize
MM DESENGORD RF MEMBERS MARK 1.1LT,desengordurante,0.0007588869657835175,accuracy_on_full,minimize
MI VDE PC BEN,milho,0.0007588869657835175,accuracy_on_full,minimize
