nm_item,nm_product,metric_value,metric_type,optimization_goal,l0_indices_str
COOKIES TODDY 57G ORIG,biscoito,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
JOGO AMERICANO 4 PECAS,jogo americano,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
BISC NESFIT COCO 160g,biscoito,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
PAO FRANCES RUSTICO SWIFT 120G,padaria e confeitaria fresca,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
BATATA FININHAS MCCAIN 400GR,vegetal congelado,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
REQ TIROLEZ 250G CULIN,requeijao,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
POLPA DE ABACAXI CONG DE MARCHI,polpa de fruta congelada,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
FINI N SWEEET COLAGENO 18G,bala,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
MIST BOLO APTI CHOC S/G 300G,preparo para bolo,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
CHINELO RIDER STREET AD  BRANCO 01,chinelo,0.1085535118726659,accuracy_on_full,minimize,"187905,199174,142343,195085,224790,42519,8222,70182,202306,246340,216659,222806,75864,201310,61541,62567,79463,199273,213106,10356,44148,224379,6785,18565,55944,48264,111248,69778,81047,122007,141977,189083,26270,41123,174244,229027,159912,86187,171180,17582,47285,91324,116924,194240,66244,185541,223436,46798,34515,60118,173280,236770,247522,42726,129767,43756,166125,96495,119025,162045,131840,195332,141574,145164,115991,101149,178461,43813,216397,73042,51558,185200,58229,38780,215425,202631,65415,81807,183194,146332,112541,171941,128938,52142,212401,28597,67006,167359,237508,205256,211406,7633,70097,69600,211938,6120,6126,59890,73715,208381"
