generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,1000,0.574074,0.194427,5497,2517,265,biscoito,1664e90e43,3.3962
1,1,1000,0.571446,0.183571,5513,2602,242,biscoito,4cc2461afe,3.6564
1,2,1000,0.568039,0.184134,5470,2580,254,biscoito,5cde4be975,3.5392
1,3,1000,0.576095,0.191373,5425,2537,267,biscoito,356064309b,4.3157
1,4,1000,0.567380,0.185650,5569,2529,257,biscoito,0eee220e23,3.6416
1,5,1000,0.576530,0.185862,5438,2553,253,biscoito,d30632a811,3.4552
1,6,1000,0.557442,0.180637,5512,2569,264,biscoito,87d2e6ada9,3.4799
1,7,1000,0.565139,0.191961,5517,2579,272,biscoito,2eb08d4102,3.6689
1,8,1000,0.569129,0.179731,5450,2528,246,biscoito,2b459e5a4f,3.4629
1,9,1000,0.577601,0.187685,5561,2593,256,biscoito,6e60a29e1c,3.4194
1,10,1000,0.569940,0.180829,5415,2577,255,biscoito,ec98215ff2,3.4294
1,11,1000,0.552965,0.177955,5477,2607,262,biscoito,f78174a336,3.3962
1,12,1000,0.573343,0.182157,5495,2595,260,biscoito,06f68cadfe,3.4107
1,13,1000,0.573531,0.185243,5496,2498,251,biscoito,6d2893298b,3.4482
1,14,1000,0.564831,0.180669,5490,2513,255,biscoito,ac2af51a6e,3.4585
1,15,1000,0.560693,0.176648,5411,2611,254,biscoito,6b3a99f210,3.4443
1,16,1000,0.558197,0.177529,5557,2607,258,biscoito,a67e843803,3.5270
1,17,1000,0.572113,0.181294,5423,2601,256,biscoito,564f3dc42e,3.4337
1,18,1000,0.568518,0.187604,5487,2634,264,biscoito,35daeb1242,3.5569
1,19,1000,0.569620,0.192306,5442,2580,262,biscoito,31f0ad973f,3.4289
2,0,1000,0.577601,0.187685,5561,2593,256,biscoito,6e60a29e1c,3.4194
2,1,1000,0.576530,0.185862,5438,2553,253,biscoito,d30632a811,3.4552
2,2,1000,0.570060,0.180686,5422,2600,254,biscoito,2923023551,3.4027
2,3,1000,0.578392,0.187908,5562,2586,258,biscoito,00ef1deeae,3.4031
2,4,1000,0.565091,0.189925,5521,2530,267,biscoito,07a9a91c28,3.4880
2,5,1000,0.572608,0.185963,5401,2527,264,biscoito,10ec1c45ff,3.4354
2,6,1000,0.569521,0.181290,5503,2498,248,biscoito,54291385d1,3.4308
2,7,1000,0.573734,0.197265,5490,2528,266,biscoito,24c433276b,3.4716
2,8,1000,0.561972,0.183104,5462,2558,254,biscoito,0ccdcf7893,3.4627
2,9,1000,0.571877,0.194316,5473,2529,265,biscoito,b3765a31fa,3.4818
2,10,1000,0.577245,0.185516,5558,2597,255,biscoito,2ab5df4b14,3.4110
2,11,1000,0.577601,0.187685,5561,2593,256,biscoito,6e60a29e1c,3.4194
2,12,1000,0.570627,0.184712,5512,2608,244,biscoito,1ba2f58927,3.4010
2,13,1000,0.576343,0.191601,5426,2533,269,biscoito,12f5bf5a52,3.4183
2,14,1000,0.569357,0.183918,5518,2534,253,biscoito,72e35624c8,3.4712
2,15,1000,0.582693,0.192967,5539,2570,259,biscoito,be51db237d,3.4873
2,16,1000,0.567555,0.189204,5485,2552,269,biscoito,3855f26f7a,3.5750
2,17,1000,0.568230,0.177900,5429,2468,248,biscoito,2d5faaa51a,3.3589
2,18,1000,0.575028,0.179738,5437,2627,252,biscoito,77cf377f26,3.4254
2,19,1000,0.573035,0.185123,5496,2500,251,biscoito,c860f8057a,3.3518
3,0,1000,0.582693,0.192967,5539,2570,259,biscoito,be51db237d,3.4873
3,1,1000,0.578392,0.187908,5562,2586,258,biscoito,00ef1deeae,3.4031
3,2,1000,0.577601,0.187685,5561,2593,256,biscoito,6e60a29e1c,3.4194
3,3,1000,0.577601,0.187685,5561,2593,256,biscoito,6e60a29e1c,3.4194
3,4,1000,0.573734,0.197265,5490,2528,266,biscoito,24c433276b,3.4716
3,5,1000,0.576530,0.185862,5438,2553,253,biscoito,d30632a811,3.4552
3,6,1000,0.566405,0.184391,5548,2560,254,biscoito,f2442fe1a9,3.4530
3,7,1000,0.574873,0.180688,5510,2513,246,biscoito,e440f5c682,3.4810
3,8,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
3,9,1000,0.575835,0.176347,5474,2613,248,biscoito,63a182cfc2,3.4470
3,10,1000,0.578879,0.186857,5460,2614,261,biscoito,7727cacfc2,3.5109
3,11,1000,0.574769,0.180638,5535,2602,253,biscoito,e31f880ca6,3.4811
3,12,1000,0.560885,0.182538,5546,2553,252,biscoito,681e18bfcb,3.4574
3,13,1000,0.568334,0.184882,5441,2554,249,biscoito,eb9c24d2cf,3.3858
3,14,1000,0.576187,0.184128,5539,2622,253,biscoito,2eed4c698e,3.4275
3,15,1000,0.578439,0.186284,5453,2585,259,biscoito,25ea0c5187,3.5023
3,16,1000,0.570483,0.184514,5504,2507,254,biscoito,c74af4c015,3.3566
3,17,1000,0.570144,0.189415,5575,2618,264,biscoito,28989f3746,3.3239
3,18,1000,0.572097,0.187995,5512,2618,264,biscoito,f7cb928d3f,3.4082
3,19,1000,0.583560,0.192121,5491,2533,255,biscoito,a6ce9f4edd,3.4525
4,0,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
4,1,1000,0.583560,0.192121,5491,2533,255,biscoito,a6ce9f4edd,3.4525
4,2,1000,0.577245,0.187146,5563,2589,256,biscoito,4752d60987,3.5315
4,3,1000,0.583995,0.190008,5524,2606,262,biscoito,338e9100fa,3.4069
4,4,1000,0.570467,0.187648,5567,2625,262,biscoito,edd11352d9,3.4098
4,5,1000,0.573343,0.192967,5484,2528,263,biscoito,bb5460a443,3.4229
4,6,1000,0.572520,0.185531,5530,2609,255,biscoito,090653eb61,3.3496
4,7,1000,0.585753,0.193931,5558,2562,256,biscoito,37c14ae6b1,3.4175
4,8,1000,0.578619,0.191661,5530,2581,260,biscoito,87427b7ceb,3.4219
4,9,1000,0.576582,0.175649,5483,2595,248,biscoito,c80fd9d960,3.3875
4,10,1000,0.575971,0.181895,5540,2610,254,biscoito,897db4397f,3.5657
4,11,1000,0.576295,0.186581,5554,2587,256,biscoito,7d796ffe13,3.4567
4,12,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
4,13,1000,0.582753,0.189155,5525,2600,260,biscoito,18aead2337,3.4994
4,14,1000,0.573011,0.183165,5440,2590,257,biscoito,29414ccab5,3.6640
4,15,1000,0.579666,0.187419,5476,2606,255,biscoito,30a8f67cba,3.4527
4,16,1000,0.576187,0.184128,5539,2622,253,biscoito,2eed4c698e,3.4275
4,17,1000,0.576187,0.184128,5539,2622,253,biscoito,2eed4c698e,3.4275
4,18,1000,0.579714,0.187926,5565,2601,255,biscoito,55ea0f6ad2,3.4682
4,19,1000,0.575620,0.188803,5535,2623,263,biscoito,06fc5e833e,3.4595
5,0,1000,0.585753,0.193931,5558,2562,256,biscoito,37c14ae6b1,3.4175
5,1,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
5,2,1000,0.576159,0.179631,5478,2569,249,biscoito,3ff57aab23,3.4843
5,3,1000,0.572780,0.185156,5530,2589,257,biscoito,cb022f3009,3.4276
5,4,1000,0.578260,0.187437,5570,2588,254,biscoito,b931d552e6,3.5340
5,5,1000,0.580972,0.190983,5516,2603,256,biscoito,3da906bcdb,3.4271
5,6,1000,0.583009,0.186520,5479,2634,252,biscoito,ad894f8b34,3.4523
5,7,1000,0.578683,0.193006,5529,2529,257,biscoito,8cdc6a3cae,3.4172
5,8,1000,0.583340,0.188168,5526,2600,262,biscoito,b270b60a60,3.4189
5,9,1000,0.584015,0.191115,5524,2605,261,biscoito,65a2561465,3.2964
5,10,1000,0.578619,0.191661,5530,2581,260,biscoito,87427b7ceb,3.4219
5,11,1000,0.572300,0.185795,5542,2596,257,biscoito,bdc9fffdf1,3.5455
5,12,1000,0.583017,0.187664,5530,2606,260,biscoito,08cf62c7bf,3.4479
5,13,1000,0.583276,0.191282,5519,2601,262,biscoito,8e4413d754,3.5420
5,14,1000,0.576582,0.175649,5483,2595,248,biscoito,c80fd9d960,3.3875
5,15,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
5,16,1000,0.578204,0.188027,5557,2579,258,biscoito,ab4d4fbedd,3.5314
5,17,1000,0.588677,0.196216,5530,2587,262,biscoito,6261d9a18f,3.4548
5,18,1000,0.581938,0.186616,5510,2634,254,biscoito,1e85cbc43d,3.3660
5,19,1000,0.579250,0.187885,5562,2578,258,biscoito,ca663310b1,3.4140
6,0,1000,0.588677,0.196216,5530,2587,262,biscoito,6261d9a18f,3.4548
6,1,1000,0.585753,0.193931,5558,2562,256,biscoito,37c14ae6b1,3.4175
6,2,1000,0.584067,0.191811,5527,2609,262,biscoito,070ac06d0f,3.3595
6,3,1000,0.583995,0.189293,5520,2599,262,biscoito,311704f603,3.3933
6,4,1000,0.582637,0.189403,5510,2582,259,biscoito,71f5c34518,3.3862
6,5,1000,0.576251,0.186368,5560,2591,256,biscoito,0e66e38169,3.3865
6,6,1000,0.581739,0.186189,5514,2632,253,biscoito,964173910c,3.4410
6,7,1000,0.588864,0.196516,5526,2590,263,biscoito,d5978a4aa6,3.3466
6,8,1000,0.583017,0.187664,5530,2606,260,biscoito,08cf62c7bf,3.4479
6,9,1000,0.579877,0.186583,5527,2599,262,biscoito,c1d45a2c8e,3.2755
6,10,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
6,11,1000,0.583009,0.186520,5479,2634,252,biscoito,ad894f8b34,3.4523
6,12,1000,0.576179,0.185595,5567,2586,254,biscoito,1abff0ee02,3.4282
6,13,1000,0.586963,0.194846,5553,2570,256,biscoito,9d1519ae1a,3.3781
6,14,1000,0.587730,0.192066,5532,2597,264,biscoito,51bf119a52,3.3562
6,15,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
6,16,1000,0.580972,0.190983,5516,2603,256,biscoito,3da906bcdb,3.4271
6,17,1000,0.585753,0.193931,5558,2562,256,biscoito,37c14ae6b1,3.4175
6,18,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
6,19,1000,0.584495,0.190300,5525,2604,263,biscoito,bc42bb88c8,3.4880
7,0,1000,0.588864,0.196516,5526,2590,263,biscoito,d5978a4aa6,3.3466
7,1,1000,0.588677,0.196216,5530,2587,262,biscoito,6261d9a18f,3.4548
7,2,1000,0.586180,0.194137,5556,2567,255,biscoito,64cbce8987,3.4093
7,3,1000,0.588677,0.195504,5526,2587,261,biscoito,c40f27eb46,3.3766
7,4,1000,0.584067,0.191811,5527,2609,262,biscoito,070ac06d0f,3.3595
7,5,1000,0.586795,0.194428,5530,2589,262,biscoito,8a397b1b61,3.4467
7,6,1000,0.581523,0.188259,5515,2585,258,biscoito,e6755bd058,3.4663
7,7,1000,0.587327,0.195178,5526,2586,262,biscoito,2838772684,3.4941
7,8,1000,0.583017,0.187664,5530,2606,260,biscoito,08cf62c7bf,3.4479
7,9,1000,0.588677,0.196216,5530,2587,262,biscoito,6261d9a18f,3.4548
7,10,1000,0.580269,0.187900,5570,2581,259,biscoito,95e852ac96,3.6288
7,11,1000,0.586284,0.194500,5510,2595,261,biscoito,be2dea2999,3.4554
7,12,1000,0.584966,0.194467,5554,2569,260,biscoito,4eefca32e8,3.4278
7,13,1000,0.587342,0.196849,5537,2568,261,biscoito,86809188da,3.4430
7,14,1000,0.583892,0.190801,5521,2600,262,biscoito,9b34b4ca63,3.4033
7,15,1000,0.585042,0.191380,5525,2595,263,biscoito,ebd7521253,3.3864
7,16,1000,0.587494,0.196162,5523,2592,269,biscoito,ab96b65b9b,3.4635
7,17,1000,0.583931,0.187724,5523,2590,261,biscoito,7244ddb546,3.5309
7,18,1000,0.585777,0.194042,5558,2563,256,biscoito,7858021407,3.3951
7,19,1000,0.588073,0.195512,5530,2585,261,biscoito,e06465e414,3.3895
8,0,1000,0.588864,0.196516,5526,2590,263,biscoito,d5978a4aa6,3.3466
8,1,1000,0.588677,0.196216,5530,2587,262,biscoito,6261d9a18f,3.4548
8,2,1000,0.586072,0.196275,5531,2586,260,biscoito,0f6ecc9f83,3.4472
8,3,1000,0.581487,0.194873,5529,2574,260,biscoito,53c1367e83,3.3713
8,4,1000,0.587874,0.192449,5516,2588,260,biscoito,4aa3a58692,3.4249
8,5,1000,0.587330,0.191466,5548,2575,262,biscoito,c20ad891e4,3.4119
