nm_item,nm_product,metric_value,metric_type,optimization_goal
CARNE SUIN ESPINHACO KG,carne suina,0.535045247284404,f1_macro_on_full,maximize
"WHISKY WHITE 1L, HORSE TRAD, .",whisky,0.535045247284404,f1_macro_on_full,maximize
PAO WICKBOLD 400G INTEG FREKEN/NOZ PECA,padaria e confeitaria industrializado,0.535045247284404,f1_macro_on_full,maximize
AMAC CARREFOUR ESSENTIAL ROSARIUM 2L,amaciante,0.535045247284404,f1_macro_on_full,maximize
"SH JOHNS BABY 400ML, REGULAR, .",shampoo infantil,0.535045247284404,f1_macro_on_full,maximize
ENERGETICO FUSION 1L PET,energetico,0.535045247284404,f1_macro_on_full,maximize
VH PERGOLA TTO SUAVE TINTO 1L,vinho nacional,0.535045247284404,f1_macro_on_full,maximize
PROTET DIARIO ALWAYS SENSITIVE LV80PG60,absorvente,0.535045247284404,f1_macro_on_full,maximize
COPO DESC COPOPLAST 200ML C100 TR,copo descartavel,0.535045247284404,f1_macro_on_full,maximize
PNEU PIRELLI 195 65R15 91H F EVO,automotivo,0.535045247284404,f1_macro_on_full,maximize
PP BROCOLIS GRANO 1 KG,brocolis,0.535045247284404,f1_macro_on_full,maximize
VH CHI TTO C DIABLO RED BLEND 750ML,vinho importado,0.535045247284404,f1_macro_on_full,maximize
MANT EXT PRESIDENT TABLETE S/S 200G,manteiga,0.535045247284404,f1_macro_on_full,maximize
AZEITE EV ANDORINHA REVOA 500ML,azeite de oliva,0.535045247284404,f1_macro_on_full,maximize
FDA HUGGIES ROUPINHA HIPER XG C/48,fralda,0.535045247284404,f1_macro_on_full,maximize
LEITE COCO MIL SELECT 200ml,leite de coco,0.535045247284404,f1_macro_on_full,maximize
CAIXA TERMICA GARDENLIFE 34 LITROS,caixa termica,0.535045247284404,f1_macro_on_full,maximize
BISC AYMORE BANANA CANELA 200G,biscoito,0.535045247284404,f1_macro_on_full,maximize
"CR DENT COLG T 12, PROF G SAUDAV 70G, .",creme dental,0.535045247284404,f1_macro_on_full,maximize
QA PANETONE CHOCOT EMB 500G,panificacao natal,0.535045247284404,f1_macro_on_full,maximize
SALSICHA OLHO BOCKWURST VERMELHA      KG,salsicha,0.535045247284404,f1_macro_on_full,maximize
IOG BATAVO GREGO ZERO TRAD 100G,iogurte,0.535045247284404,f1_macro_on_full,maximize
AZEITONA VDE FAT CARREFOUR 180G,azeitona,0.535045247284404,f1_macro_on_full,maximize
LAMP SUPERLED 9W OUROLUX,lampada,0.535045247284404,f1_macro_on_full,maximize
GRANOLA DA MAGRINHA GRAN S/ACUC PCT 850G,granola,0.535045247284404,f1_macro_on_full,maximize
AMENDOIM ANGELICA 100G TORRADO S/SAL,amendoim,0.535045247284404,f1_macro_on_full,maximize
"SAB GRANADO 90G, GLICERINA",sabonete,0.535045247284404,f1_macro_on_full,maximize
TORTILHA TAPIOCA VEG INTEGRAL IQI 240G,tapioca,0.535045247284404,f1_macro_on_full,maximize
BATATA MEGA CHIPS 40G-PC LISA BACON/BARBECUE,aperitivo,0.535045247284404,f1_macro_on_full,maximize
VELA N3 BC KIREY,vela,0.535045247284404,f1_macro_on_full,maximize
"IOG VIGOR 170G, NAT DESN, .",iogurte,0.535045247284404,f1_macro_on_full,maximize
CEREAL MAT SUCRILHOS 690G-CX CHOC,cereal matinal,0.535045247284404,f1_macro_on_full,maximize
"MARG VIGOR MIX 500G, C/SAL, .",margarina,0.535045247284404,f1_macro_on_full,maximize
TOMATE PELADO BARONIA 400G,polpa de tomate,0.535045247284404,f1_macro_on_full,maximize
"SACO LIXO DOVER ROLL RESIST C/20, 30L",saco de lixo,0.535045247284404,f1_macro_on_full,maximize
"DESOD AER REXONA L P- 250ML, ANT INV, .",desodorante,0.535045247284404,f1_macro_on_full,maximize
"BOLO LITTLE BITES 66G, CHOCOLATE",padaria e confeitaria industrializado,0.535045247284404,f1_macro_on_full,maximize
COOKIES BAUDUCCO ORIGINAL       PE  100G,biscoito,0.535045247284404,f1_macro_on_full,maximize
LING TOS ROCCA FIN KG,linguica,0.535045247284404,f1_macro_on_full,maximize
"CHICKEN SEARA TURMA DA MON 300G, QJO, .",empanado congelado,0.535045247284404,f1_macro_on_full,maximize
PAO SOVADO KIM 500G,padaria e confeitaria industrializado,0.535045247284404,f1_macro_on_full,maximize
COREGA ULTRA CR 40G MENTA,fixador de dentadura,0.535045247284404,f1_macro_on_full,maximize
REFRESCO MID 20G PO BAUNILH C/LIMAO,preparo para suco,0.535045247284404,f1_macro_on_full,maximize
SB YPE PERFUNADO AZUL 1KG,sabao em pedra,0.535045247284404,f1_macro_on_full,maximize
CIG CHESTERFIELD ORIFINAL SOF,cigarro,0.535045247284404,f1_macro_on_full,maximize
"COND TRESEMME 400ML GTS100ML, REC, .",condicionador,0.535045247284404,f1_macro_on_full,maximize
QUEIJO PRATO SADIA SOLTISSIMO FAT   200G,queijo,0.535045247284404,f1_macro_on_full,maximize
CARVAO 5KG IVOTI  5KG,carvao,0.535045247284404,f1_macro_on_full,maximize
COND SEDA 325ML LISO PERF,condicionador,0.535045247284404,f1_macro_on_full,maximize
BIO C 1GR CPR EFERV C 10 UQ,outro farma,0.535045247284404,f1_macro_on_full,maximize
MOLHO MADEIRA ELEGE 200G,outro molho,0.535045247284404,f1_macro_on_full,maximize
SALG YOKITOS QJO CONCH 54G,aperitivo,0.535045247284404,f1_macro_on_full,maximize
COQUETEL RAYSLOF ICE RED FRUITS GF 275ML,bebida mista,0.535045247284404,f1_macro_on_full,maximize
LIMP MULTIUSO YPE 500ML ANTIBAC,multiuso,0.535045247284404,f1_macro_on_full,maximize
COQUETEL RAYSLOF ICE LIMAO      GF 275ML,bebida mista,0.535045247284404,f1_macro_on_full,maximize
GUARANA GUARAVITA NATURAL 290ML,cha pronto,0.535045247284404,f1_macro_on_full,maximize
"KIT TRESEMME SH400 COND200ML, HID PRO, .",kit para cabelos,0.535045247284404,f1_macro_on_full,maximize
"BISC RICHESTER TORTINHA 140g, MOR",biscoito,0.535045247284404,f1_macro_on_full,maximize
MAIONESE HEINZ PT 400G,maionese,0.535045247284404,f1_macro_on_full,maximize
PAST D AMEN INTEGRA BRANCO 450G,pasta de amendoim,0.535045247284404,f1_macro_on_full,maximize
ACUCAR DEMERARA PETRIBU SALUTE 1Kg,acucar,0.535045247284404,f1_macro_on_full,maximize
"BISC RICHESTER TORTINHA 140g, LIMAO",biscoito,0.535045247284404,f1_macro_on_full,maximize
FILE DE PEITO IQF CONG PERDIGAO 800G,carne de ave,0.535045247284404,f1_macro_on_full,maximize
"LIMP AJAX L PESADA 500ML, FRESH BLUE, .",multiuso,0.535045247284404,f1_macro_on_full,maximize
HAMB FRANGO EMPANADO SADIA 90G,hamburguer congelado,0.535045247284404,f1_macro_on_full,maximize
TALHARIM ITALIA 500G 500G,macarrao,0.535045247284404,f1_macro_on_full,maximize
SABON LUX BUQUE DE JASMIM            85G,sabonete,0.535045247284404,f1_macro_on_full,maximize
SUCO FRUIT SHOOT UVA 150ML,suco pronto,0.535045247284404,f1_macro_on_full,maximize
BISC RECH PARATI HOT CRACKER PRES 150g,biscoito,0.535045247284404,f1_macro_on_full,maximize
VH BRA D.GRANO 750ML DEMI SEC GOLD,vinho nacional,0.535045247284404,f1_macro_on_full,maximize
FILEZINHO CONG BANDJ MERC CRFO 1KG,carne de ave,0.535045247284404,f1_macro_on_full,maximize
IOG LIQ INF P BEBER DANONINHO 100G BAN M,iogurte,0.535045247284404,f1_macro_on_full,maximize
"CAPSULA PILAO C/10 52G, EXPRESSO 10, .",cafe,0.535045247284404,f1_macro_on_full,maximize
CERVEJA BRAHMA DUPLO MALTE 330ML-LN,cerveja,0.535045247284404,f1_macro_on_full,maximize
MAS CAS N4 MOSMANN  500G,macarrao,0.535045247284404,f1_macro_on_full,maximize
TRUFA CHOCOLATE SORTIDA LACTA 138G,bombom,0.535045247284404,f1_macro_on_full,maximize
"SIDRA CERESER 660ML, UVA, .",sidra,0.535045247284404,f1_macro_on_full,maximize
"BEB CERESER GASEIF 660ML, MACA S/ALC, .",espumante,0.535045247284404,f1_macro_on_full,maximize
"BEB CERESER GASEIF 660ML, MGO S/ALC, .",espumante,0.535045247284404,f1_macro_on_full,maximize
BISC DE MILHO FIT FOOD 130 GRAMA 1,biscoito,0.535045247284404,f1_macro_on_full,maximize
BISC BAUDUCCO COOKIE MAXI CHOC   PCT 96G,biscoito,0.535045247284404,f1_macro_on_full,maximize
PANO MULTI AZUL 5UN ROSA 5UN,pano para limpeza,0.535045247284404,f1_macro_on_full,maximize
"SORV KIBON INSPIRACOES 1,3L-PT BROWNIE/CAST",sorvete,0.535045247284404,f1_macro_on_full,maximize
"GELAT ROYAL Z 12G, UVA, .",gelatina,0.535045247284404,f1_macro_on_full,maximize
ESPATULA TRAM MANTEIGA PRETA    AV   1UN,outro utensilio de cozinha,0.535045247284404,f1_macro_on_full,maximize
BISTECA SUINA SWIFT 1 KG,carne suina,0.535045247284404,f1_macro_on_full,maximize
"MOLHO ELEGE 200G, MADEIRA, .",outro molho,0.535045247284404,f1_macro_on_full,maximize
MASSA INST GALINHA CAIP GERMANI 63G,macarrao,0.535045247284404,f1_macro_on_full,maximize
LINGUICA SADIA TOSCANA 950 G,linguica,0.535045247284404,f1_macro_on_full,maximize
BIFE DE ALCATRA SWIFT 900G,carne bovina,0.535045247284404,f1_macro_on_full,maximize
DESENG CIF GT 500ML,desengordurante,0.535045247284404,f1_macro_on_full,maximize
KALANCHOE P15  PT15,plantas e sementes,0.535045247284404,f1_macro_on_full,maximize
TYLENOL 750 MG C4 CPR,outro farma,0.535045247284404,f1_macro_on_full,maximize
FRANGO SEARA PADARIA C/CERVEJA CONG   KG,carne de ave,0.535045247284404,f1_macro_on_full,maximize
"SOPAO MAGGI 200G, CNE/MAC/LEG, .",preparo para sopa,0.535045247284404,f1_macro_on_full,maximize
CREME DENTAL ORAL B 3DWHITE 140G LV  PG-,creme dental,0.535045247284404,f1_macro_on_full,maximize
LING CALAB SAUDALINHA FINA 500G,linguica,0.535045247284404,f1_macro_on_full,maximize
ATADURA CREPE 13F 8CMX1.80M NEVE,outro farma,0.535045247284404,f1_macro_on_full,maximize
FILE DE PEITO EM CUBOS SWIFT 1KG,carne bovina,0.535045247284404,f1_macro_on_full,maximize
CREME LEITE DAMARE LEVE 200G,queijo,0.535045247284404,f1_macro_on_full,maximize
COXA/SOBRECOXA PIONEIRO BDJ 500g,carne de ave,0.535045247284404,f1_macro_on_full,maximize
LEITE FERM MINIONS VIGOR TRAD 900G,leite fermentado,0.535045247284404,f1_macro_on_full,maximize
"CHOC NESTLE PRESTIGIO 33G, TRAD, .",chocolate,0.535045247284404,f1_macro_on_full,maximize
"HOT POCKET SADIA 145G, PICANHA, .",sanduiche congelado,0.535045247284404,f1_macro_on_full,maximize
IVY C AOX 30GR,produto facial,0.535045247284404,f1_macro_on_full,maximize
QJ PTO FT TIROL 150G . 150G,queijo,0.535045247284404,f1_macro_on_full,maximize
BACON SADIA INTEIRO BAKN PEC KG,carne suina,0.535045247284404,f1_macro_on_full,maximize
CALDO KNORR 35G LEGUMES,caldo industrializado,0.535045247284404,f1_macro_on_full,maximize
ALIM GATOS QUALIDY AD PREMIUM D MAR 500G,alimento pet,0.535045247284404,f1_macro_on_full,maximize
BEB LACTEA FRUTI MORG NINHO 250G,bebida lactea,0.535045247284404,f1_macro_on_full,maximize
DESOD DOVE 250ML AERO MASC INVISIB L P-,desodorante,0.535045247284404,f1_macro_on_full,maximize
MAC INS CAIPI RENATA 85G,macarrao,0.535045247284404,f1_macro_on_full,maximize
AGUA TONICA ANTARTICA 269ML,agua tonica,0.535045247284404,f1_macro_on_full,maximize
"SOBREM BATAVO 180G, CHOC BC, .",iogurte,0.535045247284404,f1_macro_on_full,maximize
FERMENTO BIO FLEISCHMAN L3P2 PCT 3x10G,fermento,0.535045247284404,f1_macro_on_full,maximize
"MANTEIGA BATAVO TBL 200G, C/SAL, .",manteiga,0.535045247284404,f1_macro_on_full,maximize
IOG GREGO PENSE ZERO TRAD BATAVO 100G,iogurte,0.535045247284404,f1_macro_on_full,maximize
FIGO CALDA CROCHEMOR 450G,conserva doce,0.535045247284404,f1_macro_on_full,maximize
REVOC 100MG C.60 COMPR.PSICO ABBOTT,outro farma,0.535045247284404,f1_macro_on_full,maximize
ALIM CAES KELDOG AD CARN ERV CEN SC 100G,alimento pet,0.535045247284404,f1_macro_on_full,maximize
KIT GLITTER LATA MINI COOK 150G,biscoito,0.535045247284404,f1_macro_on_full,maximize
"TORTA SADIA 500G, FGO/CATUP, .",outro congelado,0.535045247284404,f1_macro_on_full,maximize
GOIABADA MILLEVA 300G BLOCO,goiabada,0.535045247284404,f1_macro_on_full,maximize
CERV BADEN CRISTAL GF 600ML,cerveja,0.535045247284404,f1_macro_on_full,maximize
"NUGGETS SADIA 300G, FGO CROC, .",empanado congelado,0.535045247284404,f1_macro_on_full,maximize
SACOLA RETOR 903 BBP SORT,sacola retornavel,0.535045247284404,f1_macro_on_full,maximize
PASTEL FGO/CATUPIRY GRILL kg,padaria e confeitaria fresca,0.535045247284404,f1_macro_on_full,maximize
BIS REC ANIM MGO  130G,biscoito,0.535045247284404,f1_macro_on_full,maximize
"CAFE PILAO 500G, TRAD VAC, .",cafe,0.535045247284404,f1_macro_on_full,maximize
BISC OREO RECH BAUNILHA PCT 270G LV  PG-,biscoito,0.535045247284404,f1_macro_on_full,maximize
AGUA GAS PRIME 510ML,agua,0.535045247284404,f1_macro_on_full,maximize
CESTA SUPREME BISCOITO LIMAO 100G,cesta basica,0.535045247284404,f1_macro_on_full,maximize
BISC COOKIE TODDY 75G EXTRA CHOCOLATE,biscoito,0.535045247284404,f1_macro_on_full,maximize
MOLHO 3X1 QUERO 200G,outro molho,0.535045247284404,f1_macro_on_full,maximize
SABAO PEDRA ASSIM C/5 NEUTRO,sabao em pedra,0.535045247284404,f1_macro_on_full,maximize
SALGADO MINI COXINHA KG,padaria e confeitaria fresca,0.535045247284404,f1_macro_on_full,maximize
OLEO SOJA COAMO 900ML,oleo vegetal,0.535045247284404,f1_macro_on_full,maximize
"BOLO 400G, CHOCOLATE",padaria e confeitaria fresca,0.535045247284404,f1_macro_on_full,maximize
MORTADELA PERDIGAO BOLOGNA FAT KG,mortadela,0.535045247284404,f1_macro_on_full,maximize
INSET.SBP AERO MULT.SUP.ECON.   LT 550ML,inseticida,0.535045247284404,f1_macro_on_full,maximize
JABUTICABA BEN UN,outra fruta,0.535045247284404,f1_macro_on_full,maximize
JO FRIGIDEIRA GRILL 26 CM PT,panela,0.535045247284404,f1_macro_on_full,maximize
TORRADA WICKBOLD INTEGRAL 140G,torrada,0.535045247284404,f1_macro_on_full,maximize
ACETILCISTEINA 600MG LARANJA C  16 SAC 5,outro farma,0.535045247284404,f1_macro_on_full,maximize
CHIPS FHOM BATATA DOCE           PCT 45G,aperitivo,0.535045247284404,f1_macro_on_full,maximize
"ABS SEMPRE L ADAPT 8UN, SVE S/AB",absorvente,0.535045247284404,f1_macro_on_full,maximize
BISC RECH OREO MINI 35G,biscoito,0.535045247284404,f1_macro_on_full,maximize
MAC NISSIN LAMEN HOT CARNE DESFIADA 85g,macarrao,0.535045247284404,f1_macro_on_full,maximize
"DESOD R NIVEA 50ML, DRY IMPACT, .",desodorante,0.535045247284404,f1_macro_on_full,maximize
IOG LIQ ITAMBE FIT LIGHT 850G  MORANGO,iogurte,0.535045247284404,f1_macro_on_full,maximize
CERV PATAGONIA WEISSE LT 473ML,cerveja,0.535045247284404,f1_macro_on_full,maximize
QJO RAL PARM COOP 100G,queijo,0.535045247284404,f1_macro_on_full,maximize
CURATIVO BAND-AID TRANSPARENTE      40UN,curativo adesivo,0.535045247284404,f1_macro_on_full,maximize
POLPETONE GOUMERT 320G,outro congelado,0.535045247284404,f1_macro_on_full,maximize
HIDROCULTURA  PLANTA ORNAMENTAL PT05,plantas e sementes,0.535045247284404,f1_macro_on_full,maximize
COCA COLA ZR PET 1L,refrigerante,0.535045247284404,f1_macro_on_full,maximize
HAMBURGUER SEARA GOURM FGO EMP 320G,hamburguer congelado,0.535045247284404,f1_macro_on_full,maximize
MEL ORGANICO CASA APIS BISNAGA 340G,mel,0.535045247284404,f1_macro_on_full,maximize
FAROFA MAND YOKI TEMP TRAD 500G,farofa pronta,0.535045247284404,f1_macro_on_full,maximize
CAFE TORR MOI FORT 3 CORACOES VACUO 500G,cafe,0.535045247284404,f1_macro_on_full,maximize
CAP CAFE VENEZZA NESP ITALLE 50G,cafe,0.535045247284404,f1_macro_on_full,maximize
COXA FGO TEMP ASSA FACIL PERDIGAO 1.2KG,carne de ave,0.535045247284404,f1_macro_on_full,maximize
CREME MORANGO CANAA CONG PT 1L,acai,0.535045247284404,f1_macro_on_full,maximize
PEIXE CORVINA LUZITANIA POSTA 800g,peixe,0.535045247284404,f1_macro_on_full,maximize
PROTET DIARIO CAREFREE FL S/P C/80 L PG-,absorvente,0.535045247284404,f1_macro_on_full,maximize
COB CHOC HARALD TOP GOTAS 1.010G M-AMARGO,chocolate,0.535045247284404,f1_macro_on_full,maximize
"SAB DOVE 90G, LTE COCO, .",sabonete,0.535045247284404,f1_macro_on_full,maximize
"CHOC GAROTO BATON 16G, DUO BC, .",chocolate,0.535045247284404,f1_macro_on_full,maximize
COB CHOC TOP HARALD 1.010 KG BLEND,chocolate,0.535045247284404,f1_macro_on_full,maximize
NECTAR MACA MAGUARY 1L,suco pronto,0.535045247284404,f1_macro_on_full,maximize
CRM PENTEAR SEDA JUNT MOANA CACHOS 300ML,creme para pentear,0.535045247284404,f1_macro_on_full,maximize
IOGURTE INTEGRAL MORA DANONE SQUEEZE 90G,iogurte,0.535045247284404,f1_macro_on_full,maximize
MILHO VERDE QUERO                LT 170G,milho verde em conserva,0.535045247284404,f1_macro_on_full,maximize
G AC ACETILSALICILICO 100MG C/30  CP EMS,outro farma,0.535045247284404,f1_macro_on_full,maximize
ANTI-IMPACTO SCOTCH REDONDO            M,outro bazar e departamentos,0.535045247284404,f1_macro_on_full,maximize
MASSA DON SAPORE SEMOLA PENA 500g,macarrao,0.535045247284404,f1_macro_on_full,maximize
CRM PENTEAR SEDA JUNTIN FROZEN BRI 300ML,creme para pentear,0.535045247284404,f1_macro_on_full,maximize
CHOC TAB CHURROS GAROTO 90G,chocolate,0.535045247284404,f1_macro_on_full,maximize
NC TIAL GOI KD 200ML 200ML,suco pronto,0.535045247284404,f1_macro_on_full,maximize
PASTA AMEND DA COLONIA POWER INT 500g,pasta de amendoim,0.535045247284404,f1_macro_on_full,maximize
SALSICHAO COPACOL 600G,linguica,0.535045247284404,f1_macro_on_full,maximize
"SH PALMOLIVE NAT 350ML, NEUTRO, .",shampoo,0.535045247284404,f1_macro_on_full,maximize
E MATE REI C ACUC VE TRADIC 1KG,erva mate,0.535045247284404,f1_macro_on_full,maximize
BEBIDA ENERG.RED BULL TROPICAL  LT 250ML,energetico,0.535045247284404,f1_macro_on_full,maximize
KIWI IMP BEN 500G,kiwi,0.535045247284404,f1_macro_on_full,maximize
BEBIDA LACT BELAGURT MORANGO/COCO 510g,bebida lactea,0.535045247284404,f1_macro_on_full,maximize
BISC RECH OREO 90G CHOC,biscoito,0.535045247284404,f1_macro_on_full,maximize
CERV BRAHMA LT 473ML,cerveja,0.535045247284404,f1_macro_on_full,maximize
CERVEJA WALS QUADRUPPEL GR 375ML,cerveja,0.535045247284404,f1_macro_on_full,maximize
CHAMPIGNON INTEIRO GOMES DA COSTA 100G,cogumelo,0.535045247284404,f1_macro_on_full,maximize
CERV WITBIER BLUE MOON BELGIAN LT 355ML,cerveja,0.535045247284404,f1_macro_on_full,maximize
LINGUICA TOSCANA ASSAD KG,linguica,0.535045247284404,f1_macro_on_full,maximize
