generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,100000,0.918627,0.813562,548843,34082,620,biscoito,1a08dfdd4f,17.3031
1,1,100000,0.919098,0.808720,548310,34168,621,biscoito,d5b16c7f2e,16.2980
1,2,100000,0.919050,0.813266,549276,34002,622,biscoito,e811b4931c,15.2093
1,3,100000,0.918803,0.805469,549315,34082,620,biscoito,efd4d62a04,16.4721
1,4,100000,0.919394,0.808806,548836,33955,621,biscoito,0ccc314443,14.6118
1,5,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
1,6,100000,0.918547,0.813210,548715,34106,621,biscoito,10e134be68,14.8391
1,7,100000,0.918159,0.801501,548638,33871,618,biscoito,7a8fd532d2,15.0048
1,8,100000,0.918431,0.807209,548753,33871,621,biscoito,c2a72fb50c,15.8615
1,9,100000,0.918731,0.807677,548527,33895,619,biscoito,e0a517e3c1,14.8711
1,10,100000,0.919266,0.813150,548928,33880,619,biscoito,e240b3a1a2,15.4673
1,11,100000,0.919054,0.807641,548567,34350,621,biscoito,5e18188a7b,14.2359
1,12,100000,0.918842,0.809388,548675,34086,621,biscoito,ff3b667c89,14.7608
1,13,100000,0.918763,0.808285,548275,34009,621,biscoito,d934151d07,14.6908
1,14,100000,0.919386,0.811832,548842,34183,622,biscoito,1a083969eb,15.4923
1,15,100000,0.918575,0.810848,548406,34198,622,biscoito,79b9fe822c,14.7420
1,16,100000,0.919014,0.803658,547945,33968,619,biscoito,693b20d68f,14.5615
1,17,100000,0.918838,0.805608,549169,33959,620,biscoito,31332e8998,14.0822
1,18,100000,0.918199,0.807145,548931,34055,621,biscoito,3a6a6e1a07,15.3463
1,19,100000,0.918359,0.806694,548352,33911,620,biscoito,c4413602aa,14.7432
2,0,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
2,1,100000,0.918159,0.801501,548638,33871,618,biscoito,7a8fd532d2,15.0048
2,2,100000,0.918623,0.804344,548940,34003,618,biscoito,9cdaf5cdfa,14.9878
2,3,100000,0.918443,0.808397,548695,34036,620,biscoito,2bf68388f4,14.6758
2,4,100000,0.919262,0.809532,548285,34133,620,biscoito,f4ee96c674,15.7664
2,5,100000,0.918363,0.808920,548439,33923,621,biscoito,6c4d0a49d3,14.1223
2,6,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
2,7,100000,0.918803,0.805469,549315,34082,620,biscoito,efd4d62a04,16.4721
2,8,100000,0.918128,0.812249,548775,34049,622,biscoito,bc3a1fa007,14.7376
2,9,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
2,10,100000,0.918499,0.810505,548253,33907,620,biscoito,33975502ff,14.0886
2,11,100000,0.918259,0.809805,548932,33897,621,biscoito,ccff9c3f5e,14.6930
2,12,100000,0.918159,0.801501,548638,33871,618,biscoito,7a8fd532d2,15.0048
2,13,100000,0.918627,0.813562,548843,34082,620,biscoito,1a08dfdd4f,17.3031
2,14,100000,0.919258,0.802961,547964,34029,617,biscoito,ce1a3a52d4,14.8071
2,15,100000,0.918187,0.811295,548749,33989,621,biscoito,fe1bc4c104,13.8868
2,16,100000,0.918639,0.805338,548738,33920,619,biscoito,87cefcd70a,14.2369
2,17,100000,0.918783,0.812103,548600,33991,620,biscoito,df629aacef,14.4383
2,18,100000,0.918731,0.807677,548527,33895,619,biscoito,e0a517e3c1,14.8711
2,19,100000,0.918199,0.807145,548931,34055,621,biscoito,3a6a6e1a07,15.3463
3,0,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
3,1,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
3,2,100000,0.919150,0.808199,548493,33990,618,biscoito,a4a52cf31a,14.7058
3,3,100000,0.917692,0.804905,548963,34038,621,biscoito,99286bce62,14.6045
3,4,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
3,5,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
3,6,100000,0.918731,0.807677,548527,33895,619,biscoito,e0a517e3c1,14.8711
3,7,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
3,8,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
3,9,100000,0.918116,0.811584,548734,34061,622,biscoito,a10162b327,14.7433
