generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,100000,0.918938,0.809052,548653,33992,621,biscoito,bd21b8fafc,12.4602
1,1,100000,0.918104,0.802683,548213,33933,619,biscoito,fbbbafd787,13.1714
1,2,100000,0.919466,0.815702,548874,33981,619,biscoito,b80682361f,12.8230
1,3,100000,0.918044,0.802962,548082,33900,618,biscoito,7dbc531010,12.4687
1,4,100000,0.919462,0.810944,548439,33934,620,biscoito,371aee1ab0,12.5869
1,5,100000,0.919250,0.809649,548194,33925,620,biscoito,5e6b9decde,12.4731
1,6,100000,0.918807,0.810598,548692,33855,619,biscoito,ebc636cb8f,12.3745
1,7,100000,0.919042,0.809894,548415,34190,621,biscoito,c044efec4d,12.8575
1,8,100000,0.918723,0.804326,548169,34081,620,biscoito,36fbdca23d,12.0804
1,9,100000,0.918870,0.811759,548953,34022,622,biscoito,f00bcd0c3d,12.2631
1,10,100000,0.919238,0.809573,548226,34032,619,biscoito,f0ec648d68,12.6433
1,11,100000,0.919258,0.808980,548275,34039,622,biscoito,f2a0c07ddc,12.8758
1,12,100000,0.918858,0.812036,548776,33821,619,biscoito,089b8820ab,12.2986
1,13,100000,0.918543,0.806020,548357,34010,621,biscoito,c41db1d3c6,12.2416
1,14,100000,0.918108,0.806056,548461,33757,619,biscoito,5e3e35535d,12.3560
1,15,100000,0.919973,0.806847,548295,33951,618,biscoito,2fbcc5368d,13.0966
1,16,100000,0.918787,0.805746,548395,33874,621,biscoito,929627c22f,12.3038
1,17,100000,0.919573,0.808127,548843,33933,616,biscoito,914f682c40,12.4033
1,18,100000,0.919561,0.809681,548987,33909,620,biscoito,12127cfb0a,14.3680
1,19,100000,0.919849,0.806749,548870,34083,620,biscoito,9d571f9d5a,13.2665
2,0,100000,0.919466,0.815702,548874,33981,619,biscoito,b80682361f,12.8230
2,1,100000,0.918858,0.812036,548776,33821,619,biscoito,089b8820ab,12.2986
2,2,100000,0.919537,0.810002,548216,34072,619,biscoito,16d9e0ebc4,12.6955
2,3,100000,0.919290,0.806277,548888,34000,618,biscoito,18c3e7b5a6,12.3100
2,4,100000,0.918431,0.811833,548523,33844,620,biscoito,b236956991,12.3356
2,5,100000,0.919346,0.809216,548615,33989,618,biscoito,56a68ae4f9,12.7057
2,6,100000,0.919098,0.810917,548558,33973,620,biscoito,0aebb83102,12.6944
2,7,100000,0.919118,0.812278,548745,33776,619,biscoito,c56d80f6ca,12.6074
2,8,100000,0.918866,0.809615,548671,33955,621,biscoito,393e30dd3e,13.8505
2,9,100000,0.918503,0.807370,548574,33992,617,biscoito,6003aaacec,12.8860
2,10,100000,0.918267,0.806827,548240,33978,621,biscoito,448d0d86a1,12.8851
2,11,100000,0.918623,0.810991,548731,33849,619,biscoito,3f2ffc9b30,12.6282
2,12,100000,0.919466,0.815702,548874,33981,619,biscoito,b80682361f,12.8230
2,13,100000,0.919573,0.808127,548843,33933,616,biscoito,914f682c40,12.4033
2,14,100000,0.918858,0.812036,548776,33821,619,biscoito,089b8820ab,12.2986
2,15,100000,0.919462,0.810944,548439,33934,620,biscoito,371aee1ab0,12.5869
2,16,100000,0.918691,0.804005,548336,33988,619,biscoito,e5bc583144,12.7475
2,17,100000,0.918978,0.809096,548461,33819,620,biscoito,737167ba87,12.6754
2,18,100000,0.918543,0.814779,548857,33900,620,biscoito,47fb62c4a0,12.2931
2,19,100000,0.920197,0.817294,548869,33974,620,biscoito,da7b0829d3,12.6741
3,0,100000,0.920197,0.817294,548869,33974,620,biscoito,da7b0829d3,12.6741
3,1,100000,0.919466,0.815702,548874,33981,619,biscoito,b80682361f,12.8230
3,2,100000,0.918663,0.805412,549094,33997,618,biscoito,73d8ca0690,12.2878
3,3,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
3,4,100000,0.919589,0.816222,548777,33990,620,biscoito,bb32ba1be1,12.0827
3,5,100000,0.919054,0.816151,549033,33895,620,biscoito,f0bf880474,12.2966
3,6,100000,0.920137,0.817817,548976,34022,621,biscoito,b87d9c01ae,13.2765
3,7,100000,0.919154,0.810599,548469,33920,620,biscoito,8df6d3513c,12.1376
3,8,100000,0.919062,0.812411,548526,33752,619,biscoito,99de93bb78,12.1041
3,9,100000,0.919310,0.810995,549247,33851,619,biscoito,f904cdcdbc,12.7234
3,10,100000,0.918635,0.812767,549531,33762,621,biscoito,9b5f6b5198,12.7352
3,11,100000,0.917800,0.809455,547883,33995,617,biscoito,f4b66b3b88,12.4608
3,12,100000,0.918471,0.814208,548350,33820,621,biscoito,5c62603885,12.8326
3,13,100000,0.919186,0.811930,548880,33809,619,biscoito,a2b8fcc3cb,12.1261
3,14,100000,0.918295,0.810773,548739,33833,622,biscoito,8c8b473d45,12.0745
3,15,100000,0.918279,0.814723,548160,33644,619,biscoito,d4271e0b4d,13.1460
3,16,100000,0.919769,0.817760,549419,33915,620,biscoito,5ad800fe91,12.1855
3,17,100000,0.918727,0.813546,548737,33903,621,biscoito,f5134f1537,12.6154
3,18,100000,0.920197,0.817294,548869,33974,620,biscoito,da7b0829d3,12.6741
3,19,100000,0.918623,0.810991,548731,33849,619,biscoito,3f2ffc9b30,12.6282
4,0,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
4,1,100000,0.920137,0.817817,548976,34022,621,biscoito,b87d9c01ae,13.2765
4,2,100000,0.920372,0.817240,549001,33950,620,biscoito,faf7e4e4a7,12.7048
4,3,100000,0.918319,0.812981,549794,33852,622,biscoito,52707128b7,12.3693
4,4,100000,0.919394,0.819260,548395,33961,620,biscoito,ba319c5562,12.5511
4,5,100000,0.920137,0.817817,548976,34022,621,biscoito,b87d9c01ae,13.2765
4,6,100000,0.918926,0.817600,548321,33653,620,biscoito,e0ff7258b7,12.2891
4,7,100000,0.919849,0.816999,548866,34001,620,biscoito,ccd637ced5,12.5257
4,8,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
4,9,100000,0.919186,0.811930,548880,33809,619,biscoito,a2b8fcc3cb,12.1261
4,10,100000,0.918471,0.814208,548350,33820,621,biscoito,5c62603885,12.8326
4,11,100000,0.918471,0.814208,548350,33820,621,biscoito,5c62603885,12.8326
4,12,100000,0.919450,0.816770,549213,33935,621,biscoito,5fa89c9fdd,12.3944
4,13,100000,0.919649,0.816680,548698,33948,620,biscoito,3743eb5bf1,12.4241
4,14,100000,0.919050,0.816045,548175,34053,619,biscoito,88e9b5f883,13.8161
4,15,100000,0.919230,0.816444,549161,33918,619,biscoito,ff06dd3941,13.0072
4,16,100000,0.918427,0.814701,548867,33860,621,biscoito,6f911c935d,12.2540
4,17,100000,0.918443,0.813456,550586,33857,621,biscoito,92ab1958d1,12.1041
4,18,100000,0.919745,0.816132,548740,33996,620,biscoito,28b7539da1,14.0897
4,19,100000,0.920197,0.819347,548830,34020,621,biscoito,f201228b08,12.2824
5,0,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
5,1,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
5,2,100000,0.919661,0.817029,548658,33920,620,biscoito,750293edff,12.9406
5,3,100000,0.920009,0.817468,549127,33996,621,biscoito,2e7f94893e,12.0885
5,4,100000,0.919414,0.816778,548928,33970,619,biscoito,7b5c04a8a3,12.4282
5,5,100000,0.919773,0.817203,548661,34016,620,biscoito,5d9a89e80d,12.6081
5,6,100000,0.920089,0.819558,548753,33998,620,biscoito,8442902b8d,12.1920
5,7,100000,0.918611,0.814496,548437,33865,622,biscoito,b3b0595e8a,12.2848
5,8,100000,0.919050,0.819680,549101,33823,621,biscoito,a20faece60,11.9772
5,9,100000,0.919178,0.814871,548128,33858,620,biscoito,c084f51bc1,13.2568
5,10,100000,0.918831,0.820888,548152,33790,621,biscoito,80b6a1d8cd,12.2089
5,11,100000,0.919146,0.817145,548794,33855,620,biscoito,9af3724d73,12.3614
5,12,100000,0.919234,0.821818,548734,33849,621,biscoito,456245b42a,12.2371
5,13,100000,0.918807,0.813018,548573,33856,618,biscoito,990b79e9a5,12.1169
5,14,100000,0.920137,0.817817,548976,34022,621,biscoito,b87d9c01ae,13.2765
5,15,100000,0.920137,0.817817,548976,34022,621,biscoito,b87d9c01ae,13.2765
5,16,100000,0.920197,0.819347,548830,34020,621,biscoito,f201228b08,12.2824
5,17,100000,0.920197,0.819347,548830,34020,621,biscoito,f201228b08,12.2824
5,18,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
5,19,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
6,0,100000,0.919234,0.821818,548734,33849,621,biscoito,456245b42a,12.2371
6,1,100000,0.918831,0.820888,548152,33790,621,biscoito,80b6a1d8cd,12.2089
6,2,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
6,3,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
6,4,100000,0.919557,0.812228,549534,33991,620,biscoito,163f6d312e,12.6514
6,5,100000,0.919346,0.820837,548677,33899,621,biscoito,487b316850,12.5463
6,6,100000,0.920197,0.819347,548830,34020,621,biscoito,f201228b08,12.2824
6,7,100000,0.920197,0.819347,548830,34020,621,biscoito,f201228b08,12.2824
6,8,100000,0.919518,0.816725,547680,33868,620,biscoito,45d9203c37,12.6494
6,9,100000,0.918439,0.817951,549215,33860,621,biscoito,f94d41609e,12.2404
6,10,100000,0.919765,0.816053,549069,33900,621,biscoito,5b49bd604e,12.3006
6,11,100000,0.918842,0.819971,548667,33909,621,biscoito,1bd3ec3a40,12.3851
6,12,100000,0.919206,0.819477,548582,33959,621,biscoito,5ce618dc9d,12.1726
6,13,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
6,14,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
6,15,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
6,16,100000,0.919266,0.819539,548517,33955,621,biscoito,e9535cd6fb,12.0819
6,17,100000,0.918815,0.820920,548146,33785,621,biscoito,93fc6b1337,11.9715
6,18,100000,0.919693,0.818455,548303,33986,620,biscoito,bc7aee3047,13.1472
6,19,100000,0.919370,0.816280,549336,33946,621,biscoito,b01b12b190,12.7972
7,0,100000,0.919234,0.821818,548734,33849,621,biscoito,456245b42a,12.2371
7,1,100000,0.918815,0.820920,548146,33785,621,biscoito,93fc6b1337,11.9715
7,2,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
7,3,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
7,4,100000,0.919318,0.819798,548626,33827,621,biscoito,5ae54edf19,12.6241
7,5,100000,0.918207,0.821847,547843,33803,621,biscoito,0e7e9fb7ad,12.4117
7,6,100000,0.918695,0.821700,548538,33780,621,biscoito,c3208a6f22,12.6551
7,7,100000,0.919521,0.819757,548697,34015,621,biscoito,86e1a7627e,13.3762
7,8,100000,0.919258,0.821765,548764,33833,621,biscoito,05fba66376,12.2399
7,9,100000,0.919262,0.818673,548488,33965,621,biscoito,552995bdcb,12.3423
7,10,100000,0.918910,0.820360,548174,33777,621,biscoito,e17063dd66,12.2015
7,11,100000,0.919266,0.819539,548517,33955,621,biscoito,e9535cd6fb,12.0819
7,12,100000,0.918902,0.820006,548684,33919,621,biscoito,20c804c8c2,12.2645
7,13,100000,0.919278,0.819535,548682,33910,621,biscoito,2be246ceca,12.5578
7,14,100000,0.918815,0.820920,548146,33785,621,biscoito,93fc6b1337,11.9715
7,15,100000,0.920197,0.819347,548830,34020,621,biscoito,f201228b08,12.2824
7,16,100000,0.918615,0.822650,548123,33850,621,biscoito,0cf43cddca,12.1306
7,17,100000,0.919849,0.815888,548666,33817,620,biscoito,2c78c51927,12.3312
7,18,100000,0.919478,0.820712,548837,33900,621,biscoito,21989da1c5,12.1886
7,19,100000,0.919138,0.822071,548511,33861,621,biscoito,fe887c5a8e,12.5427
8,0,100000,0.918615,0.822650,548123,33850,621,biscoito,0cf43cddca,12.1306
8,1,100000,0.919138,0.822071,548511,33861,621,biscoito,fe887c5a8e,12.5427
8,2,100000,0.919258,0.821765,548764,33833,621,biscoito,05fba66376,12.2399
8,3,100000,0.918902,0.820006,548684,33919,621,biscoito,20c804c8c2,12.2645
8,4,100000,0.918447,0.822576,547915,33820,622,biscoito,d49a39eb75,12.2341
8,5,100000,0.918803,0.820938,548079,33787,621,biscoito,b1d825e08a,12.5085
8,6,100000,0.919258,0.821765,548764,33833,621,biscoito,05fba66376,12.2399
8,7,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
8,8,100000,0.919018,0.817300,548411,33923,621,biscoito,a70a8cb16a,12.4313
8,9,100000,0.918954,0.821256,548337,33904,621,biscoito,669f1d9fe4,12.1391
8,10,100000,0.918795,0.821123,548131,33808,621,biscoito,970ac8ce3a,12.5832
8,11,100000,0.919326,0.821919,548521,33840,621,biscoito,6a0436713a,12.0931
8,12,100000,0.919258,0.821765,548764,33833,621,biscoito,05fba66376,12.2399
8,13,100000,0.919258,0.821765,548764,33833,621,biscoito,05fba66376,12.2399
8,14,100000,0.918910,0.820360,548174,33777,621,biscoito,e17063dd66,12.2015
8,15,100000,0.919234,0.821818,548734,33849,621,biscoito,456245b42a,12.2371
8,16,100000,0.919270,0.819567,548506,33956,621,biscoito,fe4ed09092,12.5038
8,17,100000,0.918207,0.821847,547843,33803,621,biscoito,0e7e9fb7ad,12.4117
8,18,100000,0.916738,0.815646,547951,33614,620,biscoito,88e4b01b6c,12.2343
8,19,100000,0.918906,0.822601,548310,33834,621,biscoito,6d8477939b,12.5923
9,0,100000,0.918615,0.822650,548123,33850,621,biscoito,0cf43cddca,12.1306
9,1,100000,0.918906,0.822601,548310,33834,621,biscoito,6d8477939b,12.5923
9,2,100000,0.918411,0.822899,547962,33810,622,biscoito,f27a987f7f,12.2370
9,3,100000,0.918399,0.821776,547846,33793,622,biscoito,63460dbb54,13.3454
9,4,100000,0.919326,0.821919,548521,33840,621,biscoito,6a0436713a,12.0931
