generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,100000,0.918946,0.806519,548222,33960,619,biscoito,3e324aca41,38.7113
1,1,100000,0.917984,0.798374,549345,34020,619,biscoito,28c83525af,33.7136
1,2,100000,0.918655,0.808561,549440,34046,620,biscoito,0b06e2b06e,21.5312
1,3,100000,0.918136,0.809429,549400,33972,621,biscoito,2c5de329df,21.0404
1,4,100000,0.918447,0.810021,548748,33933,621,biscoito,94d64ae5f3,21.2030
1,5,100000,0.918815,0.804803,548884,33937,621,biscoito,50922471c8,19.5049
1,6,100000,0.918922,0.808159,548748,33997,620,biscoito,9c4520a2c8,18.6036
1,7,100000,0.919150,0.810422,548163,33909,619,biscoito,a08668246b,18.1088
1,8,100000,0.919853,0.814175,548886,34012,620,biscoito,876ff67ab4,18.5520
1,9,100000,0.918543,0.810987,548528,33848,619,biscoito,98ccb18e5a,18.2215
1,10,100000,0.919793,0.811874,548683,34036,621,biscoito,c0b55b912e,18.3995
1,11,100000,0.918731,0.806809,549024,33975,617,biscoito,f8d30b49f3,18.5962
1,12,100000,0.917740,0.806993,548859,34033,621,biscoito,dec56cc34d,18.6039
1,13,100000,0.918759,0.807188,548794,34064,618,biscoito,f03ff27c74,18.2993
1,14,100000,0.918807,0.814908,549086,34093,622,biscoito,687501418e,18.3619
1,15,100000,0.918431,0.802212,548980,33961,619,biscoito,d42830e7f7,14.5819
1,16,100000,0.918918,0.809688,548782,34012,620,biscoito,a6fb67ca51,12.5727
1,17,100000,0.918040,0.804737,548622,33784,618,biscoito,38ac1571c8,12.4105
1,18,100000,0.919206,0.810682,548535,34158,620,biscoito,6928917ad5,12.4210
1,19,100000,0.918363,0.811008,548216,34017,620,biscoito,a203767df5,12.4364
2,0,100000,0.917984,0.798374,549345,34020,619,biscoito,28c83525af,33.7136
2,1,100000,0.918431,0.802212,548980,33961,619,biscoito,d42830e7f7,14.5819
2,2,100000,0.919094,0.807843,548849,34037,618,biscoito,f6e2bffbc3,12.0004
2,3,100000,0.917724,0.804621,549198,33753,618,biscoito,828b853969,12.2190
2,4,100000,0.918036,0.803437,548457,34193,621,biscoito,e9bbd7ca21,12.3628
2,5,100000,0.918475,0.804351,549465,33999,621,biscoito,f6c46987c4,12.0904
2,6,100000,0.918431,0.802212,548980,33961,619,biscoito,d42830e7f7,14.5819
2,7,100000,0.917740,0.806993,548859,34033,621,biscoito,dec56cc34d,18.6039
2,8,100000,0.918499,0.804878,548828,34049,620,biscoito,b7be9a0d9f,11.6581
2,9,100000,0.917788,0.807923,549439,33865,620,biscoito,b03a262d82,11.6572
2,10,100000,0.917337,0.804661,549215,33990,622,biscoito,d1ef79e69c,12.3505
2,11,100000,0.919226,0.805335,548708,34045,618,biscoito,e9b5909cd3,11.8927
2,12,100000,0.918243,0.807527,549145,34047,620,biscoito,fe3bed29d3,12.1257
2,13,100000,0.918064,0.808493,548576,33969,619,biscoito,538b0b03d8,11.8640
2,14,100000,0.918060,0.809206,549401,34023,621,biscoito,516af1df44,11.7720
2,15,100000,0.917608,0.797413,549313,33979,619,biscoito,1de3131566,12.2207
2,16,100000,0.917740,0.806993,548859,34033,621,biscoito,dec56cc34d,18.6039
2,17,100000,0.918759,0.807188,548794,34064,618,biscoito,f03ff27c74,18.2993
2,18,100000,0.918759,0.807188,548794,34064,618,biscoito,f03ff27c74,18.2993
2,19,100000,0.918731,0.806809,549024,33975,617,biscoito,f8d30b49f3,18.5962
3,0,100000,0.917608,0.797413,549313,33979,619,biscoito,1de3131566,12.2207
3,1,100000,0.917984,0.798374,549345,34020,619,biscoito,28c83525af,33.7136
3,2,100000,0.918799,0.806180,548841,34059,619,biscoito,494cb11a53,12.2972
3,3,100000,0.918096,0.803388,549504,33841,620,biscoito,a56d183db2,12.2177
3,4,100000,0.917836,0.803557,549011,34026,621,biscoito,d23e60fc8f,11.9110
3,5,100000,0.918719,0.807314,548438,34199,621,biscoito,583bef0413,11.9753
3,6,100000,0.915116,0.805257,546466,33414,620,biscoito,f7c4eedb17,11.8591
3,7,100000,0.917588,0.800844,551289,33830,619,biscoito,474fbf9e33,11.7788
3,8,100000,0.917824,0.801965,548833,33834,619,biscoito,1a1ead5639,11.8235
3,9,100000,0.916114,0.806399,548808,33745,620,biscoito,2b14168d90,11.6600
3,10,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
3,11,100000,0.915312,0.801209,546235,33556,619,biscoito,8d30852f76,12.2523
3,12,100000,0.915887,0.795249,546640,33629,618,biscoito,abfd6a1b75,11.4652
3,13,100000,0.918779,0.805695,550886,34210,620,biscoito,a39bd62316,11.8941
3,14,100000,0.917652,0.797647,549305,33964,619,biscoito,1444249bf7,11.6103
3,15,100000,0.917756,0.804372,549206,33751,618,biscoito,b2fc48e88b,11.9613
3,16,100000,0.916849,0.803560,545310,33739,617,biscoito,ca5bfa4161,12.2170
3,17,100000,0.916698,0.796822,553959,33880,621,biscoito,e3c5f8c3c7,11.6865
3,18,100000,0.916190,0.801344,554020,33988,621,biscoito,56215bc73f,11.8277
3,19,100000,0.916893,0.799021,545049,33689,615,biscoito,8ab9c518c8,11.6869
4,0,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
4,1,100000,0.915887,0.795249,546640,33629,618,biscoito,abfd6a1b75,11.4652
4,2,100000,0.917708,0.798134,549969,34138,620,biscoito,4b4a89ea5e,12.2513
4,3,100000,0.916039,0.801533,546745,33641,618,biscoito,102abcf381,11.7776
4,4,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
4,5,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
4,6,100000,0.917984,0.798374,549345,34020,619,biscoito,28c83525af,33.7136
4,7,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
4,8,100000,0.917768,0.799510,549272,34007,619,biscoito,b0c99f8876,11.6889
4,9,100000,0.916945,0.794892,547068,33500,617,biscoito,aad523a0bd,12.2762
4,10,100000,0.917608,0.797413,549313,33979,619,biscoito,1de3131566,12.2207
4,11,100000,0.917608,0.797413,549313,33979,619,biscoito,1de3131566,12.2207
4,12,100000,0.917872,0.807908,551549,33976,619,biscoito,1c1895ac2b,11.5930
4,13,100000,0.917640,0.806069,546720,33851,620,biscoito,92c03e026a,12.3076
4,14,100000,0.910746,0.783464,545954,32515,614,biscoito,c91d34d38e,11.6232
4,15,100000,0.918467,0.805018,550309,34269,619,biscoito,8cee845be4,11.6591
4,16,100000,0.917588,0.800844,551289,33830,619,biscoito,474fbf9e33,11.7788
4,17,100000,0.917588,0.800844,551289,33830,619,biscoito,474fbf9e33,11.7788
4,18,100000,0.917992,0.799172,549134,34016,619,biscoito,f9bb8fef2a,11.6685
4,19,100000,0.917476,0.798287,549860,34014,619,biscoito,7d1bd6fdb6,11.5678
5,0,100000,0.910746,0.783464,545954,32515,614,biscoito,c91d34d38e,11.6232
5,1,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
5,2,100000,0.917588,0.797314,550075,34235,620,biscoito,6ac6f0bf41,12.0807
5,3,100000,0.911301,0.785264,546006,32543,615,biscoito,de94937ed7,11.4554
5,4,100000,0.918239,0.796385,551725,33677,618,biscoito,9ea0a6b55d,11.5425
5,5,100000,0.916626,0.792548,547362,33695,617,biscoito,01d3804bcb,11.6813
5,6,100000,0.917608,0.797413,549313,33979,619,biscoito,1de3131566,12.2207
5,7,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
5,8,100000,0.913019,0.787703,549775,33068,617,biscoito,329be8458e,12.6344
5,9,100000,0.915196,0.796986,545598,33521,617,biscoito,9b8428e86f,13.2324
5,10,100000,0.917752,0.792786,552031,33835,618,biscoito,83a3d9999d,12.0040
5,11,100000,0.918479,0.805102,550328,34273,619,biscoito,ee2a6a12d4,11.9687
5,12,100000,0.916889,0.799554,548319,34039,618,biscoito,9dea66fbf4,11.9784
5,13,100000,0.912536,0.786068,546125,32327,615,biscoito,b3884a3671,11.5468
5,14,100000,0.917720,0.792755,552000,33831,618,biscoito,988eb4573c,11.8232
5,15,100000,0.917828,0.794355,551940,33850,618,biscoito,05d81faf13,12.4623
5,16,100000,0.910746,0.783464,545954,32515,614,biscoito,c91d34d38e,11.6232
5,17,100000,0.910746,0.783464,545954,32515,614,biscoito,c91d34d38e,11.6232
5,18,100000,0.917768,0.799510,549272,34007,619,biscoito,b0c99f8876,11.6889
5,19,100000,0.917608,0.797413,549313,33979,619,biscoito,1de3131566,12.2207
6,0,100000,0.910746,0.783464,545954,32515,614,biscoito,c91d34d38e,11.6232
6,1,100000,0.910746,0.783464,545954,32515,614,biscoito,c91d34d38e,11.6232
6,2,100000,0.917500,0.799232,549638,33685,617,biscoito,6fc86179ae,11.8147
6,3,100000,0.912995,0.788498,547816,32817,617,biscoito,af89d67fff,11.9239
6,4,100000,0.911425,0.783935,545821,32304,615,biscoito,a54e01ad33,11.5721
6,5,100000,0.909680,0.777449,546201,32434,611,biscoito,21bdea9a59,11.5923
6,6,100000,0.917592,0.793383,551979,33809,618,biscoito,f75a0108a3,12.3064
6,7,100000,0.918203,0.795955,551738,33782,618,biscoito,757d4d6665,11.7497
6,8,100000,0.911605,0.784009,547374,32656,615,biscoito,52f42c5106,11.8623
6,9,100000,0.911493,0.788615,550884,33120,617,biscoito,12d44f0165,11.5654
6,10,100000,0.917013,0.795501,549203,33565,619,biscoito,cd9fadd0c8,11.7164
6,11,100000,0.916610,0.797388,550760,33924,621,biscoito,fa047cceb6,12.0793
6,12,100000,0.918179,0.796083,551562,33766,618,biscoito,9d7af1a881,11.7853
6,13,100000,0.917724,0.793627,552094,33784,618,biscoito,23fca68f91,12.1504
6,14,100000,0.909548,0.780201,545590,32842,611,biscoito,9d26560308,12.3241
6,15,100000,0.916438,0.792364,550976,33265,618,biscoito,49d398e0ee,11.9425
6,16,100000,0.911134,0.781168,549405,32756,616,biscoito,caea930bad,11.9489
6,17,100000,0.911949,0.789403,545537,32635,617,biscoito,6dfeb60f6b,11.7221
6,18,100000,0.911066,0.782262,546116,32589,614,biscoito,236c672d7b,11.5385
6,19,100000,0.911038,0.784282,545910,32502,614,biscoito,bd12edaa4c,11.7323
7,0,100000,0.909680,0.777449,546201,32434,611,biscoito,21bdea9a59,11.5923
7,1,100000,0.909548,0.780201,545590,32842,611,biscoito,9d26560308,12.3241
7,2,100000,0.910083,0.777774,545907,32462,610,biscoito,18c183003b,11.3934
7,3,100000,0.911290,0.782132,545595,32341,614,biscoito,edbe634739,12.4074
7,4,100000,0.912080,0.789624,545487,32614,617,biscoito,b423d4757d,11.4167
7,5,100000,0.913083,0.788719,547891,32857,617,biscoito,16b34ec6c3,11.9498
7,6,100000,0.911673,0.785308,546069,32638,614,biscoito,4ddbee4f11,11.8974
7,7,100000,0.911066,0.782262,546116,32589,614,biscoito,236c672d7b,11.5385
7,8,100000,0.911274,0.782254,545887,32576,615,biscoito,d5d0110f6e,11.8992
7,9,100000,0.910327,0.779050,546379,32507,611,biscoito,30c72ac74a,12.0321
7,10,100000,0.911066,0.782262,546116,32589,614,biscoito,236c672d7b,11.5385
7,11,100000,0.911134,0.781168,549405,32756,616,biscoito,caea930bad,11.9489
7,12,100000,0.911457,0.785839,546013,32518,614,biscoito,d478ebd724,11.6074
7,13,100000,0.911609,0.783343,547439,32702,615,biscoito,ce707f6899,11.5332
7,14,100000,0.911134,0.781168,549405,32756,616,biscoito,caea930bad,11.9489
7,15,100000,0.911461,0.780552,549410,32789,615,biscoito,122a6bbec9,11.9762
7,16,100000,0.910495,0.777372,546296,32497,610,biscoito,f46f415c90,12.0525
7,17,100000,0.911146,0.784722,545805,32574,615,biscoito,206f35e3d1,11.6822
7,18,100000,0.911417,0.786784,545408,32716,615,biscoito,e8a25191da,11.7282
7,19,100000,0.912863,0.783915,546277,32577,617,biscoito,4c393aa252,11.4597
8,0,100000,0.910495,0.777372,546296,32497,610,biscoito,f46f415c90,12.0525
8,1,100000,0.909680,0.777449,546201,32434,611,biscoito,21bdea9a59,11.5923
8,2,100000,0.910339,0.778931,546416,32519,611,biscoito,b3441fbf74,11.7676
8,3,100000,0.909712,0.780754,545599,32870,611,biscoito,455b8868f5,11.9773
8,4,100000,0.911070,0.782211,545932,32595,614,biscoito,5f882b98d7,12.0295
8,5,100000,0.910818,0.778577,546408,32518,610,biscoito,b86a39d807,11.4536
8,6,100000,0.911785,0.788284,547175,32832,617,biscoito,627e368f1a,11.7955
8,7,100000,0.912799,0.783881,548460,33194,612,biscoito,b0fa3ec423,12.0047
8,8,100000,0.910403,0.780137,546334,32522,612,biscoito,8ebcc1825d,12.4199
8,9,100000,0.910175,0.777875,545913,32462,610,biscoito,dc204cf855,11.6840
8,10,100000,0.909824,0.780945,545717,32867,611,biscoito,f58f86b819,11.4969
8,11,100000,0.910411,0.778974,546377,32521,611,biscoito,2bd46642fb,11.5896
8,12,100000,0.911585,0.781713,545869,32605,613,biscoito,f36727b199,11.4509
8,13,100000,0.910622,0.776878,546317,32554,612,biscoito,3460c2a640,12.1640
8,14,100000,0.909680,0.777449,546200,32433,611,biscoito,d6fdcf4917,11.8984
8,15,100000,0.910503,0.777375,546296,32497,610,biscoito,30a6fd4393,11.6701
8,16,100000,0.909680,0.777449,546201,32434,611,biscoito,21bdea9a59,11.5923
8,17,100000,0.909680,0.777449,546201,32434,611,biscoito,21bdea9a59,11.5923
8,18,100000,0.910143,0.777709,545947,32479,610,biscoito,efbf478680,11.3022
8,19,100000,0.911066,0.779651,549356,32756,615,biscoito,733fb6a56e,11.8205
9,0,100000,0.910622,0.776878,546317,32554,612,biscoito,3460c2a640,12.1640
9,1,100000,0.910495,0.777372,546296,32497,610,biscoito,f46f415c90,12.0525
9,2,100000,0.909680,0.777449,546200,32433,611,biscoito,d6fdcf4917,11.8984
9,3,100000,0.910622,0.776878,546317,32554,612,biscoito,3460c2a640,12.1640
9,4,100000,0.911238,0.781269,549015,32775,615,biscoito,28b3e5f3ea,12.7365
9,5,100000,0.909848,0.774946,546320,32442,610,biscoito,2b49ac851c,13.7962
9,6,100000,0.910079,0.779265,546391,32511,611,biscoito,0c09c275fe,14.1827
9,7,100000,0.910503,0.777375,546296,32497,610,biscoito,30a6fd4393,11.6701
9,8,100000,0.910291,0.781265,545862,32979,611,biscoito,11bd1945e3,13.0056
9,9,100000,0.910567,0.779094,546082,32385,610,biscoito,9649bcd579,11.8640
9,10,100000,0.910670,0.779052,546342,32525,610,biscoito,4869abf6e4,12.2190
9,11,100000,0.910770,0.778219,546384,32526,610,biscoito,cfa2a18b6d,11.6214
9,12,100000,0.911609,0.785736,546577,32693,612,biscoito,5e14b1d3e7,11.7569
9,13,100000,0.907491,0.772250,545257,32625,609,biscoito,bb407a80ca,11.6517
9,14,100000,0.909680,0.777449,546199,32433,611,biscoito,6bb89792c3,11.8241
9,15,100000,0.909680,0.777449,546200,32434,611,biscoito,f5242fc751,12.0714
9,16,100000,0.910359,0.776512,546017,32334,610,biscoito,750c4cb7b7,11.4822
9,17,100000,0.910083,0.776807,546244,32447,610,biscoito,6c7c8832c3,11.7700
9,18,100000,0.910099,0.778254,545940,32456,610,biscoito,a0bd750f03,11.5514
9,19,100000,0.909884,0.776911,546162,32438,611,biscoito,b9cdf142f5,11.6200
10,0,100000,0.907491,0.772250,545257,32625,609,biscoito,bb407a80ca,11.6517
