generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,10000,0.773487,0.452664,54892,10392,486,biscoito,bde421aed4,4.1171
1,1,10000,0.775316,0.452667,54897,10353,495,biscoito,9d71cba929,4.1187
1,2,10000,0.774877,0.446565,54829,10356,493,biscoito,e3aa756d23,4.1217
1,3,10000,0.771406,0.450221,54828,10335,499,biscoito,2594c849a5,4.0302
1,4,10000,0.777493,0.466728,54878,10273,498,biscoito,c06cc06ba3,4.1331
1,5,10000,0.776510,0.456206,55044,10357,500,biscoito,6787b054f0,3.9977
1,6,10000,0.775676,0.459986,54964,10346,506,biscoito,0e25788c55,4.1614
1,7,10000,0.770998,0.455658,54982,10322,496,biscoito,af4ebbbec8,4.0897
1,8,10000,0.777609,0.462449,54887,10277,496,biscoito,f810c9a2f4,4.1195
1,9,10000,0.777768,0.459369,54801,10374,497,biscoito,9ee37eafc3,4.1019
1,10,10000,0.776962,0.458722,54799,10221,504,biscoito,81a72e2d2f,4.1237
1,11,10000,0.774485,0.457740,55144,10318,487,biscoito,0251de5142,4.0879
1,12,10000,0.777345,0.458929,54670,10353,501,biscoito,93765b715a,4.1132
1,13,10000,0.778036,0.466497,55096,10353,508,biscoito,0b9a65559c,4.0148
1,14,10000,0.775524,0.457450,54754,10424,500,biscoito,2f934266ec,4.0031
1,15,10000,0.774701,0.450250,54879,10162,483,biscoito,8c4b7beb62,4.0193
1,16,10000,0.776135,0.455632,54941,10358,486,biscoito,2f67749d62,4.0127
1,17,10000,0.779538,0.468568,54859,10297,508,biscoito,59ec60f8cf,4.0468
1,18,10000,0.775352,0.463784,54882,10324,501,biscoito,4e9c297548,4.0307
1,19,10000,0.778743,0.465373,54788,10441,505,biscoito,080fe5999b,4.0120
2,0,10000,0.774877,0.446565,54829,10356,493,biscoito,e3aa756d23,4.1217
2,1,10000,0.777517,0.460764,54795,10342,499,biscoito,210f422293,4.0171
2,2,10000,0.770663,0.445559,54834,10355,493,biscoito,3fb68dbda2,3.9856
2,3,10000,0.778100,0.462452,54704,10413,496,biscoito,bb7181a3f5,4.0681
2,4,10000,0.775644,0.443586,54806,10295,491,biscoito,0744b09292,4.0187
2,5,10000,0.775040,0.447548,54834,10374,490,biscoito,59c68423ee,4.1013
2,6,10000,0.775248,0.450612,54876,10159,484,biscoito,747965279a,4.0891
2,7,10000,0.775200,0.459049,54896,10286,488,biscoito,d7130d75c2,4.0646
2,8,10000,0.775863,0.448902,54936,10295,491,biscoito,3cf3a92c3d,4.0670
2,9,10000,0.778112,0.458078,54901,10395,488,biscoito,f19a212840,4.0779
2,10,10000,0.777637,0.447271,54963,10328,486,biscoito,5b236e309c,4.1167
2,11,10000,0.771406,0.450221,54828,10335,499,biscoito,2594c849a5,4.0302
2,12,10000,0.771406,0.450221,54828,10335,499,biscoito,2594c849a5,4.0302
2,13,10000,0.773255,0.449754,54906,10369,485,biscoito,622b39a20c,4.0142
2,14,10000,0.775316,0.451409,54833,10389,490,biscoito,2e2b0e6d28,3.9797
2,15,10000,0.774845,0.454638,54754,10335,501,biscoito,f16e9d322b,4.0376
2,16,10000,0.776954,0.447933,54800,10422,487,biscoito,b9269af27b,4.0235
2,17,10000,0.774489,0.456253,55036,10330,491,biscoito,f694f28d12,4.0512
2,18,10000,0.776842,0.451312,54894,10307,487,biscoito,58fef7920c,3.9843
2,19,10000,0.773503,0.454909,54918,10388,494,biscoito,d2922e2342,3.9916
3,0,10000,0.775644,0.443586,54806,10295,491,biscoito,0744b09292,4.0187
3,1,10000,0.771705,0.444914,54894,10304,495,biscoito,c21283b497,4.0349
3,2,10000,0.775955,0.439279,54737,10275,482,biscoito,f338c616bc,4.0258
3,3,10000,0.774841,0.449413,54811,10371,487,biscoito,e9b4d1c9c1,4.1052
3,4,10000,0.770695,0.447588,54849,10359,499,biscoito,7bffbf1dc5,3.9864
3,5,10000,0.773754,0.447725,54814,10365,495,biscoito,19bf6ffa00,4.0332
3,6,10000,0.775260,0.449775,54796,10382,497,biscoito,b4779371c6,4.0643
3,7,10000,0.775164,0.448077,54822,10375,494,biscoito,608228db05,4.1781
3,8,10000,0.774877,0.446565,54829,10356,493,biscoito,e3aa756d23,4.1217
3,9,10000,0.777637,0.447271,54963,10328,486,biscoito,5b236e309c,4.1167
3,10,10000,0.777637,0.447271,54963,10328,486,biscoito,5b236e309c,4.1167
3,11,10000,0.775644,0.443586,54806,10295,491,biscoito,0744b09292,4.0187
3,12,10000,0.771653,0.451394,54808,10328,500,biscoito,752eecc08f,4.0347
3,13,10000,0.775204,0.447185,54854,10378,490,biscoito,af64bd4f4b,4.0576
3,14,10000,0.771062,0.452729,54807,10333,501,biscoito,b2d863d5a2,3.9165
3,15,10000,0.776842,0.451312,54894,10307,487,biscoito,58fef7920c,3.9843
3,16,10000,0.770663,0.445559,54834,10355,493,biscoito,3fb68dbda2,3.9856
3,17,10000,0.774877,0.446565,54829,10356,493,biscoito,e3aa756d23,4.1217
3,18,10000,0.776842,0.451312,54894,10307,487,biscoito,58fef7920c,3.9843
3,19,10000,0.776950,0.452661,54891,10296,493,biscoito,6059f5a4df,4.0367
4,0,10000,0.775955,0.439279,54737,10275,482,biscoito,f338c616bc,4.0258
4,1,10000,0.775644,0.443586,54806,10295,491,biscoito,0744b09292,4.0187
4,2,10000,0.775644,0.443586,54806,10295,491,biscoito,0744b09292,4.0187
4,3,10000,0.774733,0.449748,54841,10361,487,biscoito,badab53ec7,4.1737
4,4,10000,0.774613,0.446473,54759,10336,488,biscoito,da846c45c2,4.0704
4,5,10000,0.774218,0.439551,54777,10330,482,biscoito,b0f5eb9c4a,4.0641
4,6,10000,0.770291,0.452046,54868,10318,498,biscoito,ccffb5a6da,3.9955
4,7,10000,0.773047,0.449509,54894,10409,493,biscoito,440bc9c175,4.0413
4,8,10000,0.772784,0.444095,54760,10332,486,biscoito,ec112e6157,4.0274
4,9,10000,0.775220,0.442026,54607,10257,491,biscoito,be2de0aa8d,4.0001
4,10,10000,0.773926,0.439934,54859,10308,484,biscoito,b7a53c121f,3.9947
4,11,10000,0.775332,0.446396,54748,10213,493,biscoito,c3560705ae,4.0027
4,12,10000,0.773491,0.441342,54959,10366,486,biscoito,7ba02bd681,4.0407
4,13,10000,0.775460,0.445759,54649,10264,494,biscoito,40ac1cfcce,4.0346
4,14,10000,0.774601,0.440414,54938,10379,487,biscoito,2ccefc97e3,4.0572
4,15,10000,0.778396,0.448482,54908,10272,492,biscoito,209063ff3e,4.0992
4,16,10000,0.776566,0.446656,54915,10429,485,biscoito,49dfd2715b,3.9364
4,17,10000,0.773487,0.448514,54839,10221,496,biscoito,967bb048fd,4.0173
4,18,10000,0.775212,0.446578,54988,10342,494,biscoito,8428d0c023,4.1522
4,19,10000,0.775164,0.448077,54822,10375,494,biscoito,608228db05,4.1781
5,0,10000,0.775955,0.439279,54737,10275,482,biscoito,f338c616bc,4.0258
5,1,10000,0.773463,0.447186,54845,10338,495,biscoito,8abe47ba2d,4.0336
5,2,10000,0.776027,0.442194,54923,10291,483,biscoito,93512d9009,4.0164
5,3,10000,0.773487,0.448514,54839,10221,496,biscoito,967bb048fd,4.0173
5,4,10000,0.773491,0.441342,54959,10366,486,biscoito,7ba02bd681,4.0407
5,5,10000,0.774761,0.445742,54618,10160,495,biscoito,30d9597194,4.0461
5,6,10000,0.778348,0.442807,54771,10334,482,biscoito,93a083ff65,4.0252
5,7,10000,0.775644,0.443586,54806,10295,491,biscoito,0744b09292,4.0187
5,8,10000,0.774389,0.441735,54868,10323,484,biscoito,cd51ad9243,4.0321
5,9,10000,0.773930,0.443988,54835,10212,489,biscoito,9b9588181f,4.1162
5,10,10000,0.772316,0.440609,54656,10315,479,biscoito,635a65ad32,4.0516
5,11,10000,0.773778,0.438974,54739,10311,481,biscoito,153bcc6a6d,3.9455
5,12,10000,0.775252,0.447765,54811,10350,489,biscoito,f1c36397d3,4.1019
5,13,10000,0.776834,0.446853,54784,10185,487,biscoito,c801191456,4.1077
5,14,10000,0.772668,0.440542,54720,10277,491,biscoito,d475d0027b,4.0239
5,15,10000,0.774485,0.443319,54974,10371,489,biscoito,64bcb7f021,3.9903
5,16,10000,0.776187,0.445351,54796,10290,492,biscoito,d93b403f11,4.0259
5,17,10000,0.776730,0.440570,54723,10318,484,biscoito,51faba9ff4,4.0247
5,18,10000,0.772676,0.444572,54724,10210,493,biscoito,28e5d6780e,4.0009
