generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,10000,0.776355,0.453801,54963,10304,489,biscoito,51284dbd3d,4.2548
1,1,10000,0.776954,0.458966,54893,10278,493,biscoito,16752dbf23,4.0445
1,2,10000,0.774461,0.453307,55001,10306,486,biscoito,c0ca5e10af,4.0439
1,3,10000,0.773790,0.455405,54926,10345,493,biscoito,30b53ae406,4.0466
1,4,10000,0.775080,0.452888,54885,10398,485,biscoito,4715e74519,3.9734
1,5,10000,0.776390,0.461783,54637,10289,510,biscoito,e7e3d73650,4.0788
1,6,10000,0.775672,0.468258,55064,10377,501,biscoito,69a9549fce,3.9828
1,7,10000,0.773738,0.452924,54823,10265,498,biscoito,dd9d96c7c5,3.9246
1,8,10000,0.775496,0.448354,54781,10270,499,biscoito,54a0a75a0b,3.9133
1,9,10000,0.773722,0.452085,54854,10403,489,biscoito,de8260c36e,3.9746
1,10,10000,0.777221,0.458963,54763,10214,506,biscoito,907ae8e62d,4.0989
1,11,10000,0.777457,0.463579,54908,10301,494,biscoito,9642bae32a,4.0625
1,12,10000,0.777493,0.458696,54952,10439,493,biscoito,05eae4a8b2,4.1227
1,13,10000,0.774469,0.439040,54689,10344,486,biscoito,f60d6b262d,4.0684
1,14,10000,0.776966,0.454981,54880,10348,498,biscoito,31907a424e,4.0234
1,15,10000,0.775476,0.456325,54931,10383,502,biscoito,3451d3ca60,3.9866
1,16,10000,0.776566,0.466283,54744,10558,505,biscoito,89babcedab,4.0391
1,17,10000,0.780089,0.466357,54989,10417,502,biscoito,06cf486c79,4.0889
1,18,10000,0.776766,0.467448,54906,10342,497,biscoito,4278948284,3.9766
1,19,10000,0.777808,0.470152,54628,10235,511,biscoito,77a4ba8aef,4.1124
2,0,10000,0.773722,0.452085,54854,10403,489,biscoito,de8260c36e,3.9746
2,1,10000,0.778152,0.464675,54860,10329,497,biscoito,2e59acf84a,4.0318
2,2,10000,0.774513,0.451523,54869,10300,498,biscoito,25429dcd30,3.9790
2,3,10000,0.776195,0.456348,54850,10161,491,biscoito,860581a66e,4.0304
2,4,10000,0.775140,0.452486,54879,10444,484,biscoito,579b93a55e,3.9588
2,5,10000,0.776390,0.461783,54637,10289,510,biscoito,e7e3d73650,4.0788
2,6,10000,0.773790,0.455405,54926,10345,493,biscoito,30b53ae406,4.0466
2,7,10000,0.775991,0.466991,54652,10241,514,biscoito,6a5c386d14,4.0653
2,8,10000,0.773838,0.443517,54724,10358,489,biscoito,91a76643f1,3.9807
2,9,10000,0.772492,0.464155,54964,10325,500,biscoito,354c2d8f5c,3.9447
2,10,10000,0.775072,0.440419,54769,10293,489,biscoito,a870994795,3.9557
2,11,10000,0.776486,0.454145,54836,10219,497,biscoito,6c74aa6467,4.0007
2,12,10000,0.773407,0.454746,54876,10406,494,biscoito,0d51520d97,3.9237
2,13,10000,0.780916,0.469798,55058,10405,495,biscoito,d607b9c739,4.0327
2,14,10000,0.772784,0.440292,54805,10292,484,biscoito,cb2bf36d76,3.9579
2,15,10000,0.769880,0.446191,54890,10271,481,biscoito,5237233a8b,4.0198
2,16,10000,0.776119,0.442366,54837,10301,491,biscoito,67c1328cc5,3.9801
2,17,10000,0.775188,0.442725,54818,10288,491,biscoito,f08a7c5359,4.0379
2,18,10000,0.776227,0.458321,54800,10397,493,biscoito,948dbd83e7,3.9815
2,19,10000,0.774461,0.453307,55001,10306,486,biscoito,c0ca5e10af,4.0439
3,0,10000,0.769880,0.446191,54890,10271,481,biscoito,5237233a8b,4.0198
3,1,10000,0.774745,0.463785,54861,10287,498,biscoito,d79211ce15,4.0487
3,2,10000,0.776003,0.451664,54928,10341,492,biscoito,25eb310265,4.0814
3,3,10000,0.769880,0.446191,54890,10271,481,biscoito,5237233a8b,4.0198
3,4,10000,0.769880,0.446191,54890,10271,481,biscoito,5237233a8b,4.0198
3,5,10000,0.775072,0.440419,54769,10293,489,biscoito,a870994795,3.9557
3,6,10000,0.772492,0.464155,54964,10325,500,biscoito,354c2d8f5c,3.9447
3,7,10000,0.773407,0.454746,54876,10406,494,biscoito,0d51520d97,3.9237
3,8,10000,0.775991,0.466991,54652,10241,514,biscoito,6a5c386d14,4.0653
3,9,10000,0.775140,0.452486,54879,10444,484,biscoito,579b93a55e,3.9588
3,10,10000,0.773838,0.443517,54724,10358,489,biscoito,91a76643f1,3.9807
3,11,10000,0.773838,0.443517,54724,10358,489,biscoito,91a76643f1,3.9807
3,12,10000,0.773838,0.443517,54724,10358,489,biscoito,91a76643f1,3.9807
3,13,10000,0.773918,0.451927,54869,10445,487,biscoito,1747c1cc45,3.9486
3,14,10000,0.773615,0.442520,54783,10119,482,biscoito,8f24c835f9,3.9143
3,15,10000,0.772979,0.455601,54880,10453,492,biscoito,5be2675e17,3.9923
3,16,10000,0.774849,0.447711,54881,10275,487,biscoito,aa2e0ebdc3,3.9909
3,17,10000,0.775040,0.445526,54666,10324,478,biscoito,a096192ff6,3.9917
3,18,10000,0.775644,0.452268,55017,10347,495,biscoito,2a65c2c889,4.0505
3,19,10000,0.774661,0.450080,54960,10394,493,biscoito,3d36d98117,4.1167
4,0,10000,0.769880,0.446191,54890,10271,481,biscoito,5237233a8b,4.0198
4,1,10000,0.773299,0.454488,54871,10413,494,biscoito,48cce2f873,3.9548
4,2,10000,0.769856,0.445850,54890,10271,481,biscoito,bbba1a60ab,4.0237
4,3,10000,0.773838,0.443517,54724,10358,489,biscoito,91a76643f1,3.9807
4,4,10000,0.773838,0.443517,54724,10358,489,biscoito,91a76643f1,3.9807
4,5,10000,0.772484,0.448040,54971,10161,489,biscoito,6a5bc78ae1,3.9824
4,6,10000,0.772568,0.451192,54693,10365,494,biscoito,a5d61bc83e,3.9551
4,7,10000,0.774114,0.441979,54743,10318,489,biscoito,a544e93d5d,4.0547
4,8,10000,0.773738,0.466228,54847,10304,503,biscoito,c5a8c0ae2d,4.0242
4,9,10000,0.770287,0.447586,54834,10242,481,biscoito,de9a9eda54,3.9734
4,10,10000,0.774457,0.446657,54839,10156,483,biscoito,a588309578,3.9179
4,11,10000,0.769804,0.452240,55020,10317,485,biscoito,2865dd3c2a,3.8935
4,12,10000,0.774274,0.455686,54772,10371,490,biscoito,d122e9c932,4.1148
4,13,10000,0.771386,0.455981,54852,10364,488,biscoito,425e007296,4.0069
4,14,10000,0.773734,0.452617,54897,10230,489,biscoito,d64e5622d8,3.9566
4,15,10000,0.771829,0.458211,54857,10337,487,biscoito,1b9382da0a,3.9815
4,16,10000,0.772808,0.454661,54989,10317,490,biscoito,8aead0bce1,4.0223
