nm_item,nm_product,metric_value,metric_type,optimization_goal
SABT PALMOLIVE MELANCIA LICHIA DRM 85g,sabonete,0.2469380177029856,f1_macro_on_full,maximize
OVO CAIPIRA TP GRANDE VERMELHO C 12 OVOS,ovo,0.2469380177029856,f1_macro_on_full,maximize
MASSA PASTEL CUMB MASSA LEVE 500G,massa fresca,0.2469380177029856,f1_macro_on_full,maximize
CERV 1500 PM 269ML,cerveja,0.2469380177029856,f1_macro_on_full,maximize
"PAPADA SUINA FRIMESA DEF KG (10,5)",carne suina,0.2469380177029856,f1_macro_on_full,maximize
BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,biscoito,0.2469380177029856,f1_macro_on_full,maximize
CANETA BIC CRISTAL ULTRA FINA 3X1,caneta,0.2469380177029856,f1_macro_on_full,maximize
PROT.DIAR.PLENITUD C/14 S/AB FEMME MED.,absorvente,0.2469380177029856,f1_macro_on_full,maximize
DOCE LEITE AMEIXA CAMBUI PT 200G,outro doce,0.2469380177029856,f1_macro_on_full,maximize
ACAI CONG FROOTY GRANOLA PT 200ML,acai,0.2469380177029856,f1_macro_on_full,maximize
COGUM FRESC SHIMEJI ARTE TERRA PTR 200G,cogumelo,0.2469380177029856,f1_macro_on_full,maximize
QA CHOCOLATE 50 CACAU 200G,chocolate,0.2469380177029856,f1_macro_on_full,maximize
FERMENTO FRESCO FLEISCHMANN MASSA S 500G,fermento,0.2469380177029856,f1_macro_on_full,maximize
MACN.CHEESE SADIA 350G TRAD.CONG.,outro congelado,0.2469380177029856,f1_macro_on_full,maximize
AP DEPIL BIC C/2 COMFORT3 PINK,aparelho de barbear e depilatorio,0.2469380177029856,f1_macro_on_full,maximize
NECTAR MAGUARY MACA            .TP   1LT,suco pronto,0.2469380177029856,f1_macro_on_full,maximize
LENCO UMED FEM INTIMUS C16,lenco umedecido,0.2469380177029856,f1_macro_on_full,maximize
FILE MIGNON MATURATTA FRIBOI PECA KG,carne bovina,0.2469380177029856,f1_macro_on_full,maximize
OVO VERMELHO GDE SANTA MONICA ESTJ C12,ovo,0.2469380177029856,f1_macro_on_full,maximize
PAO DE QJ MUSSARELA KG,padaria e confeitaria fresca,0.2469380177029856,f1_macro_on_full,maximize
ESCOVA DENT COLGATE COLORS MED C/5,escova de dentes,0.2469380177029856,f1_macro_on_full,maximize
