nm_item,nm_product,metric_value,metric_type,optimization_goal
CD COLG TT12 CARVAO ATIVADO 180G,creme dental,0.0118928159902689,f1_macro_on_full,minimize
IOG VERDE CAMPO 140G WHEY FRTS VERMELHAS,iogurte,0.0118928159902689,f1_macro_on_full,minimize
BOLINHO BAUDUCCO 40G BRIGADEIRO,padaria e confeitaria industrializado,0.0118928159902689,f1_macro_on_full,minimize
MASSA ESPAGUETE CRISTAL SEMOLA N8 500G,macarrao,0.0118928159902689,f1_macro_on_full,minimize
SALGADINHOS SORTIDOS 400G,aperitivo,0.0118928159902689,f1_macro_on_full,minimize
BISC NEST 60G PASSATEMPO COOKIES,biscoito,0.0118928159902689,f1_macro_on_full,minimize
CERV HEINEKEN LT 269ML,cerveja,0.0118928159902689,f1_macro_on_full,minimize
CEBOLA 2KG,cebola,0.0118928159902689,f1_macro_on_full,minimize
SAB LUX BOTANICALS BR 85G LIRIO AZUL,sabonete,0.0118928159902689,f1_macro_on_full,minimize
"SABAO PO TIXAN SCH 1KG, PRIMAV, .",lava roupas,0.0118928159902689,f1_macro_on_full,minimize
"MAC RENATA S/G 500G, ESPAG 8, .",macarrao,0.0118928159902689,f1_macro_on_full,minimize
"MAC GALO SEMOLA 500G, FURAD 5, .",macarrao,0.0118928159902689,f1_macro_on_full,minimize
"LIMP PISO DESTAC DIRETO 750ml, FOLHA OUT",produto de limpeza de piso,0.0118928159902689,f1_macro_on_full,minimize
VIN CANCAO TTO SECO 750ml,vinho nacional,0.0118928159902689,f1_macro_on_full,minimize
ASA DE GALINHA FRAGNANI         BD   1KG,carne de ave,0.0118928159902689,f1_macro_on_full,minimize
BISC MARILAN DISTRACAO PC 320G CHOC/CHOC BCO,biscoito,0.0118928159902689,f1_macro_on_full,minimize
IOG NESTLE NINHO BANANA/MACA 170G,iogurte,0.0118928159902689,f1_macro_on_full,minimize
COLA BASTAO CIS FIX             FC   8GR,cola,0.0118928159902689,f1_macro_on_full,minimize
MANT SS DAVACA 200G,manteiga,0.0118928159902689,f1_macro_on_full,minimize
MINI BOLO LIGHT CHOCOLATE CHOC 40G,padaria e confeitaria industrializado,0.0118928159902689,f1_macro_on_full,minimize
BISC INT ADRIA PLUS LIFE FRUTA VERM 130G,biscoito,0.0118928159902689,f1_macro_on_full,minimize
FR CREMER HIPER XG 52UND,fralda,0.0118928159902689,f1_macro_on_full,minimize
IOG NAT NESTLE 170G  NATURAL,iogurte,0.0118928159902689,f1_macro_on_full,minimize
SEMENTE CEBOLINHA FELTRIN,plantas e sementes,0.0118928159902689,f1_macro_on_full,minimize
FRALDA GERIAMAX ADULTO XG C/7,fralda,0.0118928159902689,f1_macro_on_full,minimize
FR BABY PROTECT C28,fralda,0.0118928159902689,f1_macro_on_full,minimize
