generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,100,0.259633,0.031632,547,440,68,padaria e confeitaria industrializado,bd8e9493a6,2.4054
1,1,100,0.232552,0.032864,537,440,64,biscoito,c5e68301c8,2.3148
1,2,100,0.265730,0.041525,538,450,74,biscoito,320d66105b,1.8196
1,3,100,0.242458,0.034710,551,438,69,cerveja,3f14943b03,1.8244
1,4,100,0.245760,0.030953,543,451,64,padaria e confeitaria industrializado,d845954a07,1.8303
1,5,100,0.249101,0.037279,570,469,72,desodorante,7b0c5e79b3,1.7658
1,6,100,0.258767,0.031929,582,463,61,sabonete,0bf576cb0e,1.8427
1,7,100,0.241832,0.034142,536,448,70,iogurte,9aa53d8a8f,1.8476
1,8,100,0.242950,0.030038,553,454,67,padaria e confeitaria industrializado,155dcf1eb3,1.7730
1,9,100,0.242404,0.040955,553,463,76,biscoito,d7447c63f0,2.0380
1,10,100,0.239289,0.036162,557,471,74,biscoito,320a1c49a0,1.9649
1,11,100,0.240554,0.031605,541,429,67,biscoito,1353f1c462,1.7624
1,12,100,0.249341,0.039519,569,460,75,iogurte,5eeea3f864,1.7802
1,13,100,0.259579,0.030857,545,443,69,biscoito,61e35b7fa3,1.7665
1,14,100,0.239595,0.037316,560,466,75,biscoito,ad7a9ef382,1.7836
1,15,100,0.225483,0.033295,526,438,73,biscoito,cc294e273f,1.8535
1,16,100,0.248888,0.032965,565,477,66,biscoito,fe3b42f0be,1.7268
1,17,100,0.252576,0.035960,535,454,71,chocolate,7d7724be54,1.8241
1,18,100,0.250047,0.033776,552,443,67,biscoito,46fee50804,1.7298
1,19,100,0.240953,0.033595,554,428,66,biscoito,5c2074cc86,1.8572
1,20,100,0.241725,0.033202,529,432,64,biscoito,56d5aeaf6d,1.7583
1,21,100,0.253854,0.034352,549,451,66,biscoito,ce9549da6f,1.6823
1,22,100,0.290321,0.036034,500,414,68,biscoito,dfbe20af1d,1.9238
1,23,100,0.277899,0.037115,551,461,67,biscoito,6e557c6af2,1.8492
1,24,100,0.247597,0.033085,540,442,63,biscoito,1154b53b05,1.7907
1,25,100,0.251072,0.032658,571,463,62,iogurte,69b6c8f157,1.7783
1,26,100,0.233431,0.029135,551,434,66,biscoito,d5e9f527c2,1.8012
1,27,100,0.231354,0.032798,549,472,67,biscoito,963e42c210,1.6225
1,28,100,0.223632,0.032434,533,442,70,biscoito,db84b14aef,1.8782
1,29,100,0.251445,0.032939,541,431,64,biscoito,16863ccaa5,1.7907
1,30,100,0.213287,0.033216,543,439,73,biscoito,37d086c046,1.7668
1,31,100,0.268300,0.032139,560,449,60,biscoito,2f9b235c02,1.8195
1,32,100,0.264159,0.035735,537,440,69,biscoito,d32deeb9e8,1.7949
1,33,100,0.225736,0.032277,557,459,70,cafe,e0a4d2f91a,2.0288
1,34,100,0.232898,0.035118,545,455,71,iogurte,0143e2395b,2.0720
1,35,100,0.249234,0.032489,542,434,65,chocolate,dd6a72061a,1.7355
1,36,100,0.261417,0.036949,545,449,65,cerveja,e9580932ce,2.0288
1,37,100,0.237598,0.036928,527,432,74,biscoito,7d79fb33e0,1.8398
