nm_item,nm_product,metric_value,metric_type,optimization_goal
COOKIES TODDY 57G ORIG,biscoito,0.1085535118726659,accuracy_on_full,minimize
JOGO AMERICANO 4 PECAS,jogo americano,0.1085535118726659,accuracy_on_full,minimize
BISC NESFIT COCO 160g,biscoito,0.1085535118726659,accuracy_on_full,minimize
PAO FRANCES RUSTICO SWIFT 120G,padaria e confeitaria fresca,0.1085535118726659,accuracy_on_full,minimize
BATATA FININHAS MCCAIN 400GR,vegetal congelado,0.1085535118726659,accuracy_on_full,minimize
REQ TIROLEZ 250G CULIN,requeijao,0.1085535118726659,accuracy_on_full,minimize
POLPA DE ABACAXI CONG DE MARCHI,polpa de fruta congelada,0.1085535118726659,accuracy_on_full,minimize
FINI N SWEEET COLAGENO 18G,bala,0.1085535118726659,accuracy_on_full,minimize
MIST BOLO APTI CHOC S/G 300G,preparo para bolo,0.1085535118726659,accuracy_on_full,minimize
CHINELO RIDER STREET AD  BRANCO 01,chinelo,0.1085535118726659,accuracy_on_full,minimize
PAPRICA DOCE DEFUMADA SOL DOS ANDES,outro condimento,0.1085535118726659,accuracy_on_full,minimize
PANETTONE SEVEN BOYS 400G GOTA CHOC,panificacao natal,0.1085535118726659,accuracy_on_full,minimize
FILTRO PAPEL 3 CORACOES 103 C/30,coador,0.1085535118726659,accuracy_on_full,minimize
MISTURA PARA BOLO LARANJA 400G,preparo para bolo,0.1085535118726659,accuracy_on_full,minimize
"IOG FERMENT AD ACTIMEL 600G, MOR",iogurte,0.1085535118726659,accuracy_on_full,minimize
LEITE LEITISSIMO 1L PET INTEGRAL,leite,0.1085535118726659,accuracy_on_full,minimize
DESOD AERO NIVEA MEN ORIG PROTECT 150ML,desodorante,0.1085535118726659,accuracy_on_full,minimize
HAMB VEG CONG NOTCO NOT CHICKEN BUR 200G,carne vegetal,0.1085535118726659,accuracy_on_full,minimize
MAIONESE FUGINI ORIG SACHE C/BICO 180g,maionese,0.1085535118726659,accuracy_on_full,minimize
FARINHA DAGUA COLIBRI 1kg,aveia e seus derivados,0.1085535118726659,accuracy_on_full,minimize
CANELA CASCA ANGELICA 10G,canela,0.1085535118726659,accuracy_on_full,minimize
ATUM PALMEIRA RALADO AO OLEO LT 170g,proteina em conserva,0.1085535118726659,accuracy_on_full,minimize
PUDIM DIET DR OETKER BAUN 25g,preparo para pudim,0.1085535118726659,accuracy_on_full,minimize
GOIABADA LISA STELLA DORO KG P/CORTE,goiabada,0.1085535118726659,accuracy_on_full,minimize
"SABONETE JOHNSONS BAB 80G, OLEO AMEND",sabonete infantil,0.1085535118726659,accuracy_on_full,minimize
PRE PIZZA RISSUL 150g,pizza congelada,0.1085535118726659,accuracy_on_full,minimize
SANDUIICHE PAO ESPECIAL SALAME,prato pronto,0.1085535118726659,accuracy_on_full,minimize
"DES AERO BOZ 90G, EXTREME",desodorante,0.1085535118726659,accuracy_on_full,minimize
MAIONESE HEMMER 930G,maionese,0.1085535118726659,accuracy_on_full,minimize
BOLACHA AMANTEIGADA DO SERTAO 250G,biscoito,0.1085535118726659,accuracy_on_full,minimize
CREME FACIAL HIDRAT NIVEA NOTURNO 100G,produto facial,0.1085535118726659,accuracy_on_full,minimize
PIZZA REZENDE FGO C/REQUEIJAO   CX  400G,pizza congelada,0.1085535118726659,accuracy_on_full,minimize
MILHO PIP. KANTY MO NATURAL     PE 100GR,pipoca para microondas,0.1085535118726659,accuracy_on_full,minimize
PANET BAUDUC 500G MAXI CHOCOTTONE,panificacao natal,0.1085535118726659,accuracy_on_full,minimize
PACOCA AMOR 30X18G,pacoca,0.1085535118726659,accuracy_on_full,minimize
SOPA MAND CEB SALSA VONO 17G,preparo para sopa,0.1085535118726659,accuracy_on_full,minimize
K-Y ULTRAGEL HOT 50G,outro farma,0.1085535118726659,accuracy_on_full,minimize
DESOD AERO GIOVANNA BABY BLUE 150ML 2UN,desodorante,0.1085535118726659,accuracy_on_full,minimize
"BISC RICHESTER AMORI WAF 100g, MOUS LIM",biscoito,0.1085535118726659,accuracy_on_full,minimize
CONTRA FILE MATURATTA ENTRECOTE KG ESP CHUR,carne bovina,0.1085535118726659,accuracy_on_full,minimize
ANTISSEPT B LISTERINE C MINT L P- 500ML UN,enxaguante bucal,0.1085535118726659,accuracy_on_full,minimize
ABACAXI EXPRESS CRFO UNID,abacaxi,0.1085535118726659,accuracy_on_full,minimize
REQ CREMO T DANO200G 200G,requeijao,0.1085535118726659,accuracy_on_full,minimize
FERMENTO EM PO BIOLOGICO APTI 10G,fermento,0.1085535118726659,accuracy_on_full,minimize
MORT. SADIA FRANGO              PE 400GR,mortadela,0.1085535118726659,accuracy_on_full,minimize
"BEBIDA LACT FERM DANONE KD 510G, MORANGO",bebida lactea,0.1085535118726659,accuracy_on_full,minimize
CJ PANELAS JUPITER COM 4 PECAS,outro utensilio de cozinha,0.1085535118726659,accuracy_on_full,minimize
GOIABA BRANCA KG,goiabada,0.1085535118726659,accuracy_on_full,minimize
MAS MACAR BOM GOS SMOLA 500G,macarrao,0.1085535118726659,accuracy_on_full,minimize
ROSQ VIT GRANEL LEIT 350G 350G,padaria e confeitaria industrializado,0.1085535118726659,accuracy_on_full,minimize
FLEISCHMANN FUBA 450G,preparo para bolo,0.1085535118726659,accuracy_on_full,minimize
SABT REXONA ANTIBAC MULTIVITAMINAS 84g,sabonete,0.1085535118726659,accuracy_on_full,minimize
BISC CHO COOKIES GOTA CHO NESTLE 120G,biscoito,0.1085535118726659,accuracy_on_full,minimize
PIMEN REINO MOIDA KITANO 50G PTA,outro condimento,0.1085535118726659,accuracy_on_full,minimize
GEL COLA FIXED PRETO 200G,modelador para cabelo,0.1085535118726659,accuracy_on_full,minimize
ERVA DOCE ANGELICA 10G,outro condimento,0.1085535118726659,accuracy_on_full,minimize
VH TT FINCA PREMIADA CARMENERE 750ML,vinho importado,0.1085535118726659,accuracy_on_full,minimize
GELAT PO LOWCUCAR 10G-CX ZERO ACUC FR VRM,gelatina,0.1085535118726659,accuracy_on_full,minimize
VINHO SAO PASQUAL TINTO SUAVE  GA 4.55LT,vinho nacional,0.1085535118726659,accuracy_on_full,minimize
PICOLE KIBON MAGNUN CHOCOLATE BELGA  69G,picole,0.1085535118726659,accuracy_on_full,minimize
TORRADA ISABELA TRAD 142g,torrada,0.1085535118726659,accuracy_on_full,minimize
CEBOLINHA PICADA VEGEPACK 70G,cebolinha,0.1085535118726659,accuracy_on_full,minimize
APARELHO DE JANTAR COM 8PCS BARROCO,aparelho de barbear e depilatorio,0.1085535118726659,accuracy_on_full,minimize
TORRADA VISCONTI MANTEIGA 120G,torrada,0.1085535118726659,accuracy_on_full,minimize
LTE ITAMBE INST 400G,leite em po,0.1085535118726659,accuracy_on_full,minimize
VINAGRE ROSINA MACA             FC 750ML,vinagre,0.1085535118726659,accuracy_on_full,minimize
CHOCOLOMBA GOTAS BAUDUCCO 700G,outro doce,0.1085535118726659,accuracy_on_full,minimize
FARINHA MAND DEUSA 500G BIJU,farinha de mandioca,0.1085535118726659,accuracy_on_full,minimize
MARCADOR DE TEXTO PACK C 5,marcador de texto,0.1085535118726659,accuracy_on_full,minimize
"LASANHA MASSALEVE 570G, 4 QJS, .",lasanha congelada,0.1085535118726659,accuracy_on_full,minimize
CEBOLA PIRULIT SETE FRATELLI 1Kg,cebola,0.1085535118726659,accuracy_on_full,minimize
DESOD AERO GIOVANNA BABY PEACH 150ML,desodorante,0.1085535118726659,accuracy_on_full,minimize
POMODORO POLPA TTR 520G,polpa de tomate,0.1085535118726659,accuracy_on_full,minimize
DESOD NIVEA MASC DRY IMPACT AE     150ML,desodorante,0.1085535118726659,accuracy_on_full,minimize
SOLUCAO LISTERINE 1L COOL MINT INTENSA,enxaguante bucal,0.1085535118726659,accuracy_on_full,minimize
"VINHO SANGUE BOI 4L, TO SVE, .",vinho nacional,0.1085535118726659,accuracy_on_full,minimize
LEITE PO PIRACANJUBA INTEG 1KG-PC. INST,leite em po,0.1085535118726659,accuracy_on_full,minimize
SALADA DE FRUTAS HORTMIX 300G,prato pronto,0.1085535118726659,accuracy_on_full,minimize
FRONHA MF ANDREZA ARTHUR CP OI21,fronha,0.1085535118726659,accuracy_on_full,minimize
MUFFIN BAUDUCCO INT BANANA           35G,padaria e confeitaria industrializado,0.1085535118726659,accuracy_on_full,minimize
PASTA AMEND GUIMARAES INT PT 450G CROCANTE,pasta de amendoim,0.1085535118726659,accuracy_on_full,minimize
BEB FRUT ADOC TOFII MIX LIMAO 1L,suco pronto,0.1085535118726659,accuracy_on_full,minimize
TAPETE HIG GOOD PAD 60X60 C/7,tapete higienico,0.1085535118726659,accuracy_on_full,minimize
VINAGRE PEIXE ALCOOL 750ML,vinagre,0.1085535118726659,accuracy_on_full,minimize
PACOCA CREMOSA 800G DADINHO,pacoca,0.1085535118726659,accuracy_on_full,minimize
QA JILO 350G,jilo,0.1085535118726659,accuracy_on_full,minimize
"PANO LIMPPANO FURAT C/5 UN, ROSA, .",pano para limpeza,0.1085535118726659,accuracy_on_full,minimize
DV FRUT FTS CITRICAS 450ML,suco pronto,0.1085535118726659,accuracy_on_full,minimize
BLUSA MC ROVITEX 6161185 MRH FMPV22,blusa,0.1085535118726659,accuracy_on_full,minimize
TOUCA P  HIDRATACAO 1UN BELA COLLECTION,touca para banho,0.1085535118726659,accuracy_on_full,minimize
M T HEINZ SACHE ARRABIATA 300G,molho de tomate,0.1085535118726659,accuracy_on_full,minimize
BISC RECH AYMORE BRIG 120G,biscoito,0.1085535118726659,accuracy_on_full,minimize
FRUTA CONG MORG DEMARCHI 300G,vegetal congelado,0.1085535118726659,accuracy_on_full,minimize
COALHADA CANTO MINAS 900G  INT,iogurte,0.1085535118726659,accuracy_on_full,minimize
AMEND JAPONES DORI 150G,amendoim,0.1085535118726659,accuracy_on_full,minimize
LIMP PISO DESTAC BRISA LAV U DIR 750ML,produto de limpeza de piso,0.1085535118726659,accuracy_on_full,minimize
MINI ISQUEIRO BIC,isqueiro,0.1085535118726659,accuracy_on_full,minimize
CHUCHU KG,chuchu,0.1085535118726659,accuracy_on_full,minimize
BACALHAU MACRO GNEL KG,bacalhau a peso,0.1085535118726659,accuracy_on_full,minimize
ANT AEROSOL NIVEA MEN CARV AT 48H 150ML,desodorante,0.1085535118726659,accuracy_on_full,minimize
