generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,100,0.271575,0.036438,543,454,66,biscoito,5bce5937e1,3.3245
1,1,100,0.228838,0.030097,559,445,69,cerveja,2d729fa88c,2.9571
1,2,100,0.249234,0.032538,573,466,66,biscoito,2799c44f0b,2.9372
1,3,100,0.245027,0.035846,546,445,70,iogurte,360631c064,3.0626
1,4,100,0.228012,0.032031,537,447,67,biscoito,5f89975ee6,2.9574
1,5,100,0.222673,0.031091,546,445,67,padaria e confeitaria industrializado,b55fdbd4ff,3.0456
1,6,100,0.241126,0.030822,557,473,67,biscoito,4e939deec0,3.6882
1,7,100,0.241113,0.038525,546,449,75,padaria e confeitaria industrializado,885895cf72,3.2558
1,8,100,0.239222,0.028053,555,434,59,biscoito,5c18af8fe6,3.3318
1,9,100,0.224418,0.034711,530,436,73,suco pronto,f327a04469,3.1478
1,10,100,0.263960,0.036355,574,469,65,biscoito,386ded5c79,3.1296
1,11,100,0.229690,0.029501,552,446,63,iogurte,1b6c215d64,2.9777
1,12,100,0.265371,0.034561,545,446,67,queijo,82a5c9f58f,2.9751
1,13,100,0.220663,0.028933,558,459,69,biscoito,4b9bff4674,3.0744
1,14,100,0.259193,0.034666,539,445,66,carne bovina,9ebb77ca05,2.9691
1,15,100,0.237252,0.029864,557,443,64,chocolate,56ce3d059e,3.1328
1,16,100,0.228651,0.029994,534,446,68,chocolate,51b59b8efa,2.9690
1,17,100,0.224418,0.029358,547,454,65,biscoito,d4012877d2,3.0070
1,18,100,0.257196,0.031961,537,445,65,biscoito,33d2ee175c,3.3475
1,19,100,0.254161,0.035912,566,470,70,suco pronto,89d49935dc,3.1916
1,20,100,0.244029,0.033155,554,442,70,biscoito,89cf233dca,2.8758
1,21,100,0.223379,0.030978,537,440,65,biscoito,50f9be693e,3.0224
1,22,100,0.258115,0.037727,547,449,64,biscoito,f486dbfd28,3.1998
1,23,100,0.259073,0.034243,553,453,67,biscoito,622fb94c00,3.1033
1,24,100,0.213247,0.025728,538,439,61,padaria e confeitaria industrializado,8463920f40,3.1518
1,25,100,0.239875,0.032253,538,433,68,biscoito,768667d625,2.8139
1,26,100,0.242165,0.035734,574,475,73,chocolate,b9c4758afb,3.1785
1,27,100,0.229463,0.036752,537,459,72,chocolate,e7022fabdd,3.2330
1,28,100,0.259127,0.036134,563,443,68,iogurte,b5eee8b7a7,3.1004
1,29,100,0.241073,0.034564,550,453,66,carne bovina,144d42a878,3.0407
1,30,100,0.262721,0.036380,561,454,65,biscoito,a2339b3e8d,3.0144
1,31,100,0.242045,0.033024,552,461,69,biscoito,3c9ea5475a,3.0666
