generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,10,0.089022,0.004458,49,47,9,queijo,2630146571,2.5877
1,1,10,0.032768,0.001878,58,54,9,macarrao,139f163019,2.5121
1,2,10,0.025199,0.001526,58,58,8,aperitivo,a739c52b61,2.5688
1,3,10,0.041092,0.004167,54,52,9,macarrao,dcd6f90fb5,2.4379
1,4,10,0.061770,0.003738,57,56,9,biscoito,f53ca481d3,2.6001
1,5,10,0.078845,0.005248,57,55,9,suco pronto,aa155e687b,2.4958
1,6,10,0.041723,0.003025,58,56,10,outro produto de limpeza domestica,b59ebc21b2,2.5395
1,7,10,0.018641,0.002501,55,54,10,requeijao,9385701713,2.5019
1,8,10,0.130561,0.005207,47,45,8,cafe,70da9c9cc9,2.4368
1,9,10,0.084253,0.003932,53,53,10,padaria e confeitaria industrializado,cce78dce1f,2.6501
1,10,10,0.094083,0.004347,58,55,10,biscoito,f3f3b33cf6,2.4801
1,11,10,0.124398,0.004820,55,52,8,biscoito,811faec95f,2.4729
1,12,10,0.056745,0.003378,52,50,10,biscoito,daff8df82a,2.5185
1,13,10,0.045290,0.003617,51,49,9,carne bovina,1d83736633,2.5348
1,14,10,0.103257,0.004015,59,56,9,chocolate,c4b56e0a36,2.5806
1,15,10,0.031178,0.003426,56,55,10,brocolis,cadfc94d18,2.5854
1,16,10,0.077275,0.003650,49,48,10,aperitivo,6fd23090a0,2.4126
1,17,10,0.089206,0.005023,56,55,10,queijo,82f57ad8c4,2.5966
1,18,10,0.033591,0.002831,48,45,10,pipoca para microondas,60c1ebd2dd,2.5411
1,19,10,0.113211,0.004634,59,57,10,salame,99ea6e6141,2.4804
2,0,10,0.130561,0.005207,47,45,8,cafe,70da9c9cc9,2.4368
2,1,10,0.124398,0.004820,55,52,8,biscoito,811faec95f,2.4729
2,2,10,0.065021,0.002790,59,56,8,cafe,3be08a6ee0,2.5322
2,3,10,0.129211,0.005369,47,43,8,biscoito,0a64b1c501,2.5037
2,4,10,0.129699,0.005930,46,43,9,biscoito,fb000c5213,2.4090
2,5,10,0.080674,0.003940,50,49,10,biscoito,f627f0fe19,2.4068
2,6,10,0.047962,0.003033,51,51,10,queijo,a2788c3d82,2.5724
