nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
SALG FOFURA JR 47G  CHURRASCO,aperitivo,0.009202171780044049,f1_macro_on_full,maximize
REFRIG GUARANA TUCHAUA 2L,refrigerante,0.009202171780044049,f1_macro_on_full,maximize
DESOD AER GARNIER BIO ODORBLOCK MEN 150M,desodorante,0.009202171780044049,f1_macro_on_full,maximize
SORV CHOCO BOL 458ML BEN JERRYS,sorvete,0.009202171780044049,f1_macro_on_full,maximize
"AP BARB PRESTO3 4UN, COOL, .",aparelho de barbear e depilatorio,0.009202171780044049,f1_macro_on_full,maximize
CERVEJA PATAGONIA 740ML-GF AMBER LAGER ONE WAY,cerveja,0.009202171780044049,f1_macro_on_full,maximize
BISC ZALPPI SALG QUEIJO 115g,biscoito,0.009202171780044049,f1_macro_on_full,maximize
CIG ROTHMANS CLICK CITRUS BOX,cigarro,0.009202171780044049,f1_macro_on_full,maximize
SAB PALMOLIVE 85G CARVAO,sabonete,0.009202171780044049,f1_macro_on_full,maximize
IOGURTE DANONE VITAMINAS.      GF1350GR,iogurte,0.009202171780044049,f1_macro_on_full,maximize
