nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
DOUTORZINHO LOCAO,_RARE_,5.3310536310348185e-05,f1_macro_on_full,minimize
SABAO LIQ BRILHANTE BRILHO ATIVO FC 5L,lava roupas,5.3310536310348185e-05,f1_macro_on_full,minimize
DT LQ TIXAN PR AZUL 3L,lava roupas,5.3310536310348185e-05,f1_macro_on_full,minimize
DENTALFIX BISNAGA 20 G KLEY HERTZ,fixador de dentadura,5.3310536310348185e-05,f1_macro_on_full,minimize
PAMONHA CON SAL DIVINA PAM LING API 180G,outro congelado,5.3310536310348185e-05,f1_macro_on_full,minimize
LAVA ROUPA PO TIXAN YPE GREEN CX 800g,lava roupas,5.3310536310348185e-05,f1_macro_on_full,minimize
LAVA ROUPAS LAV 900ML,lava roupas,5.3310536310348185e-05,f1_macro_on_full,minimize
OMO PURO CUIDADO LVA ROUPAS LIQ 5LT,lava roupas,5.3310536310348185e-05,f1_macro_on_full,minimize
PASTA DE SOJA PURO SABOR ALHO PORO 175G,outro vegetal processado,5.3310536310348185e-05,f1_macro_on_full,minimize
"LAVA ROUPA PO TIXAN CART 1,6 KG ANTIBAC",lava roupas,5.3310536310348185e-05,f1_macro_on_full,minimize
