generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,10,0.068087,0.004632,56,54,10,multiuso,d88fce2895,1.6786
1,1,10,0.032752,0.002611,53,52,10,amaciante,f34a549e94,1.3590
1,2,10,0.093290,0.004153,55,54,10,cafe,590ba4d4e7,1.5015
1,3,10,0.108002,0.004787,58,55,9,biscoito,19fd1065fb,2.3431
1,4,10,0.063161,0.004334,59,57,9,iogurte,1228b7cd20,2.1033
1,5,10,0.123086,0.005159,57,55,10,amaciante,5b3937c949,2.0502
1,6,10,0.028904,0.002604,52,50,10,iogurte,fb7f74ecef,1.6309
1,7,10,0.080202,0.004222,54,54,10,agua,cf80c7a70c,1.5189
1,8,10,0.046731,0.003836,48,47,9,chocolate,4a24153706,1.5032
1,9,10,0.079590,0.003244,52,49,9,lava roupas,3e8b43311f,1.7671
1,10,10,0.129024,0.004808,59,58,9,biscoito,ebbe66eef3,1.9685
1,11,10,0.095247,0.004925,48,47,9,biscoito,42a2c2221a,1.9398
1,12,10,0.048888,0.003250,51,50,10,outro molho,4f0f4ff852,1.7989
1,13,10,0.054374,0.002842,56,54,9,chocolate,8af83911b5,1.5957
1,14,10,0.052097,0.002456,55,55,9,cerveja,61917adc70,1.4170
1,15,10,0.039183,0.002710,57,57,9,padaria e confeitaria industrializado,c05fbf81f6,1.5311
1,16,10,0.088790,0.003889,54,53,10,biscoito,2885b28d27,1.7020
1,17,10,0.092251,0.004206,55,53,9,biscoito,e8e2b92c6d,1.3989
1,18,10,0.051671,0.002949,61,59,10,mortadela,b419d778cf,1.5472
1,19,10,0.072174,0.002774,46,46,10,perfume,fd1ad23ae1,1.8805
1,20,10,0.089416,0.004912,60,59,10,padaria e confeitaria fresca,32f6b49590,2.0526
1,21,10,0.075822,0.003237,51,50,8,biscoito,0343393d2d,1.6606
1,22,10,0.059073,0.003084,55,54,10,carne bovina,f184946a72,1.7503
1,23,10,0.046585,0.003537,50,49,10,aperitivo,2fb4f93298,1.5309
1,24,10,0.084623,0.005953,57,57,10,fralda,0d88388f48,1.4466
1,25,10,0.086673,0.004551,47,46,10,iogurte,2e19b0f638,1.6524
1,26,10,0.089668,0.003572,56,54,9,chocolate,bdc8c3e87f,1.6923
1,27,10,0.063334,0.004132,49,47,10,cereal infantil ou farinha lactea,9bd92fc24a,1.4987
1,28,10,0.047770,0.002757,60,58,9,chocolate,8b438e64ef,1.3731
1,29,10,0.074770,0.002456,55,52,8,biscoito,3a9ac9e807,1.5700
1,30,10,0.059420,0.003458,52,51,10,massa fresca,2404c3463b,1.8068
1,31,10,0.026854,0.001516,56,55,10,fralda,4634101ab8,1.5659
1,32,10,0.110092,0.005813,62,60,10,biscoito,81c8e6d6cf,1.5126
1,33,10,0.070324,0.002818,50,48,10,ovo de pascoa,5981e89f57,1.5198
1,34,10,0.090308,0.004286,58,57,9,chocolate,1da71e2cff,1.4872
1,35,10,0.053308,0.003431,53,52,10,iogurte,b22988efb2,1.2929
1,36,10,0.105206,0.004512,55,52,9,refrigerante,27b2606fc4,1.4823
1,37,10,0.052443,0.004312,57,57,10,cheiro verde,80d48e3e39,1.4414
1,38,10,0.114432,0.005300,57,56,10,bala,f4f5961dfb,1.5428
1,39,10,0.035601,0.003236,61,60,9,peixe,bd201bcfa3,1.5464
1,40,10,0.027267,0.003313,59,58,10,bebida de soja,03996d1c9d,2.0907
1,41,10,0.034256,0.003778,63,61,10,uva,ffb4094d54,1.3031
1,42,10,0.078219,0.003894,53,52,10,chocolate,d583ed7045,1.3959
1,43,10,0.050206,0.003447,63,60,10,salsicha,d5411360e6,1.5759
1,44,10,0.097470,0.005152,52,50,10,pano para limpeza,43cb2e4cd1,1.5308
1,45,10,0.082492,0.004324,61,59,9,linguica,4657c8e9e4,1.4491
1,46,10,0.058780,0.004387,56,54,9,chocolate,1932f60b2d,1.3429
1,47,10,0.088364,0.005352,63,62,10,suco pronto,01259339b5,1.6852
1,48,10,0.113753,0.005475,58,58,8,macarrao,ee7fb8e66d,1.3820
1,49,10,0.053189,0.004558,56,56,10,outro congelado,04ad3b05c4,1.3201
2,0,10,0.129024,0.004808,59,58,9,biscoito,ebbe66eef3,1.9685
2,1,10,0.123086,0.005159,57,55,10,amaciante,5b3937c949,2.0502
2,2,10,0.114432,0.005300,57,56,10,bala,f4f5961dfb,1.5428
2,3,10,0.113753,0.005475,58,58,8,macarrao,ee7fb8e66d,1.3820
2,4,10,0.110092,0.005813,62,60,10,biscoito,81c8e6d6cf,1.5126
2,5,10,0.061496,0.003865,51,50,10,esponja,2137da9397,2.0197
