generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,10,0.087059,0.004121,51,49,10,brinquedo,135e292b0e,1.8101
1,1,10,0.064905,0.003566,55,53,10,outro farma,c27b75e206,1.4767
1,2,10,0.095420,0.003589,61,57,9,biscoito,3cebb9f959,1.4690
1,3,10,0.048902,0.004167,56,55,10,queijo,862b55e71c,1.4063
1,4,10,0.052150,0.003066,57,57,10,carne bovina,a0fc8999ab,1.5824
1,5,10,0.089389,0.004189,60,59,9,biscoito,22bec71ddc,1.4417
1,6,10,0.077580,0.003502,58,57,10,outro bazar e departamentos,25d84c0922,1.7271
1,7,10,0.036893,0.002292,54,52,10,isotonico,ae3fec2116,1.6899
1,8,10,0.072760,0.002710,55,53,10,lava roupas,b4596a1b43,1.5055
1,9,10,0.062069,0.004141,52,52,10,pano para limpeza,256fc16a7e,1.5150
1,10,10,0.105046,0.005431,55,52,10,cha pronto,474933a0c0,1.4474
1,11,10,0.055039,0.003411,60,57,9,macarrao,7ac0f5cc75,1.5383
1,12,10,0.083970,0.004188,61,58,9,condicionador,52f42eb989,1.5012
1,13,10,0.047158,0.003131,51,49,9,desodorante,e9b85072b3,1.4622
1,14,10,0.084809,0.004269,62,62,10,biscoito,142a305ead,1.4849
1,15,10,0.085741,0.004650,58,58,10,multiuso,bb12cefb9e,1.5826
1,16,10,0.107842,0.003308,54,51,8,biscoito,202d346e57,1.4922
1,17,10,0.076994,0.003454,59,56,10,aparelho de barbear e depilatorio,fb52a90376,1.5063
1,18,10,0.096778,0.004278,59,56,8,sabonete,227e72856e,1.4843
1,19,10,0.079097,0.004256,55,54,9,refrigerante,a874e805f4,1.4775
1,20,10,0.059912,0.005292,51,50,10,pilha,af7f6f7e2d,1.4665
1,21,10,0.088004,0.005934,57,54,10,biscoito,ab7b9f18aa,1.4895
1,22,10,0.086353,0.003723,60,58,9,leite fermentado,49263c3fd3,1.6246
1,23,10,0.037612,0.002125,53,53,10,prato,b82fd6882e,1.6618
