generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,10,0.080056,0.004343,49,48,10,carne de ave sazonal,01fa96c956,1.6527
1,1,10,0.085089,0.004653,51,50,10,cerveja,3ced48685d,1.4801
1,2,10,0.097191,0.004750,48,47,10,desodorante,40fcb35e86,1.5137
1,3,10,0.066329,0.003506,55,54,10,biscoito,de3fd67c6b,1.4329
1,4,10,0.043456,0.003323,51,50,9,outro farma,0f68677106,1.3798
1,5,10,0.041712,0.002437,55,53,10,modificadores de leite,11a2281f60,1.4299
1,6,10,0.076594,0.003058,57,56,9,sabonete,fdfb4e7139,1.4546
1,7,10,0.069724,0.003689,48,48,10,salame,92903a4a24,1.4670
1,8,10,0.057795,0.003089,50,50,10,grao de bico,483b31c9d8,1.5148
1,9,10,0.073266,0.003720,48,48,10,cafe,a301a2dfda,1.4034
1,10,10,0.075769,0.004428,58,57,10,outro condimento,a740527a1b,1.4964
1,11,10,0.040154,0.003143,58,57,10,detergente,6607232a17,1.4977
1,12,10,0.049514,0.002537,61,60,10,laranja,b671d64fd2,1.5655
1,13,10,0.032126,0.002473,58,57,10,_RARE_,2e2dd26c43,1.5309
1,14,10,0.086753,0.005669,58,56,10,refrigerante,7ac4361a2f,1.4121
1,15,10,0.027733,0.002414,51,48,9,refrigerante,192c147855,1.3952
1,16,10,0.032685,0.002687,61,60,10,picole,3fd23ac610,1.4153
1,17,10,0.039449,0.004150,47,45,10,luvas de borracha,a8b399cb09,1.3817
1,18,10,0.080029,0.002724,53,52,8,suco pronto,2f65a3acaa,1.3796
1,19,10,0.086300,0.004334,53,51,9,biscoito,d4f35700b9,1.3901
1,20,10,0.072587,0.003602,53,53,10,biscoito,7c44a1474c,1.6367
1,21,10,0.061244,0.004544,61,61,10,cerveja,09f1a40c23,1.4456
1,22,10,0.034762,0.003498,51,50,10,vinho importado,c6ab8fb49e,1.6330
1,23,10,0.071841,0.004595,53,53,10,inseticida,927e198086,1.4725
1,24,10,0.047024,0.003869,53,52,10,carne bovina,87c380a2e7,1.3924
1,25,10,0.106257,0.004430,56,56,10,kit para cabelos,e81a0ede96,1.5219
1,26,10,0.072041,0.005058,49,49,10,queijo,9520f8ec08,1.4822
1,27,10,0.081880,0.003299,61,60,8,outro farma,d0e3ab8a7d,1.3787
1,28,10,0.027280,0.001509,47,45,9,aperitivo,10d199c6ad,1.4846
1,29,10,0.038743,0.002079,46,44,9,refrigerante,b92e9fc1e6,1.4699
1,30,10,0.063693,0.004330,52,50,9,padaria e confeitaria fresca,c75bc190be,1.5332
1,31,10,0.048050,0.003142,52,51,10,sal,f694e78f4a,1.3950
1,32,10,0.035322,0.002863,51,49,9,proteina em conserva,18a156ed1f,1.3523
1,33,10,0.113527,0.005621,55,55,10,cafe,8c55fadd5a,1.5161
1,34,10,0.069538,0.005067,52,52,10,achocolatado,e4a9f6ab5d,1.3871
1,35,10,0.057888,0.004048,53,52,10,agua sanitaria,fc611fc345,1.3540
1,36,10,0.047663,0.003098,59,59,10,outro farma,8f0577d151,1.4449
1,37,10,0.074291,0.004230,59,58,9,refrigerante,8ced2ce0d7,1.4091
1,38,10,0.060964,0.003637,52,50,9,carne de ave,28799c3f30,1.3803
1,39,10,0.055598,0.003653,56,55,9,macarrao,3075efc2df,1.4993
1,40,10,0.035801,0.002862,59,58,10,preservativo,639d34a01f,1.4465
