nm_item,nm_product,metric_value,metric_type,optimization_goal
OLEO ELAION SEMI SINTETICO 15W40 1LT,automotivo,0.6153194672440986,f1_macro_on_full,maximize
SH CLEAR ANTIC DETOX SCALP 2 EM 1 200ML,shampoo,0.6153194672440986,f1_macro_on_full,maximize
"LTE COND MOCA, SEMI DESN TP 395G, .",leite condensado,0.6153194672440986,f1_macro_on_full,maximize
TORRADA ADRIA LIGHT 142G,torrada,0.6153194672440986,f1_macro_on_full,maximize
ACHOCOLATADO CARREFOUR TP 1L,achocolatado,0.6153194672440986,f1_macro_on_full,maximize
"CALDO KNORR 57G, LEG, .",caldo industrializado,0.6153194672440986,f1_macro_on_full,maximize
LEMON PEPPER CASAXA SC 35G,outro condimento,0.6153194672440986,f1_macro_on_full,maximize
CHA LEAO ICE TEA PESSEGO PET 1L,cha pronto,0.6153194672440986,f1_macro_on_full,maximize
MAIONESE HELLMANNS SCH 200G,maionese,0.6153194672440986,f1_macro_on_full,maximize
"CALDO KNORR 57G, COSTELA, .",caldo industrializado,0.6153194672440986,f1_macro_on_full,maximize
OLEO MINERAL YPF SUPER 20W50,automotivo,0.6153194672440986,f1_macro_on_full,maximize
PROT SOLAR NIVEA FPS30 200ML GTS 100ML,protetor solar,0.6153194672440986,f1_macro_on_full,maximize
"CHOC TALENTO BR 25G, AMENDOA/PASS, .",chocolate,0.6153194672440986,f1_macro_on_full,maximize
BOURSIN AZEITONA PRETA FATIADA 130G,queijo,0.6153194672440986,f1_macro_on_full,maximize
AP BARB PROBAK C/2 UN,aparelho de barbear e depilatorio,0.6153194672440986,f1_macro_on_full,maximize
ACHOC PO NESTLE GALAK 200G,achocolatado,0.6153194672440986,f1_macro_on_full,maximize
CHA ICE TEA FUZE PESSEGO PET 300ML,cha pronto,0.6153194672440986,f1_macro_on_full,maximize
"ANTIS COLGATE L1L P700ML UN, MINT, .",enxaguante bucal,0.6153194672440986,f1_macro_on_full,maximize
EXT TOMATE CAJAMAR LT 350G,extrato de tomate,0.6153194672440986,f1_macro_on_full,maximize
ADOC LIQ ZERO CAL SACARINA FC 200ML,adocante,0.6153194672440986,f1_macro_on_full,maximize
"SUCO PURITY NECTAR 1L, FTS CITR, .",suco pronto,0.6153194672440986,f1_macro_on_full,maximize
GRANOLA DA MAGRINHA C/FRUTAS    PCT 850G,granola,0.6153194672440986,f1_macro_on_full,maximize
GRANOLA DA MAGRINHA C/FRUTAS S/ACUC 250G,granola,0.6153194672440986,f1_macro_on_full,maximize
MAC SADIA 350G MACN CHEESE CHEDDAR,macarrao,0.6153194672440986,f1_macro_on_full,maximize
"IOG VIGOR 170G, NATURAL, .",iogurte,0.6153194672440986,f1_macro_on_full,maximize
FGO COXA S/COXA CONG KG,carne de ave,0.6153194672440986,f1_macro_on_full,maximize
"IOG VIGOR 180G, MGO, .",iogurte,0.6153194672440986,f1_macro_on_full,maximize
"MARG VIGOR MIX 500G, C/SAL, .",margarina,0.6153194672440986,f1_macro_on_full,maximize
MAC SADIA 350G MACN CHEESE,macarrao,0.6153194672440986,f1_macro_on_full,maximize
"MAC SADIA 350G MACN CHEESE, BACON",macarrao,0.6153194672440986,f1_macro_on_full,maximize
QUEIJO RAL VIGOR PARMESAO 50G,queijo,0.6153194672440986,f1_macro_on_full,maximize
FILE PEITO FGO CAIPIRA BENTO BD CONG 600,carne de ave,0.6153194672440986,f1_macro_on_full,maximize
"PIZZA REZENDE 460G, CALABR, .",pizza congelada,0.6153194672440986,f1_macro_on_full,maximize
"CHICKEN SEARA TURMA DA MON 300G, QJO, .",empanado congelado,0.6153194672440986,f1_macro_on_full,maximize
POLPA PESSEGO NUTRIC AMAREL 100GR,polpa de fruta congelada,0.6153194672440986,f1_macro_on_full,maximize
"LANCHE SEARA HOT HIT 145G, CHEDDAR, .",sanduiche congelado,0.6153194672440986,f1_macro_on_full,maximize
EXTRATO LATA ABRE FA 350G,extrato de tomate,0.6153194672440986,f1_macro_on_full,maximize
SELETA MISTA SEARA 1KG,vegetal congelado,0.6153194672440986,f1_macro_on_full,maximize
TOMATE MINI T M 180G  180G,tomate,0.6153194672440986,f1_macro_on_full,maximize
"REFRESC MAGRO 8G, LJA, .",preparo para suco,0.6153194672440986,f1_macro_on_full,maximize
AMAC YPE CONC SC 1L BLUE,amaciante,0.6153194672440986,f1_macro_on_full,maximize
"CAPSULA DOLCE GUSTO C/16, CHOC/CARAM, .",cafe,0.6153194672440986,f1_macro_on_full,maximize
"ALVEJ VANISH 75G, SUPER BARRA, .",alvejante,0.6153194672440986,f1_macro_on_full,maximize
"SABONETE DOVE BABY HIDR 75G, GLIC",sabonete infantil,0.6153194672440986,f1_macro_on_full,maximize
"DESOD R REXONA 50ML, COTTON, .",desodorante,0.6153194672440986,f1_macro_on_full,maximize
"HIDRAT NIVEA BODY 400ML, MILK, .",creme corporal,0.6153194672440986,f1_macro_on_full,maximize
"IOG BATAVO POLPA BDJ 540G, MGO/PESS, .",iogurte,0.6153194672440986,f1_macro_on_full,maximize
TORRADA ADRIA 142G MULTIGRAOS,torrada,0.6153194672440986,f1_macro_on_full,maximize
BOMBOM NEST 251G ESPECIALID,bombom,0.6153194672440986,f1_macro_on_full,maximize
BOMBOM GAROTO 250G SORTID,bombom,0.6153194672440986,f1_macro_on_full,maximize
SUCO FRUIT SHOOT MORANGO 150ML,suco pronto,0.6153194672440986,f1_macro_on_full,maximize
SUCO FRUIT SHOOT MACA VERDE 150ML,suco pronto,0.6153194672440986,f1_macro_on_full,maximize
"MAC DONA B SEMOLA 500G, ESPAG, .",macarrao,0.6153194672440986,f1_macro_on_full,maximize
FEIJAO CAMIL BC TIPO1 PCT 500G,feijao,0.6153194672440986,f1_macro_on_full,maximize
TOMATE GRAPE FRUTANO 300G,tomate,0.6153194672440986,f1_macro_on_full,maximize
"BEB CERESER GASEIF 660ML, MGO S/ALC, .",espumante,0.6153194672440986,f1_macro_on_full,maximize
WAFER LACTA AMANDITA PCT 200G,biscoito,0.6153194672440986,f1_macro_on_full,maximize
LTE COCO BRASCO 500 BRANCA 500ML,leite de coco,0.6153194672440986,f1_macro_on_full,maximize
PERU SEARA INTEIRO CONG TEMP KG,carne de ave,0.6153194672440986,f1_macro_on_full,maximize
KIT SANDUICHE MORTADELA,prato pronto,0.6153194672440986,f1_macro_on_full,maximize
FERMENTO QUIM ROYAL EM PO PT 100G,fermento,0.6153194672440986,f1_macro_on_full,maximize
ABS SEMPRE LIVRE FIT SUAV C/A L16P- UN,absorvente,0.6153194672440986,f1_macro_on_full,maximize
