generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,20000,0.820187,0.556044,109917,15104,546,biscoito,a39c368a51,4.7131
1,1,20000,0.818393,0.549130,109478,14828,543,biscoito,c2872fc47c,4.5519
1,2,20000,0.820342,0.561787,109541,15054,557,biscoito,cc050b9fd0,4.5797
1,3,20000,0.816919,0.544099,109752,14987,558,biscoito,249b2b2e8a,4.5378
1,4,20000,0.819484,0.553655,109861,14966,551,biscoito,5d7d05705a,4.5728
1,5,20000,0.819631,0.558980,109317,15161,555,biscoito,f278c10862,4.6482
1,6,20000,0.818429,0.561841,109721,15137,549,biscoito,244d379164,4.5741
1,7,20000,0.819883,0.552172,109484,14966,543,biscoito,29262f7967,4.6794
1,8,20000,0.821265,0.559846,109398,15127,559,biscoito,4e8642cea5,4.6637
1,9,20000,0.816380,0.550033,109564,14917,548,biscoito,41a0301fea,4.5854
1,10,20000,0.819060,0.559643,109866,15062,555,biscoito,353e031993,4.6348
1,11,20000,0.818381,0.548878,109821,14951,551,biscoito,6966733d9f,4.6031
1,12,20000,0.817586,0.542047,109963,14924,550,biscoito,196bb01a97,4.5731
1,13,20000,0.818713,0.549669,109912,15009,549,biscoito,3bf5a2e91d,4.5682
1,14,20000,0.817203,0.549948,109648,14872,547,biscoito,aa1f3822bd,4.6116
1,15,20000,0.820414,0.552918,109566,15092,554,biscoito,2c970caa2c,4.5741
1,16,20000,0.816596,0.552267,109916,14911,549,biscoito,a7e562b56f,4.5317
1,17,20000,0.815597,0.554852,109419,14913,547,biscoito,b3bdb5e8d1,4.6057
1,18,20000,0.817431,0.559850,109450,15124,560,biscoito,ba0fcc9df7,4.6342
1,19,20000,0.820354,0.538878,109778,15054,542,biscoito,8f6d1f17d1,4.6708
2,0,20000,0.818429,0.561841,109721,15137,549,biscoito,244d379164,4.5741
2,1,20000,0.819488,0.549106,109772,15152,545,biscoito,72699cee99,4.5847
