generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,20000,0.817003,0.548377,109492,15084,546,biscoito,f1cb19f3a9,5.2266
1,1,20000,0.821305,0.549036,110094,14980,546,biscoito,f4e17a0536,4.9914
1,2,20000,0.818397,0.547072,109736,15092,546,biscoito,f227e30330,5.0281
1,3,20000,0.818054,0.545651,109578,15085,553,biscoito,1368ebc728,4.9810
1,4,20000,0.819072,0.560115,109757,14927,558,biscoito,334ae39db6,4.9350
1,5,20000,0.817035,0.555529,109905,14896,561,biscoito,127980fbd9,4.7913
1,6,20000,0.818753,0.562886,109728,15133,559,biscoito,184e6a32a5,4.8774
1,7,20000,0.815170,0.549573,109888,15052,551,biscoito,c84b2cb781,4.8194
1,8,20000,0.819735,0.556904,109762,14864,550,biscoito,d40986a3f3,5.0194
1,9,20000,0.818469,0.562822,109532,14951,569,biscoito,fd83190608,4.9402
1,10,20000,0.817606,0.558209,109997,14943,554,biscoito,13c8b60f16,4.8591
1,11,20000,0.814758,0.554002,110011,14913,551,biscoito,999d4a1ab4,4.7684
1,12,20000,0.817035,0.547796,109481,15072,554,biscoito,ab13f4f153,4.9252
1,13,20000,0.817486,0.555773,109944,15090,557,biscoito,1f53f77e14,4.8133
1,14,20000,0.819324,0.559526,109700,15144,558,biscoito,7e13b6082c,4.8696
1,15,20000,0.818449,0.550873,109872,15016,555,biscoito,25e8f5a4c5,4.8212
1,16,20000,0.820786,0.557984,110014,15073,553,biscoito,1bf63c1725,4.8075
1,17,20000,0.819643,0.557547,110021,14972,555,biscoito,358e58b163,4.7467
1,18,20000,0.819871,0.560872,109532,15186,558,biscoito,b6933e51f9,4.7557
1,19,20000,0.818737,0.554305,109501,15055,556,biscoito,d0d0bbf588,4.7503
2,0,20000,0.818054,0.545651,109578,15085,553,biscoito,1368ebc728,4.9810
2,1,20000,0.820059,0.556921,110025,14972,554,biscoito,4add80de6b,4.8732
2,2,20000,0.817826,0.543185,109561,15108,552,biscoito,df65aa12c6,4.7184
2,3,20000,0.817035,0.547796,109481,15072,554,biscoito,ab13f4f153,4.9252
2,4,20000,0.821305,0.549036,110094,14980,546,biscoito,f4e17a0536,4.9914
2,5,20000,0.818449,0.550873,109872,15016,555,biscoito,25e8f5a4c5,4.8212
2,6,20000,0.818397,0.547072,109736,15092,546,biscoito,f227e30330,5.0281
2,7,20000,0.818086,0.542982,110101,14937,540,biscoito,7888aafadb,4.6529
2,8,20000,0.820226,0.553117,109452,15072,551,biscoito,2ffbfd4dd4,4.7883
2,9,20000,0.820015,0.558072,110039,15078,552,biscoito,06ff402c8a,4.8052
2,10,20000,0.818477,0.548943,109485,15090,553,biscoito,cbd8b482b3,4.7570
2,11,20000,0.818054,0.545651,109578,15085,553,biscoito,1368ebc728,4.9810
2,12,20000,0.818054,0.545651,109578,15085,553,biscoito,1368ebc728,4.9810
2,13,20000,0.815889,0.544020,109569,15139,555,biscoito,def0c9dd0d,4.7566
2,14,20000,0.818801,0.544882,109479,15018,541,biscoito,4d153efdb0,4.8169
2,15,20000,0.817163,0.543038,109729,15037,548,biscoito,d1f55cdaa6,4.8291
2,16,20000,0.818884,0.562234,109887,15070,559,biscoito,3aaa166f33,4.7414
2,17,20000,0.816380,0.555199,110107,14948,549,biscoito,ade5d0b0c5,4.8818
2,18,20000,0.816384,0.549862,109810,15012,552,biscoito,c9f35a86aa,4.7577
2,19,20000,0.819268,0.544018,109764,15076,551,biscoito,58b6294959,4.8670
3,0,20000,0.818086,0.542982,110101,14937,540,biscoito,7888aafadb,4.6529
3,1,20000,0.819028,0.540827,109582,15179,542,biscoito,5fdacda441,4.8491
3,2,20000,0.818046,0.544553,109645,14877,548,biscoito,39b2297367,4.7469
3,3,20000,0.814000,0.533991,109840,14748,544,biscoito,a0de55f8f3,4.7350
3,4,20000,0.816899,0.548595,109471,15014,555,biscoito,4cdaafafdb,4.7867
3,5,20000,0.816428,0.539993,109786,15000,539,biscoito,c6f3a4acea,4.8147
3,6,20000,0.818357,0.550169,110042,14961,552,biscoito,85c46b8278,4.6900
3,7,20000,0.818054,0.545651,109578,15085,553,biscoito,1368ebc728,4.9810
3,8,20000,0.818054,0.545651,109578,15085,553,biscoito,1368ebc728,4.9810
3,9,20000,0.821101,0.548439,110044,14973,545,biscoito,d8fb5bbd2b,4.7676
3,10,20000,0.817243,0.539420,110085,14950,540,biscoito,e69d3b8f3d,4.6700
3,11,20000,0.817826,0.543185,109561,15108,552,biscoito,df65aa12c6,4.7184
3,12,20000,0.817910,0.542918,110090,14926,541,biscoito,f7787de3c0,4.6494
3,13,20000,0.815625,0.549456,109982,15053,559,biscoito,038ec4e09d,4.7390
3,14,20000,0.816764,0.538413,109623,14781,539,biscoito,752dc2a5ab,4.7460
3,15,20000,0.818900,0.545426,109517,15085,546,biscoito,e1b055ba87,4.8977
3,16,20000,0.816632,0.549266,109550,15122,556,biscoito,bb1624370c,4.8178
3,17,20000,0.818585,0.545071,109662,15058,555,biscoito,84fb2a2c19,4.7898
3,18,20000,0.818669,0.543011,109666,15113,547,biscoito,8733ad0c50,4.8724
3,19,20000,0.818697,0.553948,109754,15087,553,biscoito,71cdee969d,4.7686
4,0,20000,0.814000,0.533991,109840,14748,544,biscoito,a0de55f8f3,4.7350
4,1,20000,0.817323,0.537776,109413,15063,549,biscoito,b66c241583,4.7927
4,2,20000,0.816176,0.541831,109751,14773,539,biscoito,8ee18b2c83,4.7363
4,3,20000,0.818669,0.543011,109666,15113,547,biscoito,8733ad0c50,4.8724
4,4,20000,0.818086,0.542982,110101,14937,540,biscoito,7888aafadb,4.6529
4,5,20000,0.818297,0.545237,109215,14852,548,biscoito,b3fc6ce6ff,4.7812
4,6,20000,0.813696,0.532555,109999,14664,536,biscoito,8ace9402a0,4.7161
4,7,20000,0.817243,0.539420,110085,14950,540,biscoito,e69d3b8f3d,4.6700
4,8,20000,0.817243,0.539420,110085,14950,540,biscoito,e69d3b8f3d,4.6700
4,9,20000,0.816284,0.547235,109599,15148,555,biscoito,eb4ce123f4,4.8368
4,10,20000,0.816931,0.544641,109600,14869,548,biscoito,c887653bf5,4.6285
4,11,20000,0.817914,0.550525,110157,14949,539,biscoito,9e5247365e,4.8300
4,12,20000,0.815797,0.543843,109833,14874,545,biscoito,a9755e5d92,4.7268
4,13,20000,0.808420,0.515461,110398,14621,531,biscoito,6f0568254e,4.7466
4,14,20000,0.819228,0.553998,109559,14714,558,biscoito,3c3fc6c066,4.7556
4,15,20000,0.816712,0.539700,109684,15031,544,biscoito,3f9895d84c,4.6907
4,16,20000,0.817319,0.540601,109691,15158,540,biscoito,5a74ff01dc,4.7247
4,17,20000,0.817131,0.535857,109887,15028,536,biscoito,57cbaa2634,4.7631
4,18,20000,0.818984,0.539366,109511,15109,541,biscoito,08118de973,4.8019
4,19,20000,0.816428,0.539993,109786,15000,539,biscoito,c6f3a4acea,4.8147
5,0,20000,0.808420,0.515461,110398,14621,531,biscoito,6f0568254e,4.7466
