generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,2500,0.669495,0.282294,13733,4652,350,biscoito,cd13cb0e3c,21.7712
1,1,2500,0.666107,0.288116,13671,4564,359,biscoito,a93e88b1f8,21.5778
1,2,2500,0.665752,0.282144,13733,4650,361,biscoito,7bcb631ab7,21.3811
1,3,2500,0.659972,0.275668,13646,4490,359,biscoito,a0052e7ba2,21.4411
1,4,2500,0.658479,0.271046,13790,4633,355,biscoito,71b27b99e3,20.6085
1,5,2500,0.670006,0.281717,13569,4598,354,biscoito,1948d38c56,21.2841
1,6,2500,0.667805,0.281468,13671,4570,364,biscoito,2654e873a2,21.4693
1,7,2500,0.657728,0.276448,13695,4588,351,biscoito,fbc53c8c14,21.0658
1,8,2500,0.668464,0.286634,13685,4580,362,biscoito,326f7d9f06,21.5569
1,9,2500,0.651952,0.277654,13673,4654,362,biscoito,24819158fa,21.6036
1,10,2500,0.666319,0.294331,13608,4668,368,biscoito,6c847f1f88,21.8923
1,11,2500,0.665620,0.280930,13733,4634,365,biscoito,7c203cec9d,21.4363
1,12,2500,0.665317,0.274423,13699,4565,358,biscoito,7349b65177,21.5037
1,13,2500,0.661906,0.270157,13785,4565,345,biscoito,5aae20c42b,21.7483
1,14,2500,0.666463,0.279286,13792,4487,350,biscoito,ee6f02860d,20.8955
1,15,2500,0.668608,0.282606,13770,4663,357,biscoito,83997bbf93,21.0074
1,16,2500,0.665321,0.286646,13707,4607,368,biscoito,2f40bb753d,17.7480
1,17,2500,0.670253,0.279261,13531,4548,355,biscoito,04b73f53f8,17.5064
1,18,2500,0.670058,0.290065,13679,4633,365,biscoito,2426ae4edd,17.2845
1,19,2500,0.669590,0.287660,13652,4516,358,biscoito,1c2f5bca7d,17.1760
2,0,2500,0.666319,0.294331,13608,4668,368,biscoito,6c847f1f88,21.8923
2,7,2500,0.666319,0.294331,13608,4668,368,biscoito,6c847f1f88,21.8923
2,13,2500,0.657728,0.276448,13695,4588,351,biscoito,fbc53c8c14,21.0658
2,14,2500,0.669590,0.287660,13652,4516,358,biscoito,1c2f5bca7d,17.1760
2,17,2500,0.665321,0.286646,13707,4607,368,biscoito,2f40bb753d,17.7480
2,18,2500,0.665321,0.286646,13707,4607,368,biscoito,2f40bb753d,17.7480
2,19,2500,0.666319,0.294331,13608,4668,368,biscoito,6c847f1f88,21.8923
2,1,2500,0.666950,0.283680,13782,4645,364,biscoito,7a34e0dcf0,20.7854
2,2,2500,0.669846,0.285439,13688,4542,354,biscoito,e9909c9d09,21.2311
2,3,2500,0.664801,0.296486,13617,4583,378,biscoito,18aa92d366,21.7506
2,4,2500,0.663495,0.270550,13833,4658,342,biscoito,952d75e5fa,20.6836
2,5,2500,0.664817,0.283642,13652,4540,355,biscoito,750261ed4a,21.3197
2,6,2500,0.658886,0.282702,13733,4611,370,biscoito,01df45f1bf,21.2645
2,8,2500,0.665676,0.290085,13706,4638,369,biscoito,77f0182f4f,21.0827
2,9,2500,0.661426,0.281469,13695,4637,365,biscoito,4c68fb418c,20.5808
2,10,2500,0.662541,0.279377,13650,4570,361,biscoito,02054d9cef,19.1470
2,11,2500,0.660420,0.286086,13647,4549,366,biscoito,6be3bdbc47,19.2304
2,12,2500,0.657392,0.277511,13723,4609,351,biscoito,797bf8da9f,18.9596
2,15,2500,0.657792,0.273707,13582,4588,345,biscoito,928c5e32b7,18.6457
2,16,2500,0.659709,0.274846,13640,4556,361,biscoito,11021565f8,18.1955
3,0,2500,0.664801,0.296486,13617,4583,378,biscoito,18aa92d366,21.7506
3,1,2500,0.666319,0.294331,13608,4668,368,biscoito,6c847f1f88,21.8923
3,11,2500,0.664801,0.296486,13617,4583,378,biscoito,18aa92d366,21.7506
3,12,2500,0.666319,0.294331,13608,4668,368,biscoito,6c847f1f88,21.8923
3,2,2500,0.666603,0.295188,13591,4636,367,biscoito,eb2bd0df09,21.4033
3,3,2500,0.662836,0.288998,13726,4625,362,biscoito,a3f00ac97c,21.8821
3,4,2500,0.671200,0.302071,13624,4671,374,biscoito,62326ba876,21.5900
3,5,2500,0.670924,0.297976,13542,4599,364,biscoito,9ca4632d78,21.7849
3,6,2500,0.663743,0.281027,13702,4531,355,biscoito,259aaef404,21.8119
3,7,2500,0.671887,0.293263,13585,4647,368,biscoito,df016177a8,21.7508
3,8,2500,0.658551,0.288931,13605,4498,365,biscoito,17cca91121,21.5153
3,9,2500,0.670509,0.302372,13581,4568,375,biscoito,80fa4c0231,21.7714
3,10,2500,0.661530,0.274257,13678,4598,353,biscoito,6a2cc61116,21.9422
3,13,2500,0.663224,0.292987,13712,4625,365,biscoito,eefe302020,22.2524
3,14,2500,0.669846,0.289210,13599,4600,374,biscoito,9bee013cb0,20.8083
3,15,2500,0.668344,0.282215,13732,4652,353,biscoito,a9bc07f55d,21.4363
3,16,2500,0.664262,0.296454,13628,4676,374,biscoito,79cd59ea46,21.7163
3,17,2500,0.669187,0.296136,13626,4601,381,biscoito,16fc7fb6a9,21.1333
3,18,2500,0.663751,0.285619,13669,4610,360,biscoito,c711fbabaf,21.6048
3,19,2500,0.674367,0.287998,13628,4517,356,biscoito,c87480d48a,21.3992
4,0,2500,0.670509,0.302372,13581,4568,375,biscoito,80fa4c0231,21.7714
4,4,2500,0.664801,0.296486,13617,4583,378,biscoito,18aa92d366,21.7506
4,10,2500,0.664262,0.296454,13628,4676,374,biscoito,79cd59ea46,21.7163
4,11,2500,0.671887,0.293263,13585,4647,368,biscoito,df016177a8,21.7508
4,12,2500,0.671887,0.293263,13585,4647,368,biscoito,df016177a8,21.7508
4,13,2500,0.670509,0.302372,13581,4568,375,biscoito,80fa4c0231,21.7714
4,14,2500,0.670924,0.297976,13542,4599,364,biscoito,9ca4632d78,21.7849
4,1,2500,0.666279,0.294837,13628,4547,367,biscoito,43c0eb76d3,21.2857
4,2,2500,0.669075,0.294593,13585,4631,371,biscoito,13a9bda6d2,21.0114
4,3,2500,0.673077,0.294209,13620,4573,369,biscoito,fba63c7a8e,21.1791
4,5,2500,0.660316,0.289449,13615,4590,372,biscoito,2e13dd4632,20.9134
4,6,2500,0.662796,0.295544,13626,4663,373,biscoito,704ab0c395,20.8227
4,7,2500,0.674220,0.305256,13595,4689,374,biscoito,d3cac76b8b,21.1073
4,8,2500,0.668125,0.290750,13548,4592,359,biscoito,674eed57f6,21.0085
4,9,2500,0.670293,0.303777,13600,4707,382,biscoito,7f6241e861,20.3334
4,15,2500,0.665105,0.293749,13623,4576,375,biscoito,a0ba0f71cd,19.6734
4,16,2500,0.665852,0.299698,13537,4614,364,biscoito,4ce3dd4b3f,19.6543
4,17,2500,0.664614,0.288129,13631,4595,366,biscoito,cbd8ba19f9,19.3270
4,18,2500,0.672981,0.300379,13546,4601,376,biscoito,74cc77c32a,19.1647
4,19,2500,0.662509,0.296019,13670,4682,374,biscoito,3530d37487,18.4801
5,0,2500,0.674220,0.305256,13595,4689,374,biscoito,d3cac76b8b,21.1073
5,14,2500,0.670509,0.302372,13581,4568,375,biscoito,80fa4c0231,21.7714
5,19,2500,0.670293,0.303777,13600,4707,382,biscoito,7f6241e861,20.3334
5,1,2500,0.668951,0.300651,13673,4684,373,biscoito,d58ba60ec3,22.5774
5,2,2500,0.676572,0.305025,13587,4563,377,biscoito,fb9992a214,22.4944
5,3,2500,0.665297,0.295398,13618,4708,378,biscoito,38f717afd8,22.1279
5,4,2500,0.662513,0.293997,13602,4586,381,biscoito,6fbc5d0755,20.7713
5,5,2500,0.675050,0.304999,13514,4590,386,biscoito,7a28e77d6e,21.2361
5,6,2500,0.661171,0.295470,13617,4682,372,biscoito,e78a9a4148,21.2088
5,7,2500,0.665764,0.293734,13602,4561,372,biscoito,3ea3c78c87,21.9512
5,8,2500,0.670908,0.286150,13660,4570,364,biscoito,06fa77e611,22.0399
5,9,2500,0.665281,0.300148,13591,4675,374,biscoito,09237e3ab1,20.9356
5,10,2500,0.670601,0.296142,13646,4624,366,biscoito,792a312a9e,21.9658
5,11,2500,0.666914,0.295144,13626,4623,368,biscoito,a3950bd15f,22.0035
5,12,2500,0.673884,0.303722,13579,4626,383,biscoito,d7fa8ba037,22.1671
5,13,2500,0.671008,0.294459,13582,4535,367,biscoito,2954c54a23,21.5271
5,15,2500,0.663983,0.293120,13536,4593,365,biscoito,3d37459d8b,21.6514
5,16,2500,0.665800,0.296834,13542,4613,365,biscoito,66ebae1532,20.7228
5,17,2500,0.670281,0.298153,13572,4544,375,biscoito,648d68fdd1,20.9170
5,18,2500,0.666611,0.290783,13653,4561,370,biscoito,7cde1d0b0d,12.3063
6,0,2500,0.674220,0.305256,13595,4689,374,biscoito,d3cac76b8b,21.1073
6,2,2500,0.670281,0.298153,13572,4544,375,biscoito,648d68fdd1,20.9170
6,1,2500,0.671192,0.294649,13607,4676,369,biscoito,35f6ae9ee1,22.0352
6,3,2500,0.671831,0.300685,13587,4617,380,biscoito,6be937dfe4,21.1469
6,4,2500,0.674112,0.295440,13671,4624,368,biscoito,55d1e357ca,22.4454
6,5,2500,0.662700,0.294714,13568,4679,375,biscoito,3e2814fa98,21.5702
6,6,2500,0.666806,0.300842,13574,4681,378,biscoito,7b2e840a40,22.4517
6,7,2500,0.668208,0.290640,13602,4574,371,biscoito,bd76906e23,21.2830
6,8,2500,0.672354,0.309479,13567,4663,379,biscoito,293d40db4a,21.1511
6,9,2500,0.667921,0.298420,13601,4677,373,biscoito,3fc9673d3d,22.5269
6,10,2500,0.674192,0.308207,13516,4600,385,biscoito,10941d78fc,22.4733
6,11,2500,0.669618,0.294498,13567,4561,374,biscoito,05d3801528,23.3069
6,12,2500,0.675062,0.301926,13591,4630,381,biscoito,a0c1f38018,24.1743
6,13,2500,0.672171,0.300476,13584,4628,379,biscoito,4fdf6d681d,22.0278
6,14,2500,0.671524,0.302880,13621,4659,371,biscoito,752eafa700,21.7767
6,15,2500,0.669007,0.301752,13590,4588,380,biscoito,c20e6d2ce6,22.3579
6,16,2500,0.669231,0.303976,13597,4672,376,biscoito,22205c177f,22.8103
6,17,2500,0.657528,0.297851,13569,4552,377,biscoito,ba1acce5cd,21.8868
6,18,2500,0.677287,0.303327,13478,4551,378,biscoito,f452bae29c,14.1740
6,19,2500,0.666806,0.302237,13602,4747,382,biscoito,14bfc4fa20,13.4862
7,0,2500,0.672354,0.309479,13567,4663,379,biscoito,293d40db4a,21.1511
7,7,2500,0.674220,0.305256,13595,4689,374,biscoito,d3cac76b8b,21.1073
