nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
CERVEJA PETRA 269ML LT,cerveja,0.3604047397150845,accuracy_on_full,minimize
BS ORIG BATAVO NATUR 1LT,bebida de soja,0.3604047397150845,accuracy_on_full,minimize
GELATINA APTI 35G FRAMBOESA,gelatina,0.3604047397150845,accuracy_on_full,minimize
MASSA P/PIZZA ITALIANY BROTINHO 240g,massa de pizza,0.3604047397150845,accuracy_on_full,minimize
DESINF M USO VIM CLORO GEL ORIG 700ML,desinfetante,0.3604047397150845,accuracy_on_full,minimize
MIOLO ALCATRA BOV KG VAC,carne bovina,0.3604047397150845,accuracy_on_full,minimize
CURRY KITANO 50G,curry,0.3604047397150845,accuracy_on_full,minimize
TEMP SAZON 60G  SALADA,tempero pronto,0.3604047397150845,accuracy_on_full,minimize
LIMPA VIDR VEJA VIDREX 500ML AP 30  DESC CRISTAL,limpa vidros,0.3604047397150845,accuracy_on_full,minimize
BISC.RECH.TRAKINAS 126G MAIS CHOC.,biscoito,0.3604047397150845,accuracy_on_full,minimize
LEITE FERM ACTIVIA AMEIXA GFA 800G,leite fermentado,0.3604047397150845,accuracy_on_full,minimize
SNACK PETISCAO FRUTAS 60G,alimento pet,0.3604047397150845,accuracy_on_full,minimize
"MISTURA P/BOLO VITAMILHO 400G, MILHO",preparo para bolo,0.3604047397150845,accuracy_on_full,minimize
MAC PENA ISABELA BOM GOSTO 500g,macarrao,0.3604047397150845,accuracy_on_full,minimize
COXINHA ASA FGO SEARA 400G-PC EMPD CONG,empanado congelado,0.3604047397150845,accuracy_on_full,minimize
LING MISTA DEFD SADIA 240G- FININHA -VC COZ,linguica,0.3604047397150845,accuracy_on_full,minimize
GELATINA SUPER VOL TODECACHO 550G,gelatina,0.3604047397150845,accuracy_on_full,minimize
BISC POLVILHO NORDESTAO TRADIC PC 100G,biscoito,0.3604047397150845,accuracy_on_full,minimize
TEMPERO MAGGI MEU SEGREDO 7 VEG.CX   49G,tempero pronto,0.3604047397150845,accuracy_on_full,minimize
MOLHO TOMATE QUERO HOT DOG SACHET 300g,molho de tomate,0.3604047397150845,accuracy_on_full,minimize
AZALEIA LIEBE PT 09,plantas e sementes,0.3604047397150845,accuracy_on_full,minimize
CERVEJA PETRA PURO MALTE 269ML,cerveja,0.3604047397150845,accuracy_on_full,minimize
CERV HOEGARDEN WHITE GF 330ML,cerveja,0.3604047397150845,accuracy_on_full,minimize
BISC TRIUNFO AMANT COCO 248g,biscoito,0.3604047397150845,accuracy_on_full,minimize
QUIABO SELEC HIDROFOLHAS 300G,quiabo,0.3604047397150845,accuracy_on_full,minimize
DES AER SUAVE FEM JASMIN COCO,desodorante,0.3604047397150845,accuracy_on_full,minimize
CHUPETA ULTRA AIR AZUL 18M,chupeta,0.3604047397150845,accuracy_on_full,minimize
BISC RECH BONO LIMAO 126G,biscoito,0.3604047397150845,accuracy_on_full,minimize
CERVEJA SPATEN 350ML SLEEK LT,cerveja,0.3604047397150845,accuracy_on_full,minimize
MAMAO FORMOSA METADE KG,mamao,0.3604047397150845,accuracy_on_full,minimize
"AP BARBEAR GILLETTE MACH3, ACQUA GRIP",aparelho de barbear e depilatorio,0.3604047397150845,accuracy_on_full,minimize
LP AJAX FUSION CARV AZUL 1LT,multiuso,0.3604047397150845,accuracy_on_full,minimize
TUIA PT14  PT14,plantas e sementes,0.3604047397150845,accuracy_on_full,minimize
ARROZ GIASSI PARBOILIZADO T-1   PE   1KG,arroz,0.3604047397150845,accuracy_on_full,minimize
LTE PO NINHO LEVINHO SEMI-DESN LT 350G,leite em po,0.3604047397150845,accuracy_on_full,minimize
FRIGIDEIRA ALTA TAMPA 28CM DIAMOND,outro utensilio de cozinha,0.3604047397150845,accuracy_on_full,minimize
"IOG BATAVO FC 170G, MGO, .",iogurte,0.3604047397150845,accuracy_on_full,minimize
MIST BOLO ITALAC FUBA 400G,preparo para bolo,0.3604047397150845,accuracy_on_full,minimize
MIRTILLO 125GR,outra fruta,0.3604047397150845,accuracy_on_full,minimize
BISC CLUB SOCIAL 141G QUEIJO,biscoito,0.3604047397150845,accuracy_on_full,minimize
AMACIANTE SONHO 2L LAVANDA,amaciante,0.3604047397150845,accuracy_on_full,minimize
LENCO LIMP FAC NIVEA 3EM1 PELE SECA C/25,removedor de maquiagem,0.3604047397150845,accuracy_on_full,minimize
IOG POLPA ITAMBE BD 540G COCO,iogurte,0.3604047397150845,accuracy_on_full,minimize
TEMP KODILAR CHIMICHURRI 20G,tempero pronto,0.3604047397150845,accuracy_on_full,minimize
BEB MISTA 51 ICE GF 275ML FRUIT MIX,bebida mista,0.3604047397150845,accuracy_on_full,minimize
CERVEJA PRAYA WITBIER LN 355ml,cerveja,0.3604047397150845,accuracy_on_full,minimize
CARGA MACH 3 2un,aparelho de barbear e depilatorio,0.3604047397150845,accuracy_on_full,minimize
BATATA RUFFLES 167G  ORIGINAL,aperitivo,0.3604047397150845,accuracy_on_full,minimize
PACK CERV SKOL PILSEN C6 310ML,cerveja,0.3604047397150845,accuracy_on_full,minimize
LEITE COND SEMIDESN MOCA TP 395G,leite condensado,0.3604047397150845,accuracy_on_full,minimize
MAREVAN 5MG C/30 COMPRIMIDOS FARMOQUIMIC,outro farma,0.3604047397150845,accuracy_on_full,minimize
ARROZ D BENDO POLIDO T3 5KG,arroz,0.3604047397150845,accuracy_on_full,minimize
UVA BRASIL BANDEJA 500g,uva,0.3604047397150845,accuracy_on_full,minimize
PAO GRAOS BAUDUCCO 400G,padaria e confeitaria industrializado,0.3604047397150845,accuracy_on_full,minimize
MANTEIGA MARANGUAPE PT 200G,manteiga,0.3604047397150845,accuracy_on_full,minimize
VINAGRE BALSAMICO BORGES MODENA 500ML,vinagre,0.3604047397150845,accuracy_on_full,minimize
LAVA ROUPA CONC ARIEL LIQ 2L SUAVE/GENTI,lava roupas,0.3604047397150845,accuracy_on_full,minimize
PERA IMP WILLIAM KG,pera,0.3604047397150845,accuracy_on_full,minimize
COXA SCX FGO DORSO CONG PCT kg,carne de ave,0.3604047397150845,accuracy_on_full,minimize
"AGUA MINERAL BIOLEVE PRIME 1,5L",agua,0.3604047397150845,accuracy_on_full,minimize
SH DOVE BABY HIDRAT GLICERINADA 400ML,shampoo infantil,0.3604047397150845,accuracy_on_full,minimize
"MAC NISSIN CUP N, FEIJOADA 69G, .",macarrao,0.3604047397150845,accuracy_on_full,minimize
MARGARINA MANTEIGA C SAL BECEL 500G,margarina,0.3604047397150845,accuracy_on_full,minimize
BISC MALTA LIGHT 160G,biscoito,0.3604047397150845,accuracy_on_full,minimize
