nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
LIMP PERF VEJA AROMA SENSE ROMANCE 2L,multiuso,0.37793902276660896,accuracy_on_full,maximize
MARG CLAYBOM C/SAL PT 1KG,margarina,0.37793902276660896,accuracy_on_full,maximize
BALA DURA SWEET KISS AZEDINHA 600G- PC SORT,bala,0.37793902276660896,accuracy_on_full,maximize
COXINHA ASA FGO SADIA 1KG,carne de ave,0.37793902276660896,accuracy_on_full,maximize
POL CAJU S BEM 100GR,polpa de fruta congelada,0.37793902276660896,accuracy_on_full,maximize
MOSTARDA ELEFANTE PT 180G,mostarda,0.37793902276660896,accuracy_on_full,maximize
LEITE COND MOCA LIGHT 410g,leite condensado,0.37793902276660896,accuracy_on_full,maximize
IOG POLPA TREVINHO MOR/SALADA 540G,iogurte,0.37793902276660896,accuracy_on_full,maximize
CAFE PO CESTA BASICA 250G,cafe,0.37793902276660896,accuracy_on_full,maximize
BARRA CEREAL CRF CLASSIC CAST CHOC 75G,barra alimentar,0.37793902276660896,accuracy_on_full,maximize
DOLCE G INTENSO C10 80G,cafe,0.37793902276660896,accuracy_on_full,maximize
BISC CREAM CRACKER  400G,biscoito,0.37793902276660896,accuracy_on_full,maximize
"DESINF KALIPTO 2L, LAV, .",desinfetante,0.37793902276660896,accuracy_on_full,maximize
LARANJA IMPORTADA KG,laranja,0.37793902276660896,accuracy_on_full,maximize
DENTAL FRESH PERIOTRAT S ALC MENTA FORTE,outro farma,0.37793902276660896,accuracy_on_full,maximize
COBERTOR MICR CASAL LISO 180X220 CAMESA,cobertor,0.37793902276660896,accuracy_on_full,maximize
TALCO POM POM 200G,talco infantil,0.37793902276660896,accuracy_on_full,maximize
MIST BOLO ITALAC 400G CENOURA,preparo para bolo,0.37793902276660896,accuracy_on_full,maximize
KIT C/3 CR DENT TOTAL 12 90G CLEAN-MENT,creme dental,0.37793902276660896,accuracy_on_full,maximize
SABON DOVE                           90G,sabonete,0.37793902276660896,accuracy_on_full,maximize
CHA LEAO 15G HORTELA,cha por infusao,0.37793902276660896,accuracy_on_full,maximize
PIZZA REZENDE FRANGO C/REQ CONG CX  400G,pizza congelada,0.37793902276660896,accuracy_on_full,maximize
CERA PROAUTO . 200G,automotivo,0.37793902276660896,accuracy_on_full,maximize
PIZZA SEARA 460G 4 QUEIJOS,pizza congelada,0.37793902276660896,accuracy_on_full,maximize
BISC COOKIE MALHADO TODDY 150G,biscoito,0.37793902276660896,accuracy_on_full,maximize
NECTAR DAFRUTA TP 200ML GOIABA,suco pronto,0.37793902276660896,accuracy_on_full,maximize
SALSICHA AURORA CONG PESO,salsicha,0.37793902276660896,accuracy_on_full,maximize
DESENG QBOA SQ 500ML,desengordurante,0.37793902276660896,accuracy_on_full,maximize
CB COSTELA BOVINA FAT CONG KG PAS,carne bovina,0.37793902276660896,accuracy_on_full,maximize
MOLHO PIMEN CALABRESA PONZAN 150ML,molho de pimenta,0.37793902276660896,accuracy_on_full,maximize
PR ESPONJA ESFREBOM AMAREL 4UN,esponja,0.37793902276660896,accuracy_on_full,maximize
ERVILHA TORTA BENASSI,ervilha,0.37793902276660896,accuracy_on_full,maximize
RACAO KELDOG FRA. ERV/CEN.      SH  100G,alimento pet,0.37793902276660896,accuracy_on_full,maximize
SUSPIRO SUSPIROLANDIA 100GR TRADICIONAL,suspiro,0.37793902276660896,accuracy_on_full,maximize
REFRIG GUARANA ANTARCTICA LT 310ML,refrigerante,0.37793902276660896,accuracy_on_full,maximize
LAV ROUP PO APYCE SACHET ROSA 800g,lava roupas,0.37793902276660896,accuracy_on_full,maximize
MAIONESE HELLMANNS SACHET           200G,maionese,0.37793902276660896,accuracy_on_full,maximize
CALDO KNORR COSTELA             CX  57GR,caldo industrializado,0.37793902276660896,accuracy_on_full,maximize
SAB PROTEX AVEIA C6 85G L P-,sabonete,0.37793902276660896,accuracy_on_full,maximize
OVO PASCOA ARCOR UNICORNIO 120G,ovo de pascoa,0.37793902276660896,accuracy_on_full,maximize
BROCOLIS NINJA PERCICOTI        BD 300GR,brocolis,0.37793902276660896,accuracy_on_full,maximize
BISC WAF NESTLE PRESTIGIO 110G,biscoito,0.37793902276660896,accuracy_on_full,maximize
LEITE INT ITALAC ZERO LACTOSE 1L,leite,0.37793902276660896,accuracy_on_full,maximize
PRESUNTO PERU SADIA kg,presunto,0.37793902276660896,accuracy_on_full,maximize
ALIM GATO FRISKIES MEGAMIX CASTR PCT 3KG,alimento pet,0.37793902276660896,accuracy_on_full,maximize
ERVILHA MILHO QUERO T/P 170g,milho verde e ervilha em conserva,0.37793902276660896,accuracy_on_full,maximize
FLR BENA OQ PHALA P15,plantas e sementes,0.37793902276660896,accuracy_on_full,maximize
ENERGETICO RED BULL LT 250ml C/8,energetico,0.37793902276660896,accuracy_on_full,maximize
CH CLASSICA GF 41G20 GRAFIT 41.42,chinelo,0.37793902276660896,accuracy_on_full,maximize
GIN TONICA FLOWERS MORANGO 269ML,bebida mista,0.37793902276660896,accuracy_on_full,maximize
ERVA DOCE ENVEL CHELLI 8G,outro condimento,0.37793902276660896,accuracy_on_full,maximize
CHOC SNICKERS DARK 42G,chocolate,0.37793902276660896,accuracy_on_full,maximize
TRIDENT XFRESH MENTA 56G,goma de mascar,0.37793902276660896,accuracy_on_full,maximize
CERV ALE DEBRON GOLDEN GRF 500ML,cerveja,0.37793902276660896,accuracy_on_full,maximize
CHOC TAB LACTA INTENSE 40 FRAMBOESA 85G,chocolate,0.37793902276660896,accuracy_on_full,maximize
BODY MC LISO MNO PMG,_RARE_,0.37793902276660896,accuracy_on_full,maximize
BALA ARCOR B.TOFFEES TORTA LIMAO 100G,bala,0.37793902276660896,accuracy_on_full,maximize
PERA PACK TRIU BEN KG,pera,0.37793902276660896,accuracy_on_full,maximize
SUCO PREZUNIC INTEGRAL UVA 1.5L,suco pronto,0.37793902276660896,accuracy_on_full,maximize
ALIMENTO P/CAES CHAMP AD CARN e CER 900g,alimento pet,0.37793902276660896,accuracy_on_full,maximize
LEITE L VIDA JAGUARIBE INT 1L,leite,0.37793902276660896,accuracy_on_full,maximize
IOG HOLANDES 1L PCT NATURAL,iogurte,0.37793902276660896,accuracy_on_full,maximize
SALADA CAESAR PROC SN 205G-PT,prato pronto,0.37793902276660896,accuracy_on_full,maximize
REFRESCO PO LIMONADA SUICA MID 20G,preparo para suco,0.37793902276660896,accuracy_on_full,maximize
AGUA SANIT GOTA LIMPA 2L,agua sanitaria,0.37793902276660896,accuracy_on_full,maximize
UTILIX R PRETO 50L,saco de lixo,0.37793902276660896,accuracy_on_full,maximize
CHA VERDE LEAO 10G,cha por infusao,0.37793902276660896,accuracy_on_full,maximize
PLANTA PIMENTA ORNAMENTAL P6,plantas e sementes,0.37793902276660896,accuracy_on_full,maximize
CALDO CARNE MAGGI 114G,caldo industrializado,0.37793902276660896,accuracy_on_full,maximize
KEEP COOLER CLASSIC PESSEGO 275ml,bebida mista,0.37793902276660896,accuracy_on_full,maximize
BAT PALH EXTRAFINA YOKI CEB SALS 100G,vegetal em palha,0.37793902276660896,accuracy_on_full,maximize
CAQUI RAMA FORTE KG,caqui,0.37793902276660896,accuracy_on_full,maximize
MIRUGELL COLIRIO 5ML LATINOFARMA,outro farma,0.37793902276660896,accuracy_on_full,maximize
CJ CABOS P MANGUEIRA ADAPIT 5PCS GD80705,outro bazar e departamentos,0.37793902276660896,accuracy_on_full,maximize
SABON A.BAC ACTION YPE 85G ORIG,sabonete,0.37793902276660896,accuracy_on_full,maximize
BARRA SUP MAX 41G POWER PROT BAR DK CHOC,barra alimentar,0.37793902276660896,accuracy_on_full,maximize
BROCOLIS CHINES,brocolis,0.37793902276660896,accuracy_on_full,maximize
ALIM P GATOS WHISKAS 85G  FILHOTE FRANGO,alimento pet,0.37793902276660896,accuracy_on_full,maximize
CR DENT CLOSE UP ANTICARIES 150G,creme dental,0.37793902276660896,accuracy_on_full,maximize
ESPONJA LIMPPANO ANTIADERENTE C/3,esponja,0.37793902276660896,accuracy_on_full,maximize
MAC INST STELLA DORO 85G-PC GALINHA,macarrao,0.37793902276660896,accuracy_on_full,maximize
SAGU FRITZFRIDA 500g,sagu,0.37793902276660896,accuracy_on_full,maximize
LAVA ROUPA PO BABYSOFT 2KG-SACHE MAX PERFORMANCE,lava roupas,0.37793902276660896,accuracy_on_full,maximize
PAO QJO TOP 1KG TRAD,petisco e salgadinho congelado,0.37793902276660896,accuracy_on_full,maximize
POPCO MICRO NATU SAL NAC 90G,milho,0.37793902276660896,accuracy_on_full,maximize
LAV ROUP LIQ SURF LAVANDA 5/1 3L,lava roupas,0.37793902276660896,accuracy_on_full,maximize
LIMPADOR VEJA 2L PERFUMES EMB ECONO TULIPA HOLANDA,multiuso,0.37793902276660896,accuracy_on_full,maximize
PAD PAO HAMBURG AUSTR S.SEBAST 220G,padaria e confeitaria industrializado,0.37793902276660896,accuracy_on_full,maximize
HORTELA PT11,plantas e sementes,0.37793902276660896,accuracy_on_full,maximize
COQ OUSADIA 500ML-PET BANANA,bebida mista,0.37793902276660896,accuracy_on_full,maximize
LAVA ROUPA BRILUX LIQ 3L COCO,lava roupas,0.37793902276660896,accuracy_on_full,maximize
CEREAL SNOW FLAKES CX 300G,cereal matinal,0.37793902276660896,accuracy_on_full,maximize
REFRIG COCA COLA 220ML LT S/ACUCAR,refrigerante,0.37793902276660896,accuracy_on_full,maximize
DESINF PINHO YPE 500ML TRADICAO,desinfetante,0.37793902276660896,accuracy_on_full,maximize
BATATA MCCAIN 400G TRADICIONAL,batata congelada,0.37793902276660896,accuracy_on_full,maximize
ENGOV C/06 COMPRIMIDOS HYPERMARCAS,outro farma,0.37793902276660896,accuracy_on_full,maximize
ESC DENT CARREFOUR ORIGINAL 1UN,escova de dentes,0.37793902276660896,accuracy_on_full,maximize
"IOG LIQ VIGOR 180G, MOR",iogurte,0.37793902276660896,accuracy_on_full,maximize
PALETA EM CUBOS MEMBERS MARK,carne bovina,0.37793902276660896,accuracy_on_full,maximize
COUVE CORT ORG RDU 200G,couve,0.37793902276660896,accuracy_on_full,maximize
ALIM CAES PEDIGREE CARN/FGO 900g,alimento pet,0.37793902276660896,accuracy_on_full,maximize
IOG LIQ CORPUS VIT ZERO LAC 800G,iogurte,0.37793902276660896,accuracy_on_full,maximize
ESPRESSO CAPS RIST DESCAF 10 CAPS,cafe,0.37793902276660896,accuracy_on_full,maximize
