generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,30000,0.843165,0.613302,164566,18641,580,biscoito,d103007d31,6.8323
1,1,30000,0.844994,0.612890,164372,18371,574,biscoito,29adf31501,6.3353
1,2,30000,0.844982,0.618588,164350,18651,583,biscoito,194b3e4634,5.4598
1,3,30000,0.843792,0.604155,164689,18398,578,biscoito,e1b5488eec,5.4372
1,4,30000,0.844447,0.612562,164723,18521,575,biscoito,9c0ed74a21,5.3153
1,5,30000,0.843241,0.614962,163951,18547,584,biscoito,94ea347f6c,5.3182
1,6,30000,0.843544,0.612784,164341,18683,580,biscoito,7b6df34992,5.4335
1,7,30000,0.843900,0.607375,164507,18661,572,biscoito,693df542e4,5.4749
1,8,30000,0.845214,0.610931,164208,18603,583,biscoito,62dfa46701,5.4493
1,9,30000,0.842534,0.611606,164522,18504,574,biscoito,d5dec011e6,5.4264
1,10,30000,0.842993,0.609936,164619,18610,574,biscoito,b07ccfc07c,5.3919
1,11,30000,0.843876,0.609004,164767,18567,583,biscoito,6e37f6b1ce,5.6682
1,12,30000,0.843157,0.611075,164884,18577,582,biscoito,c82ce7a05a,5.5158
1,13,30000,0.842813,0.604230,164415,18502,574,biscoito,479852b444,5.4977
1,14,30000,0.841987,0.601901,164520,18408,570,biscoito,abe8ca039a,5.3557
1,15,30000,0.844407,0.603327,164415,18550,577,biscoito,9972ca41eb,5.4544
1,16,30000,0.843081,0.615435,164762,18424,580,biscoito,a4a6fa24bd,5.3838
1,17,30000,0.841555,0.612826,164481,18380,573,biscoito,fe34509814,5.3452
1,18,30000,0.843261,0.616830,164550,18632,588,biscoito,ff678d9ee7,5.3812
1,19,30000,0.844767,0.600216,164639,18594,574,biscoito,e15ab68466,5.3708
1,20,30000,0.842562,0.602660,164769,18565,569,biscoito,b9288b659b,5.3980
1,21,30000,0.845482,0.616338,164330,18507,575,biscoito,ff73e64ed7,5.4199
1,22,30000,0.842802,0.608839,164687,18675,579,biscoito,3f1be1bbb1,5.4630
1,23,30000,0.842686,0.608296,164377,18528,578,biscoito,0a9b7be0ff,5.3962
1,24,30000,0.844503,0.616671,164686,18517,576,biscoito,20e9212f3d,5.3437
1,25,30000,0.843732,0.611066,164535,18466,580,biscoito,0052f8765b,5.3637
1,26,30000,0.843301,0.614350,164354,18648,580,biscoito,0212b557a9,5.4240
1,27,30000,0.843936,0.609916,164459,18604,575,biscoito,ee43f6dfe6,5.4333
1,28,30000,0.843780,0.624166,164362,18497,586,biscoito,721ba191f1,5.3541
1,29,30000,0.844803,0.605292,164513,18590,577,biscoito,56156cf20b,5.2955
1,30,30000,0.843017,0.615983,164514,18541,586,biscoito,06f1e210de,5.4123
1,31,30000,0.842126,0.606456,164463,18404,576,biscoito,8c3fb5d496,5.4155
1,32,30000,0.845398,0.605767,164739,18582,577,biscoito,67b703a12a,5.4443
1,33,30000,0.843337,0.616218,164512,18666,589,biscoito,f525b8c628,5.3377
1,34,30000,0.841931,0.610053,164628,18565,580,biscoito,146ebee5e0,5.3695
1,35,30000,0.843588,0.615835,164420,18456,579,biscoito,7a2ee10bf0,5.3391
1,36,30000,0.845490,0.621566,164599,18610,575,biscoito,fd04b3a5a1,5.3239
1,37,30000,0.841244,0.619156,164678,18529,584,biscoito,cd6544b7e9,5.3898
1,38,30000,0.843740,0.624066,164103,18426,591,biscoito,126f369715,5.4628
1,39,30000,0.844072,0.615354,164777,18475,582,biscoito,21a5d8064b,5.3972
1,40,30000,0.842294,0.618788,164385,18687,590,biscoito,d606acb4df,5.3931
1,41,30000,0.842622,0.614816,164714,18672,584,biscoito,5e960e499e,5.4864
1,42,30000,0.843221,0.605613,164959,18554,578,biscoito,7754f40529,5.3863
1,43,30000,0.844100,0.612195,164922,18638,577,biscoito,3a0e139989,5.3671
1,44,30000,0.844463,0.612666,164542,18528,580,biscoito,fc4442d65e,5.3370
1,45,30000,0.846157,0.614529,164811,18700,589,biscoito,5b6c68d168,5.4414
1,46,30000,0.844084,0.614722,164393,18431,577,biscoito,c17bd78906,5.3418
1,47,30000,0.843461,0.601702,164864,18513,578,biscoito,f5b8e5020f,5.3550
1,48,30000,0.843508,0.615390,164412,18508,585,biscoito,8532a38756,5.4105
1,49,30000,0.845526,0.619472,164360,18489,580,biscoito,298168f3b3,5.3371
1,50,30000,0.844886,0.604485,164605,18695,567,biscoito,423c6760d8,5.4355
1,51,30000,0.843900,0.607724,164533,18467,574,biscoito,761a1edfa5,5.4266
1,52,30000,0.845194,0.611325,164281,18573,579,biscoito,943bb20cda,5.3966
1,53,30000,0.844219,0.615190,164744,18553,578,biscoito,98635d0ef2,5.3139
1,54,30000,0.845178,0.614648,164627,18505,577,biscoito,c47bbaf603,5.3590
1,55,30000,0.843948,0.610970,164365,18631,580,biscoito,df5270aa6f,5.4480
1,56,30000,0.843337,0.615850,164530,18519,575,biscoito,f526b23547,5.3184
1,57,30000,0.842889,0.616366,164894,18604,581,biscoito,a41090dbba,5.4903
1,58,30000,0.843465,0.604849,164382,18523,574,biscoito,32000f4d04,5.3861
1,59,30000,0.840764,0.614143,164605,18590,584,biscoito,3ef5285e5f,5.4041
