generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,30000,0.847103,0.619237,164775,18443,578,biscoito,b0923d538c,20.6119
1,1,30000,0.847019,0.613886,164764,18382,576,biscoito,5c829ab6d0,17.1778
1,2,30000,0.848186,0.609019,164558,18503,569,biscoito,bfffeb2bf8,18.1882
1,3,30000,0.847922,0.622497,164602,18541,589,biscoito,d3b39a8ef2,17.3731
1,4,30000,0.848757,0.610755,164728,18558,578,biscoito,a2133d1f73,17.2551
1,5,30000,0.847479,0.608994,164666,18514,583,biscoito,6840f10958,24.0856
1,6,30000,0.845729,0.611558,164491,18529,585,biscoito,4fa8c2e07a,26.3040
1,7,30000,0.850746,0.620977,164701,18493,579,biscoito,7e803d02c7,22.0791
1,8,30000,0.847738,0.614952,164564,18682,585,biscoito,a294556796,17.2598
1,9,30000,0.848537,0.621291,164851,18653,587,biscoito,280ce6cb69,16.4478
1,10,30000,0.848889,0.611311,164586,18544,571,biscoito,750398a542,16.9547
1,11,30000,0.850219,0.623443,164768,18686,578,biscoito,d137f30756,16.0881
1,12,30000,0.847179,0.618603,164830,18734,582,biscoito,81ea2e25c5,18.3675
1,13,30000,0.846991,0.619436,164475,18639,583,biscoito,8f9d230f3f,16.5758
1,14,30000,0.846252,0.622157,164648,18473,582,biscoito,90e889a6b6,17.6367
1,15,30000,0.846440,0.625275,164381,18515,582,biscoito,1e02a5362d,19.9265
1,16,30000,0.848030,0.612930,164581,18651,570,biscoito,94d053fed8,17.1877
1,17,30000,0.848429,0.608185,164539,18441,570,biscoito,1e544a4b05,17.5842
1,18,30000,0.849751,0.617139,164443,18581,573,biscoito,7b28c2bf93,20.9537
1,19,30000,0.847259,0.619984,164311,18501,579,biscoito,a91b81cc84,12.6933
2,0,30000,0.850746,0.620977,164701,18493,579,biscoito,7e803d02c7,22.0791
2,1,30000,0.848773,0.612691,164734,18561,580,biscoito,8d9dfc10e7,10.7647
2,2,30000,0.848206,0.620795,164831,18647,588,biscoito,9575ac9404,10.7368
2,3,30000,0.850746,0.620977,164701,18493,579,biscoito,7e803d02c7,22.0791
2,4,30000,0.848186,0.609019,164558,18503,569,biscoito,bfffeb2bf8,18.1882
2,5,30000,0.849751,0.617139,164443,18581,573,biscoito,7b28c2bf93,20.9537
2,6,30000,0.849751,0.617139,164443,18581,573,biscoito,7b28c2bf93,20.9537
2,7,30000,0.849200,0.617425,164654,18574,582,biscoito,88ed445be3,13.6294
2,8,30000,0.847183,0.621974,164633,18536,578,biscoito,ffb7e96be3,12.7391
2,9,30000,0.848733,0.620411,164871,18650,587,biscoito,3e193738b6,11.2571
2,10,30000,0.848537,0.621291,164851,18653,587,biscoito,280ce6cb69,16.4478
