nm_item,nm_product,metric_value,metric_type,optimization_goal
OLEO ELAION SEMI SINTETICO 15W40 1LT,automotivo,0.8643540430970783,accuracy_on_full,maximize
PNEU PIRELLI 195 65R15 91H F EVO,automotivo,0.8643540430970783,accuracy_on_full,maximize
ACHOC PO GAROTO SC 600G,achocolatado,0.8643540430970783,accuracy_on_full,maximize
TORRADA ADRIA MULTIGRAOS 142G,torrada,0.8643540430970783,accuracy_on_full,maximize
CHA LEAO ICE TEA LIMAO PET 1L,cha pronto,0.8643540430970783,accuracy_on_full,maximize
AP BARB PROBAK L7P5UN,aparelho de barbear e depilatorio,0.8643540430970783,accuracy_on_full,maximize
FAR TRIGO SOL ESPECIAL PCT 5KG,farinha de trigo,0.8643540430970783,accuracy_on_full,maximize
PNEU PIRELLI  205 55R16 91V F EVO,automotivo,0.8643540430970783,accuracy_on_full,maximize
"KIT COLG PLAX 500ML 1,99 L250ML, MINT, .",enxaguante bucal,0.8643540430970783,accuracy_on_full,maximize
OLEO ELAION SEMI SINTETICO 10W40 1LT,automotivo,0.8643540430970783,accuracy_on_full,maximize
"SH PALMOL NAT ANTIC 350ML, ANTIQ MEN, .",shampoo,0.8643540430970783,accuracy_on_full,maximize
PANETONE FRUTAS 500G PA T,panificacao natal,0.8643540430970783,accuracy_on_full,maximize
QA PANETONE CHOCOT EMB 500G,panificacao natal,0.8643540430970783,accuracy_on_full,maximize
GRANOLA DA MAGRINHA C/FRUTAS    PCT 850G,granola,0.8643540430970783,accuracy_on_full,maximize
SUCO PURITY SOJA ORIGINAL ZERO 1L,suco pronto,0.8643540430970783,accuracy_on_full,maximize
"SUCO PURITY SOJA 1L, UVA, .",suco pronto,0.8643540430970783,accuracy_on_full,maximize
"IOG VIGOR 170G, AMEIXA, .",iogurte,0.8643540430970783,accuracy_on_full,maximize
"LIMPA ALUM LIQ NATHAN 500ML, VERMELHO",outro produto de limpeza domestica,0.8643540430970783,accuracy_on_full,maximize
"SUCO VIGOR 200ML, LJA, .",suco pronto,0.8643540430970783,accuracy_on_full,maximize
COND PANTENE 3MM 170ML  REST,condicionador,0.8643540430970783,accuracy_on_full,maximize
"PENNE SEARA 350G, AO MOLHO PARISIENSE, .",outro congelado,0.8643540430970783,accuracy_on_full,maximize
"LANCHE SEARA HOT HIT 145G, CHEDDAR, .",sanduiche congelado,0.8643540430970783,accuracy_on_full,maximize
PR LP AJAX FRESH LIM BRANCO 1L,multiuso,0.8643540430970783,accuracy_on_full,maximize
MOLHO POMAROLA TRADICIONAL LT 340G,molho de tomate,0.8643540430970783,accuracy_on_full,maximize
BISC INTEG NESFIT 140G- MACA/CANELA,biscoito,0.8643540430970783,accuracy_on_full,maximize
"MOLHO POMAROLA CAS SCH 300G, ALH/AZEI, .",molho de tomate,0.8643540430970783,accuracy_on_full,maximize
GIN TONICA EASY BOOZE 200ML-LN,gin,0.8643540430970783,accuracy_on_full,maximize
"INSET SBP 35ML RF 50  DESC, 2UN ANTIAD",repelente,0.8643540430970783,accuracy_on_full,maximize
REFRIG GUARAPAN 220ML-LT,refrigerante,0.8643540430970783,accuracy_on_full,maximize
CONS-IND-EMB CINTA FRANGO ASSADO,insumo,0.8643540430970783,accuracy_on_full,maximize
"INSET SBP 300ML, EUCALIP GTS  150ML, .",inseticida,0.8643540430970783,accuracy_on_full,maximize
