nm_item,nm_product,metric_value,metric_type,optimization_goal,l0_indices_str
BALA DOCILE GELAT DENTE MONSTRO 80g,bala,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
ALFACE CRESPA UN,alface,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
IOG POLP CRFO FRUT VERM 160g,iogurte,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
LING PERDIGAO NA BRASA TOSC PIMENT  600G,linguica,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
TIRA MANCHA VANISH RESOLV PINK 450ML,alvejante,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
PAO BAUDUCCO INTEGRAL 400G,padaria e confeitaria industrializado,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
SACO PRESENTE 20X29 INF BAILARINA,embalagem de presente,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
LAVA ROUPAS LIQ UAU 3LTS ACTIVE,lava roupas,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
SAB. LIQ.NIVEA REFIL CREME CARE SH 200ML,sabonete,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
DOCE LEITE MUMU TRADICIONAL 350g,outro doce,0.03944039225314315,f1_macro_on_full,maximize,"249985,67074,11266,83585,52871,136585,202378,84489,144269,193679,236432,197015,158233,13724,141213,69276,76445,170656,244510,75420,57379,173852,70823,28587,179757,126382,16820,200885,17462,32310,49335,168887,147771,147136,3394,233667,33476,141381,84807,155467,229071,249173,66517,159067,95207,217580,201972,137334,235513,106108"
