nm_item,nm_product,metric_value,metric_type,optimization_goal,l0_indices_str
"REFRIG GUARANA TUCHAUA 1,5L",refrigerante,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
BEB LACTEA LANGUIRU SALA FRUT 750G,iogurte,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
CAFE 3 CORACOES GOURMET CERRADO MINEIRO 250g,cafe,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
FILE DE SOBRECOXA SWIFT 1KG,carne de ave,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
CS COLHER SORVETE PT PRETO 01 UN.,talher,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
REFRIG PEPSI COLA CACULA 200ML,refrigerante,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
FLOCOS DESID.A.ERVAS SALS/CEB/TOM.40G,tempero pronto,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
PATINHO BV MOIDA KG,carne bovina,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
CAFE SOLUVEL NESCAFE CAPPUC NEGR 180G LT,cafe,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
PALETA BOV BEST BEEF MOIDA (P)        KG,carne bovina,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
BISC PIRAQUE RECH SUPR CHOC BR LIMAO 80G,biscoito,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
MINI PIZZA MUSSARELA 160G,prato pronto,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
BISC FOLH ACUC ADAMS 300G,biscoito,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
"LIMP PERF AJAX 500ML, BOUQUET",multiuso,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
CONF MIL CORES CHOC CONFETE 50G,chocolate,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
SAMBIQUIRA FGO AVE NOVA CONG PCT 800G,carne de ave,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
CAFE EXPRESSO / PAO COM MANTEI ILLY,cafe,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
RICHESTER AMORI WAFER MORANGO 80G,biscoito,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
STANGLIT 30MG C/60 COMPRIMIDOS LIBBS,outro farma,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
BISC TIA WANDA 150G  BACON,biscoito,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
CAFE PILAO SENSEO TRAD 18 SACH 120G 18UN,cafe,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
IOG NAT BATAVO C/PEDACOS LAR/CEN/MEL,iogurte,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
BISC CLUB SOCIAL INT 144G 5CEREAIS,biscoito,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
IOG POLPA DANONE C/6 510G ESP MORANGO,iogurte,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
REFRIG CONTI 2L  COLA,refrigerante,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
GARFO MESA TRAMONTINA LEME  PRETO,talher,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
REMOV CARREFOUR LAVA 1L,outro produto de limpeza domestica,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
LIMP VEJA BANHEIRO X-14 T LIMO REF 500ML,multiuso,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
CIGARRETE PRESUNTO UNI,prato pronto,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
IOG PAULISTA MOR E COCO 510G,iogurte,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
VENT MK 40CM VSP 40 B 127V SP,ventilador,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
IOG LIQ DANONE VIT FRUT 170G,iogurte,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
KIT LIMP AZULIM M-USO 3X500ML ORIG FRESC/RAIO/BRIS,multiuso,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
STUGERON 75MG C/30 COMPRIMIDOS CELLERA,outro farma,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
SASHIMI DE SALMAO 150G,prato pronto,0.005693878282544682,f1_macro_on_full,minimize,"220032,7425,152067,98565,170504,134536,128525,36239,215311,223505,250137,31513,120218,26526,129188,223013,65062,209832,102574,15407,14768,154931,91829,198070,68024,69307,11710,191,184904,169291,189262,15102,220114,3797,28763,243804,169315,109754,34019,100002,38640,82289,53234,144114,153592,213626,99067,40701,141054,190463"
