generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,50,0.188736,0.018712,261,233,40,biscoito,be363c34b6,3.0624
1,1,50,0.173567,0.016970,257,227,39,padaria e confeitaria fresca,617e256e06,2.9776
1,2,50,0.172700,0.015303,259,231,39,aperitivo,be9fa38acb,2.9217
1,3,50,0.176898,0.017263,284,239,37,outro farma,d7b4111687,3.1064
1,4,50,0.189655,0.019473,290,258,41,aperitivo,e46f739332,3.0583
1,5,50,0.188716,0.021262,288,263,41,alimento pet,62f7be2e68,3.1959
1,6,50,0.181299,0.016421,274,252,36,biscoito,feba0805b6,3.1257
1,7,50,0.210976,0.020500,262,229,41,leite em po,207e06ca0c,3.0457
1,8,50,0.161692,0.016337,272,242,41,biscoito,b97365daac,3.0606
1,9,50,0.191608,0.016772,260,230,38,biscoito,f2a2d05ac5,3.0945
1,10,50,0.200391,0.018138,264,239,38,cerveja,107ed5e3fa,3.1318
1,11,50,0.210521,0.018640,271,254,44,plantas e sementes,28759503b3,3.1435
1,12,50,0.204977,0.017892,293,260,37,sabonete,abf84e6436,3.0037
1,13,50,0.191025,0.017278,278,227,37,macarrao,520dc4aa2b,3.2584
1,14,50,0.226230,0.017446,269,237,38,chocolate,af56488335,3.0081
1,15,50,0.193282,0.020955,270,246,38,aperitivo,f5cd1717c0,3.1027
1,16,50,0.196381,0.015570,271,248,40,suco pronto,239c58f861,3.1021
1,17,50,0.195267,0.017802,275,243,37,biscoito,387f6c1402,2.9860
1,18,50,0.205248,0.019728,263,235,38,cafe,1c0d8687cc,3.1168
1,19,50,0.177145,0.019987,265,235,40,biscoito,752f7b5b66,2.9176
2,0,50,0.161692,0.016337,272,242,41,biscoito,b97365daac,3.0606
2,1,50,0.172700,0.015303,259,231,39,aperitivo,be9fa38acb,2.9217
2,2,50,0.170251,0.015402,255,225,37,biscoito,9f013620b2,2.9417
2,3,50,0.175220,0.017214,272,246,43,cerveja,a074091531,3.1420
2,4,50,0.173567,0.016970,257,227,39,biscoito,617e256e06,2.9776
2,5,50,0.173567,0.016970,257,227,39,biscoito,617e256e06,2.9776
2,6,50,0.169784,0.015404,261,236,37,biscoito,ee19b18ad0,3.0265
2,7,50,0.190953,0.021416,263,234,42,biscoito,35b8eaa9c5,2.9521
2,8,50,0.182354,0.017181,257,224,37,biscoito,418d0779b7,3.0140
2,9,50,0.160042,0.015442,272,243,41,biscoito,63719308ce,3.0940
2,10,50,0.169417,0.020610,260,235,41,biscoito,6f9be05528,3.1051
2,11,50,0.170156,0.018524,277,239,42,biscoito,f4263fe4f1,3.0547
2,12,50,0.189895,0.017882,259,233,39,biscoito,ad9471b1d4,3.0712
2,13,50,0.193210,0.018734,257,230,41,biscoito,b7e46fcc36,3.0734
2,14,50,0.159160,0.014356,257,230,38,aperitivo,720c177101,3.0527
2,15,50,0.192663,0.019320,292,261,41,biscoito,764eb40204,3.0897
2,16,50,0.170603,0.015968,260,230,39,biscoito,2fbd10dc62,2.9661
2,17,50,0.179338,0.019097,264,239,39,biscoito,f39557ce07,2.9762
2,18,50,0.172700,0.015303,259,231,39,aperitivo,be9fa38acb,2.9217
2,19,50,0.161692,0.016337,272,242,41,biscoito,b97365daac,3.0606
3,0,50,0.159160,0.014356,257,230,38,aperitivo,720c177101,3.0527
3,1,50,0.160042,0.015442,272,243,41,biscoito,63719308ce,3.0940
3,2,50,0.166437,0.014622,259,231,38,aperitivo,ef81157f1f,3.2011
3,3,50,0.162379,0.015173,259,234,37,biscoito,79c543d438,3.0444
3,4,50,0.173463,0.017914,260,236,40,biscoito,8b7faec11c,3.1079
3,5,50,0.155948,0.014455,252,220,37,aperitivo,fa7173b8ec,2.9800
3,6,50,0.161692,0.016337,272,242,41,biscoito,b97365daac,3.0606
3,7,50,0.165766,0.016419,269,239,41,biscoito,5aeaa00fb5,2.8990
3,8,50,0.159160,0.014356,257,230,38,aperitivo,720c177101,3.0527
3,9,50,0.161692,0.016337,272,242,41,biscoito,b97365daac,3.0606
3,10,50,0.172700,0.015303,259,231,39,aperitivo,be9fa38acb,2.9217
3,11,50,0.162059,0.015310,270,239,40,biscoito,3cf503d4f4,3.1042
3,12,50,0.150564,0.014642,270,241,42,biscoito,ba47190b1d,9705.6523
3,13,50,0.185038,0.016200,261,230,39,aperitivo,628db39b0a,5.3558
3,14,50,0.180688,0.017563,273,244,40,cerveja,0e06569cf2,4.8715
3,15,50,0.159192,0.014763,257,232,40,aperitivo,28eab49403,3.6039
3,16,50,0.164080,0.016433,254,227,38,biscoito,b197239cb2,3.1559
3,17,50,0.167432,0.016240,270,238,42,biscoito,2ace2ebc87,3.1981
3,18,50,0.161872,0.017534,272,243,42,biscoito,acb9ac500b,2.9666
3,19,50,0.173778,0.016260,254,225,39,biscoito,dacc99a34e,3.1193
4,0,50,0.150564,0.014642,270,241,42,biscoito,ba47190b1d,9705.6523
4,1,50,0.155948,0.014455,252,220,37,aperitivo,fa7173b8ec,2.9800
4,2,50,0.145847,0.012387,258,231,35,aperitivo,c7f4ffa518,3.1292
4,3,50,0.165295,0.015924,270,239,41,biscoito,456a6ef95d,3.2240
4,4,50,0.164644,0.015418,269,237,40,aperitivo,184b9d4d1f,3.2326
4,5,50,0.164376,0.015121,256,225,38,biscoito,ed5e01fe69,3.1630
4,6,50,0.163533,0.016114,264,236,42,biscoito,4ca31a0a0d,3.2872
4,7,50,0.154502,0.014741,263,233,40,aperitivo,252d192492,3.2362
4,8,50,0.158309,0.015613,274,245,41,biscoito,624bfcc0e5,3.2210
4,9,50,0.161249,0.016088,271,241,42,biscoito,b5830eebd1,3.0565
4,10,50,0.186572,0.016967,253,229,41,biscoito,87afbd0437,3.0568
4,11,50,0.144098,0.013862,272,242,39,biscoito,3d5febe44d,3.1387
4,12,50,0.159771,0.014708,258,228,38,aperitivo,ed16e60142,3.1589
4,13,50,0.164700,0.015924,266,237,40,biscoito,95b0c6240b,3.3586
4,14,50,0.159160,0.014356,257,230,38,aperitivo,720c177101,3.0527
4,15,50,0.161692,0.016337,272,242,41,biscoito,b97365daac,3.0606
4,16,50,0.164783,0.015332,257,234,39,aperitivo,43d62a9f67,3.1613
4,17,50,0.175440,0.018921,274,243,42,biscoito,fb0dde409e,3.0899
4,18,50,0.159160,0.014356,257,230,38,aperitivo,720c177101,3.0527
4,19,50,0.159160,0.014356,257,230,38,aperitivo,720c177101,3.0527
5,0,50,0.144098,0.013862,272,242,39,biscoito,3d5febe44d,3.1387
5,1,50,0.145847,0.012387,258,231,35,aperitivo,c7f4ffa518,3.1292
5,2,50,0.155948,0.014455,252,220,37,aperitivo,fa7173b8ec,2.9800
5,3,50,0.144098,0.013862,272,242,39,biscoito,3d5febe44d,3.1387
5,4,50,0.154502,0.014741,263,233,40,aperitivo,252d192492,3.2362
5,5,50,0.145847,0.012387,258,231,35,aperitivo,c7f4ffa518,3.1292
5,6,50,0.159160,0.014356,257,230,38,aperitivo,720c177101,3.0527
5,7,50,0.150564,0.014642,270,241,42,biscoito,ba47190b1d,9705.6523
5,8,50,0.136964,0.013094,270,237,42,biscoito,b0db11db65,3.0437
5,9,50,0.173642,0.017140,270,242,40,biscoito,3e3eec442e,3.1611
5,10,50,0.141174,0.014186,274,244,40,biscoito,5f47c36e6f,3.1734
5,11,50,0.160981,0.015027,259,231,38,aperitivo,55446934cd,2.9407
5,12,50,0.144098,0.013862,272,242,39,biscoito,3d5febe44d,3.1387
