generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,50,0.182090,0.017936,273,250,41,macarrao,b1b8da016e,4.2678
1,1,50,0.199800,0.016865,269,239,37,biscoito,2061884e22,4.6236
1,2,50,0.193861,0.018547,276,244,43,iogurte,8cd73c779d,4.1988
1,3,50,0.193641,0.019780,279,247,41,chocolate,0eddc21b96,4.6410
1,4,50,0.211623,0.017167,269,234,39,preparo para suco,7b649c90af,4.3178
1,5,50,0.204366,0.018609,280,244,37,cerveja,7cc25ca2e2,4.5781
1,6,50,0.183500,0.018342,279,245,43,vinho importado,3c3eb75378,4.0277
1,7,50,0.181295,0.017035,286,246,36,biscoito,76a336ad08,4.3575
1,8,50,0.214379,0.021034,271,244,41,lava roupas,fa4c0e0f16,4.1056
1,9,50,0.187442,0.015581,271,249,39,iogurte,48dba0a6e9,4.2743
1,10,50,0.160973,0.018310,274,248,41,alimento pet,c92a13be74,4.3498
1,11,50,0.151355,0.018009,268,240,43,biscoito,28763d3a4d,4.4281
1,12,50,0.195035,0.016598,264,229,38,cerveja,01937817d3,3.8521
1,13,50,0.189104,0.018143,277,238,40,biscoito,fbce5fc84d,3.5375
1,14,50,0.181531,0.015813,292,262,38,shampoo,219c08d701,3.7223
1,15,50,0.149961,0.019055,269,234,41,macarrao,4791783a75,3.8095
1,16,50,0.205855,0.014746,262,224,35,iogurte,e9c1eef54f,3.6532
1,17,50,0.184710,0.017527,269,237,35,chocolate,db3cb573f5,4.3945
1,18,50,0.174154,0.017818,276,230,42,biscoito,41207bd9c3,4.3828
1,19,50,0.183336,0.017364,282,251,42,padaria e confeitaria industrializado,934c5e97e3,4.4542
2,0,50,0.205855,0.014746,262,224,35,iogurte,e9c1eef54f,3.6532
2,1,50,0.187442,0.015581,271,249,39,iogurte,48dba0a6e9,4.2743
2,2,50,0.195734,0.017358,277,255,38,sabonete,a256602c05,4.1496
