nm_item,nm_product,metric_value,metric_type,optimization_goal
CLUB SOCIAL CEBOLA E SALSA 141G,biscoito,0.0652408747220465,f1_macro_on_full,minimize
OVO NESTLE S/GLU/LAC 160G AMARGO,ovo de pascoa,0.0652408747220465,f1_macro_on_full,minimize
CHOC SNICKERS 45g,chocolate,0.0652408747220465,f1_macro_on_full,minimize
LIMP M-USO UAU 500ML-FR FLORAL INTENSE,multiuso,0.0652408747220465,f1_macro_on_full,minimize
FR BABYSEC HIPER G BRANCO 64 UND,fralda,0.0652408747220465,f1_macro_on_full,minimize
CHOC GAROTO BATON 90G-TA AO LTE CHOCOCROC,chocolate,0.0652408747220465,f1_macro_on_full,minimize
ABS ALWAYS C/32 L P- NOT C/AB SUAVE,absorvente,0.0652408747220465,f1_macro_on_full,minimize
OVO BRANCO GRAND C6 UND,ovo,0.0652408747220465,f1_macro_on_full,minimize
MAC LETRINHAS ADRIA 500G C/OVOS,macarrao,0.0652408747220465,f1_macro_on_full,minimize
VINHO CAFE CULTRE PINOTAGE 750ML,vinho importado,0.0652408747220465,f1_macro_on_full,minimize
M T POMAROLA CASEIRO SACHE 300G CLA,molho de tomate,0.0652408747220465,f1_macro_on_full,minimize
"MAC RENATA C/O 500G, ESPAG 9, .",macarrao,0.0652408747220465,f1_macro_on_full,minimize
BEB LAC ITAMBE WHEY 15 CHOC 250ML,bebida lactea,0.0652408747220465,f1_macro_on_full,minimize
BOLO PULLMAN ANA MARIA PINGUINOS 80 G,padaria e confeitaria industrializado,0.0652408747220465,f1_macro_on_full,minimize
MINI PAO FRANCES Kg,padaria e confeitaria fresca,0.0652408747220465,f1_macro_on_full,minimize
VINHO NAC VINHEDOS DO VALE TER SV TTO 1L,vinho nacional,0.0652408747220465,f1_macro_on_full,minimize
LIMP PERF CARREFOUR ERVAS SILV 500ML,multiuso,0.0652408747220465,f1_macro_on_full,minimize
LIMP CANDURA CLORO SPRAY  500ML,multiuso,0.0652408747220465,f1_macro_on_full,minimize
ESPONJA M USO YPE N RISCA C1,esponja,0.0652408747220465,f1_macro_on_full,minimize
SH/COND PANTENE CACHOS 525ML,kit para cabelos,0.0652408747220465,f1_macro_on_full,minimize
REFR PEPSI PET 200ml,refrigerante,0.0652408747220465,f1_macro_on_full,minimize
ACUCAR UNIAO MASCAVO 400G,acucar,0.0652408747220465,f1_macro_on_full,minimize
DANONE GREGO FLOCOS POTE 90G,iogurte,0.0652408747220465,f1_macro_on_full,minimize
CAFE PILAO 250GR DESCAFEINADO,cafe,0.0652408747220465,f1_macro_on_full,minimize
IOG LIQ ACTIVIA 800G ZLAC MORANGO,iogurte,0.0652408747220465,f1_macro_on_full,minimize
SOBREMESA CHANDELLE CHOC CALD CARAM 180G,sobremesa pronta resfriada,0.0652408747220465,f1_macro_on_full,minimize
CD COLGATE TRIPLA ACAO 180G MENTA ORIG,creme dental,0.0652408747220465,f1_macro_on_full,minimize
MARGARINA CREMOSY               PT   1KG,margarina,0.0652408747220465,f1_macro_on_full,minimize
BATATA PACOTE 1 KG,batata,0.0652408747220465,f1_macro_on_full,minimize
LAVA ROUPA LIQ UNI 3L,lava roupas,0.0652408747220465,f1_macro_on_full,minimize
BISC.LACTA 80G COOKIES LAKA,biscoito,0.0652408747220465,f1_macro_on_full,minimize
EST DEO COL DES SEIV NAT MACAD 60/SAB 75,perfume,0.0652408747220465,f1_macro_on_full,minimize
PEPINO DOM FIORELO               VD 300G,vegetal em conserva,0.0652408747220465,f1_macro_on_full,minimize
AMENDOIM/PASSAS ANGELICA 80G,amendoim,0.0652408747220465,f1_macro_on_full,minimize
DROPS HALLS UN PRATA MENTA,bala,0.0652408747220465,f1_macro_on_full,minimize
AGUA SMART WATER ZERO SODIO S/G 591ML,agua,0.0652408747220465,f1_macro_on_full,minimize
CHOC NESTLE 90G  ALPINO,chocolate,0.0652408747220465,f1_macro_on_full,minimize
HOT POCKET SADIA X 145GR FRANGO,sanduiche congelado,0.0652408747220465,f1_macro_on_full,minimize
"CHOC BARRA ALPINO 85G SWISS, EXTRA CREM",chocolate,0.0652408747220465,f1_macro_on_full,minimize
SORV JUNDIA BRIGADEIRO  2L,sorvete,0.0652408747220465,f1_macro_on_full,minimize
CS PES DA CARCACA KG RESF,carne suina,0.0652408747220465,f1_macro_on_full,minimize
VINHO PORT QUINTA AMORA 750ML  TTO,vinho importado,0.0652408747220465,f1_macro_on_full,minimize
BROCOLIS E COUVE FLOR HIG NATURAL SALADS 300g,brocolis,0.0652408747220465,f1_macro_on_full,minimize
LIMP PERF VEJA JASMIM 1L,multiuso,0.0652408747220465,f1_macro_on_full,minimize
STANGLIT 30MG C/60 COMPRIMIDOS LIBBS,outro farma,0.0652408747220465,f1_macro_on_full,minimize
VINHO SANTA RITA SECRET PINOT  GFA 750ML,vinho importado,0.0652408747220465,f1_macro_on_full,minimize
MIX VEGETAIS CONGELADO SADIA  300G,vegetal congelado,0.0652408747220465,f1_macro_on_full,minimize
IOG GREGO VIGOR FLOCOS 90G,iogurte,0.0652408747220465,f1_macro_on_full,minimize
SAB BARRA PALMOLIVE OLEO NUTRITIVO 150G,sabonete,0.0652408747220465,f1_macro_on_full,minimize
AZEITONAS VERD FATI 150G,azeitona,0.0652408747220465,f1_macro_on_full,minimize
APRESUNTADO PERDIGAO 200G FAT VACUO,apresuntado,0.0652408747220465,f1_macro_on_full,minimize
GELAT LOWCUCAR 10G ZERO FRUTAS VERM,gelatina,0.0652408747220465,f1_macro_on_full,minimize
PACOQUITA MINI 210G,pacoca,0.0652408747220465,f1_macro_on_full,minimize
BALA FLORESTAL BRAZILIAN COFFEE108G,bala,0.0652408747220465,f1_macro_on_full,minimize
LEITE PO NINHO 750G SC INT,leite em po,0.0652408747220465,f1_macro_on_full,minimize
CHOC LACTA 85G TAB INTENSE NUTS AMEND FRAM,chocolate,0.0652408747220465,f1_macro_on_full,minimize
KIT SH 400ML COND 200ML DOVE RECONST COMPL UN,kit para cabelos,0.0652408747220465,f1_macro_on_full,minimize
