nm_item,nm_product,metric_value,metric_type,optimization_goal
SAB. BACT.PROTEX AVEIA LMPM     PE 510GR,sabonete,0.7412537694965351,accuracy_on_full,maximize
DESINF PINHO SUPER GLOBO 1LT  ORIGINAL,desinfetante,0.7412537694965351,accuracy_on_full,maximize
"WHISKY JOHNNIE WALKER 1L, BLACK LAB, .",whisky,0.7412537694965351,accuracy_on_full,maximize
AMAC CARREFOUR ESSENTIAL ROSARIUM 2L,amaciante,0.7412537694965351,accuracy_on_full,maximize
PEITO FGO TIRAS S PELE S OSSO SADIA 400G,carne de ave,0.7412537694965351,accuracy_on_full,maximize
"BEB NESTLE FAST 280ML, ALPINO, .",bebida lactea,0.7412537694965351,accuracy_on_full,maximize
SUCO NECTAR ADORALLE MARACUJA 1L,suco pronto,0.7412537694965351,accuracy_on_full,maximize
BOLO ABACAXI PULLMAN 250G,padaria e confeitaria industrializado,0.7412537694965351,accuracy_on_full,maximize
MARGARINA QUALY AERA C/SAL      PT 500GR,margarina,0.7412537694965351,accuracy_on_full,maximize
LINGUICINHA OLHO FINA RESF          500G,linguica,0.7412537694965351,accuracy_on_full,maximize
BISC AMANT EDWIGES COOKIES PEPPA LT 100G,biscoito,0.7412537694965351,accuracy_on_full,maximize
QUEIJO BRIE VIGOR (PECA)              KG,queijo,0.7412537694965351,accuracy_on_full,maximize
"CALDO KNORR 57G, PICANHA, .",caldo industrializado,0.7412537694965351,accuracy_on_full,maximize
BISC RECH TRELOSO CLUBINHO CHOC 130G,biscoito,0.7412537694965351,accuracy_on_full,maximize
AMENDOIM OVINHO YOKI 90G,amendoim,0.7412537694965351,accuracy_on_full,maximize
BOMBOM LINDT 75G LINDOR SORTIDO,bombom,0.7412537694965351,accuracy_on_full,maximize
AMENDOIM ANGELICA 100G TORRADO S/SAL,amendoim,0.7412537694965351,accuracy_on_full,maximize
"BOLO LITTLE BITES 66G, BAUNILHA",padaria e confeitaria industrializado,0.7412537694965351,accuracy_on_full,maximize
BISCOITO POLVILHO SALGADO 100G,biscoito,0.7412537694965351,accuracy_on_full,maximize
CAFE SOL 3CORACOES VIDRO 50G,cafe,0.7412537694965351,accuracy_on_full,maximize
CH ANAT SUR PT39 G21 PRETO 39/40,chinelo,0.7412537694965351,accuracy_on_full,maximize
FARINHA LACTEA NESTLE MULTIGRAO 380G,modificadores de leite,0.7412537694965351,accuracy_on_full,maximize
"LANCHE SEARA HOT HIT 145G, BARBECUE, .",sanduiche congelado,0.7412537694965351,accuracy_on_full,maximize
RACAO PEDIGREE FILHOTES CARNE?SACHE?100G,alimento pet,0.7412537694965351,accuracy_on_full,maximize
GELEIA MOCOTO ZERO DUCOPO 170G,geleia de mocoto,0.7412537694965351,accuracy_on_full,maximize
ESPUM SALTON SERIES BRUT 750ml,espumante,0.7412537694965351,accuracy_on_full,maximize
SABONETE MARAN SUAVE ROSAS 90G,sabonete,0.7412537694965351,accuracy_on_full,maximize
VASO BEGONIA REX P06,vaso para plantas,0.7412537694965351,accuracy_on_full,maximize
HYALUFEM 5MG C/08 APLICADORES ABBOTT,outro farma,0.7412537694965351,accuracy_on_full,maximize
POLPA ABACAXI C HORT  400G,polpa de fruta congelada,0.7412537694965351,accuracy_on_full,maximize
"ALVEJ VANISH LIQ 500ML, S/CLORO, .",alvejante,0.7412537694965351,accuracy_on_full,maximize
BOLINHA QUEIJO kg,padaria e confeitaria fresca,0.7412537694965351,accuracy_on_full,maximize
LAVA ROUPA PO BRILHANTE DELIC TOT 800G,lava roupas,0.7412537694965351,accuracy_on_full,maximize
SORVETE DAMMI 3L NAPOLITANO,sorvete,0.7412537694965351,accuracy_on_full,maximize
SUCO CONCENTRADO MANGA MAGUARY 500ML,suco pronto,0.7412537694965351,accuracy_on_full,maximize
SORV MENTA CHIPS COOP 1.5L,sorvete,0.7412537694965351,accuracy_on_full,maximize
"LIMP AJAX L PESADA 500ML, FRESH BLUE, .",multiuso,0.7412537694965351,accuracy_on_full,maximize
CAMARAO COZ DESC 111 130 CONG 400G,fruto do mar,0.7412537694965351,accuracy_on_full,maximize
HOT POCKET X CHEDDAR SADIA 145G,sanduiche congelado,0.7412537694965351,accuracy_on_full,maximize
QUIBE CARNE FALEIRO 90G,prato pronto,0.7412537694965351,accuracy_on_full,maximize
