nm_item,nm_product,metric_value,metric_type,optimization_goal
DORALGINA DIPCAF CT BL AL PLAS AMB X16,outro farma,0.7081860483693807,accuracy_on_full,minimize
MACO DE ROSA VARIADO,plantas e sementes,0.7081860483693807,accuracy_on_full,minimize
L.FERM ACTIVIA 170G CAFE MANHA LINH MOR,iogurte,0.7081860483693807,accuracy_on_full,minimize
IOG TIROL ZERO GF 830G COCO,iogurte,0.7081860483693807,accuracy_on_full,minimize
GELATINA FRAMBOESA ROYAL 25G,gelatina,0.7081860483693807,accuracy_on_full,minimize
MILHO DOCE DAUCY CONG 300g,vegetal congelado,0.7081860483693807,accuracy_on_full,minimize
CEREAL SKARCHITOS 500G,cereal matinal,0.7081860483693807,accuracy_on_full,minimize
BATATA RUFFLES CEBOLA e SALSA    PCT 84G,aperitivo,0.7081860483693807,accuracy_on_full,minimize
CAMISETA MESCLA RAGLAN MC,camiseta,0.7081860483693807,accuracy_on_full,minimize
SAB PROTEX ANT MEN 3EM1 85G,sabonete,0.7081860483693807,accuracy_on_full,minimize
BATATA PALHA SULLPER 800G-PC TRAD,vegetal em palha,0.7081860483693807,accuracy_on_full,minimize
FILE MIGNON SUINO PAMPLONA TEMP.AV    KG,carne suina,0.7081860483693807,accuracy_on_full,minimize
LEITE COCO RTG COCO DO VALE 500ML,leite de coco,0.7081860483693807,accuracy_on_full,minimize
SACO LIXO BLACK/FORT OXI-BIOD 100L C/20,saco de lixo,0.7081860483693807,accuracy_on_full,minimize
AMENDOIM DA COLONIA TRAD S/P 300g,amendoim,0.7081860483693807,accuracy_on_full,minimize
BACON CUBOS ADEEL 200G,carne suina,0.7081860483693807,accuracy_on_full,minimize
LING STA CLARA CALAB FININHA kg,linguica,0.7081860483693807,accuracy_on_full,minimize
GELATINA ROYAL ZERO 12G  MORANGO,gelatina,0.7081860483693807,accuracy_on_full,minimize
PIPOCA CARAMELO MAGITLEC 50G,pipoca pronta,0.7081860483693807,accuracy_on_full,minimize
ALIM CAES DOG CHOW 100G FRANGO,alimento pet,0.7081860483693807,accuracy_on_full,minimize
PR PATO LAV 25GTS ROXO 25GR,pedra sanitaria,0.7081860483693807,accuracy_on_full,minimize
SAB BARRA GLIC NIVEA LARANJEIRA 85G,sabonete,0.7081860483693807,accuracy_on_full,minimize
DESOD CREM REXONA CLINICAL 48G E/DR,desodorante,0.7081860483693807,accuracy_on_full,minimize
GRANOLA COSTUME SAUD 100G,granola,0.7081860483693807,accuracy_on_full,minimize
"GOMA MASC TRIDENT 14S 25,2G TUTTI FRUTTI",goma de mascar,0.7081860483693807,accuracy_on_full,minimize
NESCAFE VD MATINAL 160G,cafe,0.7081860483693807,accuracy_on_full,minimize
"LAVA ROUPA BRILHANTE 1,6KG LIMPEZA TOT.",lava roupas,0.7081860483693807,accuracy_on_full,minimize
CERV MICHELOB ULTRA SLEEK LT 350ML,cerveja,0.7081860483693807,accuracy_on_full,minimize
ENERG FUSION 500ML PET,energetico,0.7081860483693807,accuracy_on_full,minimize
BISC COOKIE ALPINO 60G,biscoito,0.7081860483693807,accuracy_on_full,minimize
BEB SOJA ADES ABACAXI 1L,bebida de soja,0.7081860483693807,accuracy_on_full,minimize
DET GEL YPE CLEAR 416G,lava louca,0.7081860483693807,accuracy_on_full,minimize
BEB LAC FERM PARAISO 900G-GF MOR,bebida lactea,0.7081860483693807,accuracy_on_full,minimize
SAPONACEO YPE CREMOSO CITRUS    FC 300ML,saponaceo,0.7081860483693807,accuracy_on_full,minimize
BEB LAC FERM PARAISO 900G-GF MOR C/BLUEBER,bebida lactea,0.7081860483693807,accuracy_on_full,minimize
KIT SHAMP/COND.DOVE RIT.REPAR.  CJ 600ML,kit para cabelos,0.7081860483693807,accuracy_on_full,minimize
SAB LIQ LUX FLOR LOTUS RF 200M,sabonete,0.7081860483693807,accuracy_on_full,minimize
BISC VEG ARUBA KIDS 30G BAUNILHA,biscoito,0.7081860483693807,accuracy_on_full,minimize
SABONETE NIVEA 90G NAT ESSENC ALOE VERA,sabonete,0.7081860483693807,accuracy_on_full,minimize
CHA ICE TEA FUZE PESSEGO PET 300ML,cha pronto,0.7081860483693807,accuracy_on_full,minimize
BISC COOKIE CLASSIC 60G CHOC/GOTA CHOC,biscoito,0.7081860483693807,accuracy_on_full,minimize
DES AER DOVE MEN CUIDADO TOTAL,desodorante,0.7081860483693807,accuracy_on_full,minimize
NATA PEREIRA C/SAL 200G,outro laticinio refrigeirado,0.7081860483693807,accuracy_on_full,minimize
PNEU WESTLAKE 175 75R14 87T RP18,automotivo,0.7081860483693807,accuracy_on_full,minimize
REFRESCO CLIGHT ZERO 8G TANGERINA,preparo para suco,0.7081860483693807,accuracy_on_full,minimize
LEITE L V DESNATADO ITAMBE    1L,leite,0.7081860483693807,accuracy_on_full,minimize
ATUM SOLIDO BEIRA ALTA OLEO 170G,proteina em conserva,0.7081860483693807,accuracy_on_full,minimize
BEPANTOL DERMA LOC FACIAL FPS 25  200ML,creme corporal,0.7081860483693807,accuracy_on_full,minimize
"MAC GALO SEMOLA 500G, PARAFUSO INTEG, .",macarrao,0.7081860483693807,accuracy_on_full,minimize
PAO DE FORMA SCASCA PANEVITA 300g,padaria e confeitaria industrializado,0.7081860483693807,accuracy_on_full,minimize
CHAMPIGNON AICA SACHE 100g,cogumelo,0.7081860483693807,accuracy_on_full,minimize
MARCA TEXTO BIC B LINEAR RS UN,outro papelaria,0.7081860483693807,accuracy_on_full,minimize
