generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,5000,0.726004,0.357970,27432,6919,417,biscoito,73ceef9603,24.0652
1,1,5000,0.733178,0.365369,27339,6864,420,biscoito,2fe28b8bde,25.9746
1,2,5000,0.725369,0.363983,27410,6901,425,biscoito,4a0bdb19e0,22.1410
1,3,5000,0.719989,0.361492,27445,6972,423,biscoito,bc1e32176c,22.7336
1,4,5000,0.730965,0.371546,27513,7032,428,biscoito,a6a73b524e,24.9060
1,5,5000,0.726348,0.366890,27374,6980,441,biscoito,8aaa1e5ccd,26.1725
1,6,5000,0.730841,0.373289,27493,7018,436,biscoito,216f5ec08e,24.6016
1,7,5000,0.729910,0.361064,27409,6856,420,biscoito,25fc27c05e,21.8712
1,8,5000,0.729159,0.371611,27343,6906,439,biscoito,9ae5b95925,23.7188
1,9,5000,0.724714,0.355004,27419,6908,425,biscoito,2fc10bf852,25.6070
1,10,5000,0.729791,0.358767,27407,6970,432,biscoito,eee6817a8e,24.4935
1,11,5000,0.729707,0.375432,27471,6975,434,biscoito,a3fbb2f98d,24.9862
1,12,5000,0.728029,0.365051,27561,7039,429,biscoito,8814562c9e,24.8764
1,13,5000,0.733737,0.363035,27269,6988,432,biscoito,8d141f7780,24.8791
1,14,5000,0.730418,0.356912,27457,6990,427,biscoito,8fb153328b,26.0538
1,15,5000,0.724762,0.362921,27592,7008,436,biscoito,94a8ff001c,25.3520
1,16,5000,0.726499,0.368139,27359,7111,436,biscoito,f7cae6c596,18.2287
1,17,5000,0.728301,0.368136,27468,6971,432,biscoito,c316039e45,17.9156
1,18,5000,0.723112,0.379588,27406,6959,445,biscoito,e51d4d627d,17.6905
1,19,5000,0.734000,0.373692,27347,6883,431,biscoito,e5b913422c,16.2801
2,0,5000,0.719989,0.361492,27445,6972,423,biscoito,bc1e32176c,22.7336
2,7,5000,0.726348,0.366890,27374,6980,441,biscoito,8aaa1e5ccd,26.1725
2,8,5000,0.726348,0.366890,27374,6980,441,biscoito,8aaa1e5ccd,26.1725
2,10,5000,0.729159,0.371611,27343,6906,439,biscoito,9ae5b95925,23.7188
2,1,5000,0.727418,0.373210,27421,6923,439,biscoito,1df4851d45,24.4120
