nm_item,nm_product,metric_value,metric_type,optimization_goal
BANHA FRIMESA 1KG,outro resfriado,0.5600463323547621,accuracy_on_full,maximize
"BEBIDA LACT ELEGE FERM 170g, MORANGO",bebida lactea,0.5600463323547621,accuracy_on_full,maximize
AGUA MINERAL CRYSTAL S/GAS        PET 5L,agua,0.5600463323547621,accuracy_on_full,maximize
QA PAO DE ALHO COM QUEIJO BAG 300G,padaria e confeitaria industrializado,0.5600463323547621,accuracy_on_full,maximize
BEB SABORIZ H2OH LIMAO GF 500M LIMAO,refrigerante,0.5600463323547621,accuracy_on_full,maximize
BALA DORI 100G CEREJA,bala,0.5600463323547621,accuracy_on_full,maximize
MATTE LEAO LIMAO PET 450ML,cha pronto,0.5600463323547621,accuracy_on_full,maximize
HAMBURG FGO/BOV PERDIGAO 56G,hamburguer congelado,0.5600463323547621,accuracy_on_full,maximize
TORRESMO BORRUSSIA SOLTO kg,petisco e salgadinho congelado,0.5600463323547621,accuracy_on_full,maximize
LEITE COCO MIL SELECT 500ml,leite de coco,0.5600463323547621,accuracy_on_full,maximize
REQUEIJAO LAC LELO 180G LIGHT,requeijao,0.5600463323547621,accuracy_on_full,maximize
DESOD ROLLON GB ROSA 50 OFF 2X50ML,desodorante,0.5600463323547621,accuracy_on_full,maximize
MINI OVO LACTA 54G OREO,chocolate,0.5600463323547621,accuracy_on_full,maximize
CERV PATAGONIA AMBER LAGER 740ml,cerveja,0.5600463323547621,accuracy_on_full,maximize
CHOC NESTLE PRESTIGIO 33G-TA MOR,chocolate,0.5600463323547621,accuracy_on_full,maximize
SOPA MAGGI CREME 78G  QUEIJO,preparo para sopa,0.5600463323547621,accuracy_on_full,maximize
TORRADA BAUDUCCO INTEGRAL       PCT 284G,torrada,0.5600463323547621,accuracy_on_full,maximize
SABON PROTEX 85GR AVEIA,sabonete,0.5600463323547621,accuracy_on_full,maximize
KIT SH ELSEVE 375ML   CD REPAR TOT 5,kit para cabelos,0.5600463323547621,accuracy_on_full,maximize
BATATA FRITA RUFFLES 84G-PC CHURRASCO,aperitivo,0.5600463323547621,accuracy_on_full,maximize
MAC INST STA AMALIA 85G CALABRESA,macarrao,0.5600463323547621,accuracy_on_full,maximize
TORRADA FORTALEZA 142G TRADICIONAL,torrada,0.5600463323547621,accuracy_on_full,maximize
NAN SUPREME 2                    LT 800G,formula lactea,0.5600463323547621,accuracy_on_full,maximize
BISC.CAMIL ARROZ CHIA/LINHACA   PE 150GR,biscoito,0.5600463323547621,accuracy_on_full,maximize
"SARDINHA GOMES COSTA LT 250G, TOM, .",proteina em conserva,0.5600463323547621,accuracy_on_full,maximize
CHOC SNICKERS DUAS BARRAS 78G,chocolate,0.5600463323547621,accuracy_on_full,maximize
"SUCO XANDO LARANJA 1,5L",suco pronto,0.5600463323547621,accuracy_on_full,maximize
TILAPIA FCA INT FRESCA KG,peixe,0.5600463323547621,accuracy_on_full,maximize
MORT PERD MISTA C/TOUC 400g,mortadela,0.5600463323547621,accuracy_on_full,maximize
REFRESC PO UVA MID  20G,preparo para suco,0.5600463323547621,accuracy_on_full,maximize
IOG NAT VIGOR 100G-PT 3GRAOS MOR,iogurte,0.5600463323547621,accuracy_on_full,maximize
"LIMP PERF AJAX 500ML, FLOR LAVANDA",multiuso,0.5600463323547621,accuracy_on_full,maximize
SAB FRANCIS BRASILIDADES BR 80G CAPIM LIMAO,sabonete,0.5600463323547621,accuracy_on_full,maximize
CALDO EM TABLETE CAR ZR SAL KN 48G,caldo industrializado,0.5600463323547621,accuracy_on_full,maximize
"AMACIANTE BRETAS 2L, CARINHO",amaciante,0.5600463323547621,accuracy_on_full,maximize
BATATA STRIKE ONDULADA MOSTARDA  PCT 45G,aperitivo,0.5600463323547621,accuracy_on_full,maximize
DOCE BANANA D COLONIA LIGHT 180g,bananada,0.5600463323547621,accuracy_on_full,maximize
"CHOC LACTA BIS 100,8G AO LEITE",chocolate,0.5600463323547621,accuracy_on_full,maximize
"PIZZA SADIA 460G, 4 QJS, .",pizza congelada,0.5600463323547621,accuracy_on_full,maximize
"BISC BELVITA 75G C/3, CACAU/CEREAIS",biscoito,0.5600463323547621,accuracy_on_full,maximize
"CHA DR OETKER C/10, CIDREIRA/LIMAO/GENG",cha por infusao,0.5600463323547621,accuracy_on_full,maximize
REFRIG 350ML GUAR ANTARCTICA DIET LT,refrigerante,0.5600463323547621,accuracy_on_full,maximize
"REFR TANG 25G, MANGA",preparo para suco,0.5600463323547621,accuracy_on_full,maximize
SAB FRANCIS LUXO CX 90G GROSELHA NEGRA,sabonete,0.5600463323547621,accuracy_on_full,maximize
PES FRANGO BAND NC RESF KG,carne de ave,0.5600463323547621,accuracy_on_full,maximize
INSET VOREL 400ML,inseticida,0.5600463323547621,accuracy_on_full,maximize
EXTR TOMATE EXTRATOMATO ARIS TP370G,extrato de tomate,0.5600463323547621,accuracy_on_full,maximize
"SALG TORCIDA 450G BIG, PIM MEXIC",aperitivo,0.5600463323547621,accuracy_on_full,maximize
SALSI FACIL UN,salsicha,0.5600463323547621,accuracy_on_full,maximize
CERV SKOL LT 473MLL,cerveja,0.5600463323547621,accuracy_on_full,maximize
DEPAKOTE ER 500MG C 60 COMPR.PSICO ABBOT,outro farma,0.5600463323547621,accuracy_on_full,maximize
BACALHAU PORTO KG,peixe,0.5600463323547621,accuracy_on_full,maximize
CALCARIO AGRICOLA D.JARDINS 180g,outro decoracao e jardim,0.5600463323547621,accuracy_on_full,maximize
SUCO NATURAL ONE MISTO LJA/MAMAO 900ML,suco pronto,0.5600463323547621,accuracy_on_full,maximize
QUEIJO MUSSARELA VENEZA FAT.    PE 400GR,queijo,0.5600463323547621,accuracy_on_full,maximize
ORQ PHAL MINI ESP 09  PT09,plantas e sementes,0.5600463323547621,accuracy_on_full,maximize
LEITE JUSSARA 1L GFA ZLAC INT,leite,0.5600463323547621,accuracy_on_full,maximize
DESINF YPE BAK EUCALIPTO 2L,desinfetante,0.5600463323547621,accuracy_on_full,maximize
BISC BAUDUCCO CHAMPANHE CRISTAL 150g,biscoito,0.5600463323547621,accuracy_on_full,maximize
GELATINA ZERO FRAMBOESA ROYAL 12G,gelatina,0.5600463323547621,accuracy_on_full,maximize
MASCARA CAP ALYNE HIDRAT INTENSA 1KG,creme de tratamento,0.5600463323547621,accuracy_on_full,maximize
"ALCOOL LIQ UNI 1L 46,2  INPM",alcool,0.5600463323547621,accuracy_on_full,maximize
PAO DE LEITE,padaria e confeitaria fresca,0.5600463323547621,accuracy_on_full,maximize
CHOC HERSHEYS 82G TAB BCO,chocolate,0.5600463323547621,accuracy_on_full,maximize
CALDO MAGGI 114G CARNE,caldo industrializado,0.5600463323547621,accuracy_on_full,maximize
FLAGYL 400MG C/24 COMPRIMIDOS MEDLEY,outro farma,0.5600463323547621,accuracy_on_full,maximize
AGUA MINERAL OURO FINO C/GAS    PT 500ML,agua,0.5600463323547621,accuracy_on_full,maximize
BISC ESTRELA MAIZENA 307G,biscoito,0.5600463323547621,accuracy_on_full,maximize
CHOCOTTONE BAUDUCCO MAXI 500G,panificacao natal,0.5600463323547621,accuracy_on_full,maximize
BATATA PALHA ELMA CHIPS 110G TRAD,vegetal em palha,0.5600463323547621,accuracy_on_full,maximize
MOLHO BILLYe JACK 200G-PET ORIG,outro molho,0.5600463323547621,accuracy_on_full,maximize
TORTA BANANA 500G,padaria e confeitaria fresca,0.5600463323547621,accuracy_on_full,maximize
TEMPERO SAZON 60GR BRANCO P/ARROZ,tempero pronto,0.5600463323547621,accuracy_on_full,maximize
CHA CHILENO TRAD CX 10G CAMOMILA/MEL,cha por infusao,0.5600463323547621,accuracy_on_full,maximize
GAROTO TABLETE CASTANHA NESTLE 80G,chocolate,0.5600463323547621,accuracy_on_full,maximize
PILHA DURACELL AAA PALITO C/4 UN,pilha,0.5600463323547621,accuracy_on_full,maximize
IOG GREGO FRUTAS VERMELH VIGOR 90G,iogurte,0.5600463323547621,accuracy_on_full,maximize
VH TTO QUINTA MORGADO 750ML SUAVE BRA,vinho nacional,0.5600463323547621,accuracy_on_full,maximize
BACON SADIA 250G FATIADO,carne suina,0.5600463323547621,accuracy_on_full,maximize
CIGARRO WINSTON HAND S TABACCOS CLASSIC,cigarro,0.5600463323547621,accuracy_on_full,maximize
SABONETE LUX BOTANIC 85G  LAVANDA,sabonete,0.5600463323547621,accuracy_on_full,maximize
"PAO FORMA PULLMAN 350G FIT, 12 GRAOS",padaria e confeitaria industrializado,0.5600463323547621,accuracy_on_full,maximize
CAFE SOL 3 CORACOES DESCAFEIN SCH 50G,cafe,0.5600463323547621,accuracy_on_full,maximize
"BAR CER NUTRY REG 66G, BOLO/CHOC, .",barra alimentar,0.5600463323547621,accuracy_on_full,maximize
"LIMP CIF MULTIUSO 500ml, ANTIBAC",multiuso,0.5600463323547621,accuracy_on_full,maximize
