nm_item,nm_product,metric_value,metric_type,optimization_goal
"REFRIG GUARANA TUCHAUA 1,5L",refrigerante,0.0056938782825446,f1_macro_on_full,minimize
BEB LACTEA LANGUIRU SALA FRUT 750G,iogurte,0.0056938782825446,f1_macro_on_full,minimize
CAFE 3 CORACOES GOURMET CERRADO MINEIRO 250g,cafe,0.0056938782825446,f1_macro_on_full,minimize
FILE DE SOBRECOXA SWIFT 1KG,carne de ave,0.0056938782825446,f1_macro_on_full,minimize
CS COLHER SORVETE PT PRETO 01 UN.,talher,0.0056938782825446,f1_macro_on_full,minimize
REFRIG PEPSI COLA CACULA 200ML,refrigerante,0.0056938782825446,f1_macro_on_full,minimize
FLOCOS DESID.A.ERVAS SALS/CEB/TOM.40G,tempero pronto,0.0056938782825446,f1_macro_on_full,minimize
PATINHO BV MOIDA KG,carne bovina,0.0056938782825446,f1_macro_on_full,minimize
CAFE SOLUVEL NESCAFE CAPPUC NEGR 180G LT,cafe,0.0056938782825446,f1_macro_on_full,minimize
PALETA BOV BEST BEEF MOIDA (P)        KG,carne bovina,0.0056938782825446,f1_macro_on_full,minimize
BISC PIRAQUE RECH SUPR CHOC BR LIMAO 80G,biscoito,0.0056938782825446,f1_macro_on_full,minimize
MINI PIZZA MUSSARELA 160G,prato pronto,0.0056938782825446,f1_macro_on_full,minimize
BISC FOLH ACUC ADAMS 300G,biscoito,0.0056938782825446,f1_macro_on_full,minimize
"LIMP PERF AJAX 500ML, BOUQUET",multiuso,0.0056938782825446,f1_macro_on_full,minimize
CONF MIL CORES CHOC CONFETE 50G,chocolate,0.0056938782825446,f1_macro_on_full,minimize
SAMBIQUIRA FGO AVE NOVA CONG PCT 800G,carne de ave,0.0056938782825446,f1_macro_on_full,minimize
CAFE EXPRESSO / PAO COM MANTEI ILLY,cafe,0.0056938782825446,f1_macro_on_full,minimize
RICHESTER AMORI WAFER MORANGO 80G,biscoito,0.0056938782825446,f1_macro_on_full,minimize
STANGLIT 30MG C/60 COMPRIMIDOS LIBBS,outro farma,0.0056938782825446,f1_macro_on_full,minimize
BISC TIA WANDA 150G  BACON,biscoito,0.0056938782825446,f1_macro_on_full,minimize
CAFE PILAO SENSEO TRAD 18 SACH 120G 18UN,cafe,0.0056938782825446,f1_macro_on_full,minimize
IOG NAT BATAVO C/PEDACOS LAR/CEN/MEL,iogurte,0.0056938782825446,f1_macro_on_full,minimize
BISC CLUB SOCIAL INT 144G 5CEREAIS,biscoito,0.0056938782825446,f1_macro_on_full,minimize
IOG POLPA DANONE C/6 510G ESP MORANGO,iogurte,0.0056938782825446,f1_macro_on_full,minimize
REFRIG CONTI 2L  COLA,refrigerante,0.0056938782825446,f1_macro_on_full,minimize
GARFO MESA TRAMONTINA LEME  PRETO,talher,0.0056938782825446,f1_macro_on_full,minimize
REMOV CARREFOUR LAVA 1L,outro produto de limpeza domestica,0.0056938782825446,f1_macro_on_full,minimize
LIMP VEJA BANHEIRO X-14 T LIMO REF 500ML,multiuso,0.0056938782825446,f1_macro_on_full,minimize
CIGARRETE PRESUNTO UNI,prato pronto,0.0056938782825446,f1_macro_on_full,minimize
IOG PAULISTA MOR E COCO 510G,iogurte,0.0056938782825446,f1_macro_on_full,minimize
VENT MK 40CM VSP 40 B 127V SP,ventilador,0.0056938782825446,f1_macro_on_full,minimize
IOG LIQ DANONE VIT FRUT 170G,iogurte,0.0056938782825446,f1_macro_on_full,minimize
KIT LIMP AZULIM M-USO 3X500ML ORIG FRESC/RAIO/BRIS,multiuso,0.0056938782825446,f1_macro_on_full,minimize
STUGERON 75MG C/30 COMPRIMIDOS CELLERA,outro farma,0.0056938782825446,f1_macro_on_full,minimize
SASHIMI DE SALMAO 150G,prato pronto,0.0056938782825446,f1_macro_on_full,minimize
IOG LIQ ACTIVIA 800G ZLAC MORANGO,iogurte,0.0056938782825446,f1_macro_on_full,minimize
PEITO FGO A GRANEL CONG KG,carne de ave,0.0056938782825446,f1_macro_on_full,minimize
CS PEDRA PARA AMOLAR PRETA,outro utensilio de cozinha,0.0056938782825446,f1_macro_on_full,minimize
BLAC SC AMX PIA 900ML,bebida lactea,0.0056938782825446,f1_macro_on_full,minimize
"COOK MARILAN 80G, ORIG/GOT CHOC, .",biscoito,0.0056938782825446,f1_macro_on_full,minimize
DESOD NIVEA MASC FRESH SP           90ML,desodorante,0.0056938782825446,f1_macro_on_full,minimize
2 DESOD AERO DOVE MEN CUID TOT 89G P ESP,desodorante,0.0056938782825446,f1_macro_on_full,minimize
FILE PEITO SEARA IQF ALM CG 1KG,carne de ave,0.0056938782825446,f1_macro_on_full,minimize
CHOC HERSHEYS  102G-CX TRIPLO CHOC,chocolate,0.0056938782825446,f1_macro_on_full,minimize
CAFE PELE L500G P475G EXTRA FORTE,cafe,0.0056938782825446,f1_macro_on_full,minimize
"QUEIJO PET SUIS DANONINHO ICE 70g, SORV",sobremesa pronta resfriada,0.0056938782825446,f1_macro_on_full,minimize
IOGURTE NESTLE NATURAL MEL CP 170G,iogurte,0.0056938782825446,f1_macro_on_full,minimize
DEO ROLL REXONA 50ML FEM ACTIVE,desodorante,0.0056938782825446,f1_macro_on_full,minimize
QUEIJO PRATO VEGANO NOMOO 150G,queijo cremoso,0.0056938782825446,f1_macro_on_full,minimize
"BISC TODDY COOKIES 71G, CHOC, .",biscoito,0.0056938782825446,f1_macro_on_full,minimize
