nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
CHIKEN POP CORN JALA 300G,empanado congelado,0.017827186792704033,accuracy_on_full,minimize
GRANOLA JASMINE ZERO PC SUPER FRUTAS,granola,0.017827186792704033,accuracy_on_full,minimize
VELA ANIV BIANCO AZUL N.6,vela comemorativa,0.017827186792704033,accuracy_on_full,minimize
INTERRUPTOR F.C NEWTOUCH TOM 10A C/PLACA,interruptor,0.017827186792704033,accuracy_on_full,minimize
DADINHO TRADICIONAL 600G,outro doce,0.017827186792704033,accuracy_on_full,minimize
ERVILHA PREDILECTA LT 170G,ervilha em conserva,0.017827186792704033,accuracy_on_full,minimize
SAL FINO MARINHO SMART 1KG-POUCH,sal,0.017827186792704033,accuracy_on_full,minimize
CONDIC CAB PANTENE MIRACLES COLAGE 250ML,condicionador,0.017827186792704033,accuracy_on_full,minimize
COMINHO PO KITANO 60G,outro condimento,0.017827186792704033,accuracy_on_full,minimize
FAR TEMP KISABOR  500G,farofa pronta,0.017827186792704033,accuracy_on_full,minimize
MOSTARDA HELLMANNS 170G SQZ,mostarda,0.017827186792704033,accuracy_on_full,minimize
SAL DUNORTE MOIDO 1Kg,sal,0.017827186792704033,accuracy_on_full,minimize
POLPA DE MARCHI CUPUACU 100G,vegetal congelado,0.017827186792704033,accuracy_on_full,minimize
AG TONICA WEWI ROSE ORG 6X269ML,agua tonica,0.017827186792704033,accuracy_on_full,minimize
COLORIFICO TAPAJOS 200G,colorifico,0.017827186792704033,accuracy_on_full,minimize
LUVA LIMPPANO VELOUTE M,luvas de borracha,0.017827186792704033,accuracy_on_full,minimize
ALGODAO BOLA FAROL 100G,algodao,0.017827186792704033,accuracy_on_full,minimize
GEL DEN. TANDY MORANGO     3881 TB  50GR,creme dental infantil,0.017827186792704033,accuracy_on_full,minimize
ENGOV AFTER RED HITS 250ML,suplemento alimentar,0.017827186792704033,accuracy_on_full,minimize
NINHO FORT NUTRITIVO SACHET 750G,leite em po,0.017827186792704033,accuracy_on_full,minimize
GEL DENT TANDY MORANGOSTOSO 90G,creme dental infantil,0.017827186792704033,accuracy_on_full,minimize
SB BARRA G SOL GLICER 200G,sabao em pedra,0.017827186792704033,accuracy_on_full,minimize
OLEO LUBRIF KING MULTIUSO 100ML,automotivo,0.017827186792704033,accuracy_on_full,minimize
AMIDO MILHO MAIZENA 200G VITA,amido de milho,0.017827186792704033,accuracy_on_full,minimize
CAIXA ORG BEL ORDENE TRAVA NUVEM 30L,iogurte,0.017827186792704033,accuracy_on_full,minimize
MOLHO HEMMER DE PIMENTA VD 150ML,molho de pimenta,0.017827186792704033,accuracy_on_full,minimize
PE MOLEQUE AMENDUPA CROC C/12 192G,doce de amendoim,0.017827186792704033,accuracy_on_full,minimize
FILE FRANGO C ESPAG INTEG SAPORE 350G,outro congelado,0.017827186792704033,accuracy_on_full,minimize
OLEO BANANA IMPALA 35ml,outro cosmeticos e perfumaria,0.017827186792704033,accuracy_on_full,minimize
AGUARD 51 LT 350ML,cachaca,0.017827186792704033,accuracy_on_full,minimize
GOIABADA CASCAO ZELIA BARRA 500G,goiabada,0.017827186792704033,accuracy_on_full,minimize
GELEIA MOCOTO OLE NATURAL 180G,geleia de mocoto,0.017827186792704033,accuracy_on_full,minimize
BOL SALM/CAMAR SL 100G,petisco e salgadinho congelado,0.017827186792704033,accuracy_on_full,minimize
ALHO E CEBOLA C SALSA E CEBOLI CRFO 200G,vegetal higienizado e processado,0.017827186792704033,accuracy_on_full,minimize
RENU FRESH SOL MULTIUSO 60ML,outro farma,0.017827186792704033,accuracy_on_full,minimize
CATCHUP ETTI TRADICIONAL 380G,ketchup,0.017827186792704033,accuracy_on_full,minimize
CURRY COOP  60G,curry,0.017827186792704033,accuracy_on_full,minimize
BISNAGUITO BRIOCHE PULLMAN 300G,padaria e confeitaria fresca,0.017827186792704033,accuracy_on_full,minimize
CANUDO DE PAPEL BOMPACK 6MM X 19CM 25UN,canudo,0.017827186792704033,accuracy_on_full,minimize
AZEITONAS VERDES C/C HEMMER 180G,azeitona,0.017827186792704033,accuracy_on_full,minimize
DUETO CROC VAPOR FUGINI LT 170G,milho verde e ervilha em conserva,0.017827186792704033,accuracy_on_full,minimize
ANTI MOFO SECAR ORIGINAL NEUTRALIZE 180G,outro produto de limpeza domestica,0.017827186792704033,accuracy_on_full,minimize
UVA THOMPSON BDJ 400 RESERVA GOURME,uva,0.017827186792704033,accuracy_on_full,minimize
FONDUE QJO POLENGHI A QUEIJARIA 400G,preparo de alimento,0.017827186792704033,accuracy_on_full,minimize
PACOQUITA STA.HELENA MINI       PE 210GR,pacoca,0.017827186792704033,accuracy_on_full,minimize
KIT C 2 CALCINHA COTTON M,calcinha,0.017827186792704033,accuracy_on_full,minimize
CATCHUP PREDILECTA PICANTE 400g,ketchup,0.017827186792704033,accuracy_on_full,minimize
CANJICA YOKI 500G AMARELA,canjica,0.017827186792704033,accuracy_on_full,minimize
LIMP SAPON CREM CIF 450ML BRANCO,saponaceo,0.017827186792704033,accuracy_on_full,minimize
APER CAMPARI BITTER 900ML,aperitivo,0.017827186792704033,accuracy_on_full,minimize
