nm_item,nm_product,metric_value_on_eval_set,metric_type,optimization_goal
REFRESCO PO GLUP SALADA FRUTA 25G,preparo para suco,0.03685662806487608,f1_macro_on_full,maximize
CEREAL SUCRILHOS ORIG.          CX 730GR,cereal matinal,0.03685662806487608,f1_macro_on_full,maximize
LEITE LV MOLICO DESN ZERO LACTOSE 1L,leite,0.03685662806487608,f1_macro_on_full,maximize
CHOC GAROTO BATON LEITE           BR 96G,chocolate,0.03685662806487608,f1_macro_on_full,maximize
AMAC ROUPA YPE DIL 2LI PG 1.8LI ACONCH,amaciante,0.03685662806487608,f1_macro_on_full,maximize
GOIABADA POLI STELLA DORO PPP 600G,goiabada,0.03685662806487608,f1_macro_on_full,maximize
REFRIG FANTA GUARANA PET 2L,refrigerante,0.03685662806487608,f1_macro_on_full,maximize
SAB LUX BOTANICALS C/4 BR 85G L P- ROSAS FRANCESAS,sabonete,0.03685662806487608,f1_macro_on_full,maximize
LAVA ROUPA LIQ OMO INTIMO/BIQ 300ml,lava roupas,0.03685662806487608,f1_macro_on_full,maximize
PAPEL HIG LA VIE BLANC FD 30M NEU L12P11,papel higienico,0.03685662806487608,f1_macro_on_full,maximize
CHA MARATA PRETO 18G,cha por infusao,0.03685662806487608,f1_macro_on_full,maximize
OVO PASCOA LACTA OREO 257g,ovo de pascoa,0.03685662806487608,f1_macro_on_full,maximize
CALCA JEANS WRANGLER BLUE 1103 RT MJOI19,calca,0.03685662806487608,f1_macro_on_full,maximize
VELA GOLD PLUS PALITO BRANCA    CT  24UN,vela,0.03685662806487608,f1_macro_on_full,maximize
CERV BADEN BADEN CRISTAL 350ML,cerveja,0.03685662806487608,f1_macro_on_full,maximize
BOLO DE LARANJA C/CALDA FP KG,padaria e confeitaria fresca,0.03685662806487608,f1_macro_on_full,maximize
ALVEJANTE VANISH WHITE FR 500ML,alvejante,0.03685662806487608,f1_macro_on_full,maximize
CAFE PO 250G CB OURO,cafe,0.03685662806487608,f1_macro_on_full,maximize
SHAMPOO ABOVE ANTIC FR 325ML 4X1,shampoo,0.03685662806487608,f1_macro_on_full,maximize
LING TOSCANA C/QJO 600G PERDIGAO,linguica,0.03685662806487608,f1_macro_on_full,maximize
ERVA MATE XIMANGO LAM MD GROSSA 1kg,erva mate,0.03685662806487608,f1_macro_on_full,maximize
AGUA MIN SANTA JOANA S/GAS GF 500ML,agua,0.03685662806487608,f1_macro_on_full,maximize
DESOD NIVEA AE 150ML FEM PROTECTeCAR,desodorante,0.03685662806487608,f1_macro_on_full,maximize
ACHOC PO NESCAU 2.0 ACT 1200KG,achocolatado,0.03685662806487608,f1_macro_on_full,maximize
ATUM RALA OLEO CARREFOUR 170G,proteina em conserva,0.03685662806487608,f1_macro_on_full,maximize
CIGARRO DUNHILL ON BLUE,cigarro,0.03685662806487608,f1_macro_on_full,maximize
VH BCO STA RITA HEROES 750ML SAUV B CHI,vinho importado,0.03685662806487608,f1_macro_on_full,maximize
COSTELA BOV KG C/OSSO VACUO RESF,carne bovina,0.03685662806487608,f1_macro_on_full,maximize
BEB VEGET VIDA VEG 170G LEITE COCO/MOR,iogurte,0.03685662806487608,f1_macro_on_full,maximize
CREME DENT COLG T.12 CARVAO ATIVO 180g,creme dental,0.03685662806487608,f1_macro_on_full,maximize
ABS C/AB ALWAYS NOT 8UN ACTIVE SEC,absorvente,0.03685662806487608,f1_macro_on_full,maximize
QUEIJO PRATO FAT ATEND kg,queijo,0.03685662806487608,f1_macro_on_full,maximize
COXA C/S.COXA GAL. FRAGNANI     BD   1KG,carne de ave,0.03685662806487608,f1_macro_on_full,maximize
"DESINF PINHO S L500P450ML, ORIG, .",desinfetante,0.03685662806487608,f1_macro_on_full,maximize
EXTRATO ELEFANTE 850G,extrato de tomate,0.03685662806487608,f1_macro_on_full,maximize
MANTEIGA EXTRA C SAL DANONE PT 200G,manteiga,0.03685662806487608,f1_macro_on_full,maximize
BACON PAMPLONA MANTA SUINA DEF KG,carne suina,0.03685662806487608,f1_macro_on_full,maximize
MAIONESE HEMMER 930G,maionese,0.03685662806487608,f1_macro_on_full,maximize
GELEIA FALEX 200G MOCOTO,geleia,0.03685662806487608,f1_macro_on_full,maximize
AP BARBEAR GILLETTE PRESTO3 LV4PG3 FEM,aparelho de barbear e depilatorio,0.03685662806487608,f1_macro_on_full,maximize
KETCHUP HEINZ FP 567G,ketchup,0.03685662806487608,f1_macro_on_full,maximize
"BISC POLVILHO BRETAS 90G, COALHADA",biscoito,0.03685662806487608,f1_macro_on_full,maximize
LIMP BANH MR MUSCULO SQUEEZE 20 D 500ML,multiuso,0.03685662806487608,f1_macro_on_full,maximize
BUP 150MG C/60 COMPRIMIDOS PSICO EUROFAR,outro farma,0.03685662806487608,f1_macro_on_full,maximize
LIMPA VIDROS MMUSC SQUEEZE 500ML,limpa vidros,0.03685662806487608,f1_macro_on_full,maximize
PIPOCA P MICRO YOKI 90G NATURAL,pipoca para microondas,0.03685662806487608,f1_macro_on_full,maximize
SUCO DO BEM UVA                 TP 200ML,suco pronto,0.03685662806487608,f1_macro_on_full,maximize
BALA GOMA EUCALIPTO DOCILE 60G,bala,0.03685662806487608,f1_macro_on_full,maximize
SORV TENTAZIONE NOBRELLI TRUFADINHO 1 5L,sorvete,0.03685662806487608,f1_macro_on_full,maximize
HASTES FLEXIVEIS COTTONBABY C/75,haste flexivel,0.03685662806487608,f1_macro_on_full,maximize
