generation,individual_id,l0_size,accuracy_on_full,f1_macro_on_full,num_tokens,num_distinct_tokens,num_classes_in_l0,most_frequent_class_in_l0,l0_indices_hash,fitness_calc_time_sec
1,0,50,0.159380,0.017229,264,234,38,biscoito,121c357111,2.0555
1,1,50,0.149301,0.018216,269,234,42,outro farma,ca793f12dc,1.7958
1,2,50,0.187126,0.016393,273,237,37,iogurte,6c3d192ad4,1.9696
1,3,50,0.162535,0.018480,277,250,45,refrigerante,4097111195,1.6815
1,4,50,0.139489,0.016770,275,249,42,carne bovina,6d806a3a00,1.8028
1,5,50,0.182226,0.016853,281,250,35,biscoito,3a01b45bd3,1.7498
1,6,50,0.175716,0.017415,285,234,37,biscoito,ac477dbf31,1.8612
1,7,50,0.169498,0.018195,267,244,41,outro farma,c8d1a574e9,1.5819
1,8,50,0.152070,0.016909,268,240,41,refrigerante,0a0def747e,1.8760
1,9,50,0.202649,0.019602,277,246,39,biscoito,7a11d829ca,1.7212
1,10,50,0.198642,0.022124,274,249,43,sabonete,99e09c6226,1.7223
1,11,50,0.171389,0.017647,288,259,39,macarrao,12640394e2,1.5803
1,12,50,0.197151,0.019174,284,252,42,chocolate,52b6c4a33d,1.9336
1,13,50,0.158527,0.017353,275,245,39,azeitona,a7ab7d368b,1.7990
1,14,50,0.186713,0.017656,288,250,38,alimento pet,e1a024cf68,1.7162
1,15,50,0.166143,0.020438,278,257,44,cafe,b51e7b4e4a,1.8493
1,16,50,0.203994,0.021524,275,240,41,biscoito,88f1f6a0b1,1.5946
1,17,50,0.161776,0.016276,275,248,39,biscoito,2f78659015,1.8949
1,18,50,0.194808,0.015377,271,236,35,biscoito,c99f8bfdba,1.8237
1,19,50,0.171695,0.017879,275,249,38,refrigerante,bd10f6f3d3,2.0128
1,20,50,0.189828,0.021371,275,244,37,suco pronto,36cf618008,1.7780
1,21,50,0.188377,0.019884,280,244,38,biscoito,ee114d3822,1.7590
1,22,50,0.149514,0.015420,279,243,40,biscoito,dd8168f840,1.6714
