item_hash,call_id,descrição_original,descrição_retornada_pelo_llm,descrição_expandida,descricao_machine_learning,categoria,racional,ground_truth_categoria,modelo,temperatura_usada,prompt_version_key,target_run_id,batch_size
9f97e5e18bd1f9676b97ef0ccbd5aa207754310dbd745cb1d3e6d7575ebd4244,59d25783-58ba-498f-bf8c-44966f370fea,OVO PASCOA LACTA AO LEITE BATMAN 166G,OVO PASCOA LACTA                PCT 180G,Ovo Pascua Lacta Pacote 180 Gramas,ovo pascua lacta pacote 180 gramas,ovos de pascoa,O produto é um ovo de pascoa da marca Lacta. 'PCT' foi expandido para 'Pacote' e a categoria 'ovos de pascoa' é a mais adequada.,ovo de pascoa,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
48fff04f8de2b9fd76594a4e80dd5e5747c73e4aab940f92dde6b6946b167cf6,59d25783-58ba-498f-bf8c-44966f370fea,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,REQUEIJAO LIGHT CREM CATUPIRY CP 200G,Requeijão Light Crem Catupiry Copo 200 Gramas,requeijao light crem catupiry copo 200 gramas,requeijao,O produto é requeijão da marca Catupiry. 'CP' foi expandido para 'Copo' e a categoria 'requeijao' é a mais adequada.,requeijao,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
4d9ba62c081939b9510484e49deaa700274e28ef3a31a56a85de9296bc044537,59d25783-58ba-498f-bf8c-44966f370fea,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,BISC LEITE MALTADO PIRAQUE 85G RECH CHOC AVELA,Biscoito Leite Maltado Piraque 85 Gramas Recheio Chocolate Avelã,biscoito leite maltado piraque 85 gramas recheio chocolate avela,biscoito,O produto é um biscoito do tipo Leite Maltado. 'RECH' foi expandido para 'Recheio' e a categoria 'biscoito' é a mais adequada.,biscoito,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
1739a7900809c563f027eba2eaabed43aa03604db494d4527e798209aa676522,59d25783-58ba-498f-bf8c-44966f370fea,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,MOLHO TOM HEINZ ESP SC 340G BOLONHESA,Molho Tomate Heinz Espeto S/C 340 Gramas Bolonhesa,molho tomate heinz espeto s/c 340 gramas bolonhesa,molho de tomate,O produto é um molho de tomate. 'ESP SC' foi expandido para 'Espeto S/C' e 'BOLONHESA' foi adicionado para descrever o sabor. A categoria 'molho de tomate' é a mais adequada.,molho de tomate,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
cbf8ddb722ac0a395f9f3f548632f70d213cd9e98f93658931e7980c47e914a8,59d25783-58ba-498f-bf8c-44966f370fea,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,CHOC TAB GAROTO TALENTO LEITE AVELA 85G,Chocolate Garoto Talento Leite Avelã Barra 85 Gramas,chocolate garoto talento leite avela barra 85 gramas,chocolate,O produto é um chocolate da marca Garoto. 'BARRA' foi adicionado para descrever o formato. A categoria 'chocolate' é a mais adequada.,chocolate,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
124e1d6517a55e9cefba9de46f3c18ec2055dea3dd6d579017399599c25d3c03,59d25783-58ba-498f-bf8c-44966f370fea,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,LIMP M-USO VEJA EXPLOSAO PERF 500ML FRESCOR VIOLET,Limpa Multiuso Veja Explosão Perfume 500ml Frescor Violeta,limpa multiuso veja explosao perfume 500ml frescor violeta,limpa multiuso,O produto é um limpador multiuso da marca Veja. 'PERF' foi expandido para 'Perfume' e a categoria 'limpa multiuso' é a mais adequada.,multiuso,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
03748b0c88425cef100a5eeba307c4b74325653f0b17b872ec6dfb63fdf84382,59d25783-58ba-498f-bf8c-44966f370fea,"LAVA ROUPA TIXAN YPE 4KG PG3,6KG PO CONC PRIMAVERA",LAVA ROUPA TIXAN YPE 3KG PG3.6KG PO CONC PRIMAVERA,Lava Roupa Tixan Ype 3kg PG 3.6kg Pó Concentrado Primavera,lava roupa tixan ype 3kg pg 3.6kg po concentrado primavera,lava roupas,O produto é um lava roupas da marca Tixan. 'PG' foi expandido para 'Pó' e 'PO' foi expandido para 'Pó' e a categoria 'lava roupas' é a mais adequada.,lava roupas,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
237e6136dd636cdeb7805d5d146e1ce666e5f08e40f3b1c775dd1be56e39a24b,59d25783-58ba-498f-bf8c-44966f370fea,BEB LACT UHT VIGOR 250ML DOCE LEITE,BEB LACT UHT VIGOR 250ML DOCE LEITE,Bebida Lacto UHT Vigor 250ml Doce Leite,bebida lacto uht vigor 250ml doce leite,bebida de leite,O produto é uma bebida de leite. 'UHT' foi expandido para 'Ultra High Temperature' e a categoria 'bebida de leite' é a mais adequada.,bebida lactea,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
b28de9f541a6b3008649320d911ed29125b98efb20405b1300c2fca15cf9baf5,59d25783-58ba-498f-bf8c-44966f370fea,DESOD AERO NIVEA FEM DRY FRESH 150ML,DESOD AERO NIVEA FEM DRY FRESH 150ML,Desodorante Aerosol Nivea Feminino Dry Fresh 150ml,desodorante aerosol nivea feminino dry fresh 150ml,desodorante,O produto é um desodorante. 'AERO' foi expandido para 'Aerosol' e a categoria 'desodorante' é a mais adequada.,desodorante,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
3a32541e86e6776d3b9cea367560a49eecf7fb4dbdcd26167e0eac56136965e7,59d25783-58ba-498f-bf8c-44966f370fea,AMIDO MILHO YOKI                PCT 500G,AMIDO MILHO YOKI                PCT 500G,Amido de Milho Yoki Pacote 500g,amido de milho yoki pacote 500g,amido de milho,O produto é amido de milho. 'PCT' foi expandido para 'Pacote' e a categoria 'amido de milho' é a mais adequada.,amido de milho,gemma3,0.0,v1,DRI_L0size10_Nc10_Seed52,10
